PI	sample	Genetic_load	N_del	cutoff	cutoff_score	chr	miss	Race	Abs_genetic_load
PI24969	PI24969_PI24969	-15519.3118917	1050	1%	-7.045371144	Chr03	miss50	Bicolor	15519.3118917
PI24969	PI24969_PI24969	-181993.834547701	17892	25%	-3.8300781	Chr04	miss50	Bicolor	181993.834547701
PI24969	PI24969_PI24969	-87135.8700478001	7160	10%	-5.4033203	Chr04	miss50	Bicolor	87135.8700478001
PI24969	PI24969_PI24969	-46901.2220345	3546	5%	-6.12265628	Chr04	miss50	Bicolor	46901.2220345
PI24969	PI24969_PI24969	-10865.4418808	709	1%	-7.2910156	Chr04	miss50	Bicolor	10865.4418808
PI24969	PI24969_PI24969	-114762.0148607	11606	25%	-3.6359863	Chr05	miss50	Bicolor	114762.0148607
PI24969	PI24969_PI24969	-54608.6475527001	4540	10%	-5.276367	Chr05	miss50	Bicolor	54608.6475527001
PI24969	PI24969_PI24969	-29666.0559726	2259	5%	-6.041992	Chr05	miss50	Bicolor	29666.0559726
PI24969	PI24969_PI24969	-7101.79589420001	471	1%	-7.2558594	Chr05	miss50	Bicolor	7101.79589420001
PI24969	PI24969_PI24969	-229656.087600199	22323	25%	-3.9614258	Chr06	miss50	Bicolor	229656.087600199
PI24969	PI24969_PI24969	-109963.5514792	9044	10%	-5.501953	Chr06	miss50	Bicolor	109963.5514792
PI24969	PI24969_PI24969	-59852.2867155999	4544	5%	-6.201172	Chr06	miss50	Bicolor	59852.2867155999
PI24969	PI24969_PI24969	-13115.3808584	863	1%	-7.3916016	Chr06	miss50	Bicolor	13115.3808584
PI24969	PI24969_PI24969	-204375.534452999	20835	25%	-3.703674325	Chr07	miss50	Bicolor	204375.534452999
PI24969	PI24969_PI24969	-99685.9746329999	8442	10%	-5.3376465	Chr07	miss50	Bicolor	99685.9746329999
PI24969	PI24969_PI24969	-53791.8476465	4186	5%	-6.0955322	Chr07	miss50	Bicolor	53791.8476465
PI24969	PI24969_PI24969	-12198.9880378	832	1%	-7.3183594	Chr07	miss50	Bicolor	12198.9880378
PI24969	PI24969_PI24969	-150537.875291	14743	25%	-3.9101562	Chr08	miss50	Bicolor	150537.875291
PI24969	PI24969_PI24969	-70981.8154509001	5846	10%	-5.44519045	Chr08	miss50	Bicolor	70981.8154509001
PI24969	PI24969_PI24969	-38834.7064370001	2950	5%	-6.154297	Chr08	miss50	Bicolor	38834.7064370001
PI24969	PI24969_PI24969	-9103.99707700001	590	1%	-7.34375	Chr08	miss50	Bicolor	9103.99707700001
PI24969	PI24969_PI24969	-124937.7680256	12492	25%	-3.75	Chr09	miss50	Bicolor	124937.7680256
PI24969	PI24969_PI24969	-58154.9860290999	4812	10%	-5.33116459	Chr09	miss50	Bicolor	58154.9860290999
PI24969	PI24969_PI24969	-30994.8663173001	2352	5%	-6.0703125	Chr09	miss50	Bicolor	30994.8663173001
PI24969	PI24969_PI24969	-7339.7304573	482	1%	-7.2578125	Chr09	miss50	Bicolor	7339.7304573
PI24969	PI24969_PI24969	-164444.653052699	16072	25%	-3.803711	Chr10	miss50	Bicolor	164444.653052699
PI24969	PI24969_PI24969	-77655.1095217	6333	10%	-5.375	Chr10	miss50	Bicolor	77655.1095217
PI24969	PI24969_PI24969	-40587.0184825	3035	5%	-6.1035156	Chr10	miss50	Bicolor	40587.0184825
PI24969	PI24969_PI24969	-8661.3852516	558	1%	-7.2773438	Chr10	miss50	Bicolor	8661.3852516
PI276837	PI276837_PI276837	-164955.076378299	17248	25%	-3.4990234	Chr01	miss50	Milo/Durra-Bicolor	164955.076378299
PI276837	PI276837_PI276837	-81013.0872282999	6925	10%	-5.1816406	Chr01	miss50	Milo/Durra-Bicolor	81013.0872282999
PI276837	PI276837_PI276837	-44172.2296294	3448	5%	-5.9814453	Chr01	miss50	Milo/Durra-Bicolor	44172.2296294
PI276837	PI276837_PI276837	-9989.6987332	673	1%	-7.209961	Chr01	miss50	Milo/Durra-Bicolor	9989.6987332
PI276837	PI276837_PI276837	-217016.9727442	23672	25%	-3.3007812	Chr02	miss50	Milo/Durra-Bicolor	217016.9727442
PI276837	PI276837_PI276837	-111099.4972311	9912	10%	-4.9757812	Chr02	miss50	Milo/Durra-Bicolor	111099.4972311
PI276837	PI276837_PI276837	-60564.2143814001	4914	5%	-5.8046875	Chr02	miss50	Milo/Durra-Bicolor	60564.2143814001
PI276837	PI276837_PI276837	-13881.0988676	958	1%	-7.1015625	Chr02	miss50	Milo/Durra-Bicolor	13881.0988676
PI276837	PI276837_PI276837	-113308.5711902	12598	25%	-3.1981201	Chr03	miss50	Milo/Durra-Bicolor	113308.5711902
PI276837	PI276837_PI276837	-55012.1065121	4910	10%	-4.8928223	Chr03	miss50	Milo/Durra-Bicolor	55012.1065121
PI276837	PI276837_PI276837	-29422.6306178	2363	5%	-5.73617855	Chr03	miss50	Milo/Durra-Bicolor	29422.6306178
PI276837	PI276837_PI276837	-6711.4126006	464	1%	-7.045371144	Chr03	miss50	Milo/Durra-Bicolor	6711.4126006
PI276837	PI276837_PI276837	-182506.9351911	18098	25%	-3.8300781	Chr04	miss50	Milo/Durra-Bicolor	182506.9351911
PI276837	PI276837_PI276837	-88183.7822681001	7330	10%	-5.4033203	Chr04	miss50	Milo/Durra-Bicolor	88183.7822681001
PI276837	PI276837_PI276837	-47410.5274716	3626	5%	-6.12265628	Chr04	miss50	Milo/Durra-Bicolor	47410.5274716
PI276837	PI276837_PI276837	-11255.2229068	739	1%	-7.2910156	Chr04	miss50	Milo/Durra-Bicolor	11255.2229068
PI276837	PI276837_PI276837	-118362.7275218	11816	25%	-3.6359863	Chr05	miss50	Milo/Durra-Bicolor	118362.7275218
PI276837	PI276837_PI276837	-56329.0883129	4626	10%	-5.276367	Chr05	miss50	Milo/Durra-Bicolor	56329.0883129
PI276837	PI276837_PI276837	-29929.7083702	2247	5%	-6.041992	Chr05	miss50	Milo/Durra-Bicolor	29929.7083702
PI276837	PI276837_PI276837	-6542.60448059999	423	1%	-7.2558594	Chr05	miss50	Milo/Durra-Bicolor	6542.60448059999
PI276837	PI276837_PI276837	-259882.397291899	25251	25%	-3.9614258	Chr06	miss50	Milo/Durra-Bicolor	259882.397291899
PI276837	PI276837_PI276837	-122191.7317098	9993	10%	-5.501953	Chr06	miss50	Milo/Durra-Bicolor	122191.7317098
PI276837	PI276837_PI276837	-65199.9783750001	4907	5%	-6.201172	Chr06	miss50	Milo/Durra-Bicolor	65199.9783750001
PI276837	PI276837_PI276837	-14604.1526993	954	1%	-7.3916016	Chr06	miss50	Milo/Durra-Bicolor	14604.1526993
PI276837	PI276837_PI276837	-163637.3736364	16693	25%	-3.703674325	Chr07	miss50	Milo/Durra-Bicolor	163637.3736364
PI276837	PI276837_PI276837	-81137.0869351	6920	10%	-5.3376465	Chr07	miss50	Milo/Durra-Bicolor	81137.0869351
PI276837	PI276837_PI276837	-44646.8810953	3502	5%	-6.0955322	Chr07	miss50	Milo/Durra-Bicolor	44646.8810953
PI276837	PI276837_PI276837	-9925.1132824	674	1%	-7.3183594	Chr07	miss50	Milo/Durra-Bicolor	9925.1132824
PI276837	PI276837_PI276837	-160627.972115	15802	25%	-3.9101562	Chr08	miss50	Milo/Durra-Bicolor	160627.972115
PI276837	PI276837_PI276837	-77703.2554814	6442	10%	-5.44519045	Chr08	miss50	Milo/Durra-Bicolor	77703.2554814
PI276837	PI276837_PI276837	-42336.1442132	3232	5%	-6.154297	Chr08	miss50	Milo/Durra-Bicolor	42336.1442132
PI276837	PI276837_PI276837	-10170.2914907	679	1%	-7.34375	Chr08	miss50	Milo/Durra-Bicolor	10170.2914907
PI276837	PI276837_PI276837	-148558.8207253	14507	25%	-3.75	Chr09	miss50	Milo/Durra-Bicolor	148558.8207253
PI276837	PI276837_PI276837	-71971.8433687001	5867	10%	-5.33116459	Chr09	miss50	Milo/Durra-Bicolor	71971.8433687001
PI276837	PI276837_PI276837	-38471.6877488999	2876	5%	-6.0703125	Chr09	miss50	Milo/Durra-Bicolor	38471.6877488999
PI276837	PI276837_PI276837	-8654.0712973	560	1%	-7.2578125	Chr09	miss50	Milo/Durra-Bicolor	8654.0712973
PI276837	PI276837_PI276837	-159923.1093891	15437	25%	-3.803711	Chr10	miss50	Milo/Durra-Bicolor	159923.1093891
PI276837	PI276837_PI276837	-75464.3531489001	6078	10%	-5.375	Chr10	miss50	Milo/Durra-Bicolor	75464.3531489001
PI276837	PI276837_PI276837	-40155.954282	2972	5%	-6.1035156	Chr10	miss50	Milo/Durra-Bicolor	40155.954282
PI276837	PI276837_PI276837	-8452.10742560001	540	1%	-7.2773438	Chr10	miss50	Milo/Durra-Bicolor	8452.10742560001
PI329435	PI329435_PI329435	-183929.7649491	19668	25%	-3.4990234	Chr01	miss50	Milo/Durra-Bicolor	183929.7649491
PI329435	PI329435_PI329435	-90274.8603494	7956	10%	-5.1816406	Chr01	miss50	Milo/Durra-Bicolor	90274.8603494
PI329435	PI329435_PI329435	-49374.1463060001	3984	5%	-5.9814453	Chr01	miss50	Milo/Durra-Bicolor	49374.1463060001
PI329435	PI329435_PI329435	-11305.653807	784	1%	-7.209961	Chr01	miss50	Milo/Durra-Bicolor	11305.653807
PI329435	PI329435_PI329435	-75025.7316194001	8679	25%	-3.3007812	Chr02	miss50	Milo/Durra-Bicolor	75025.7316194001
PI329435	PI329435_PI329435	-33596.9914622	3080	10%	-4.9757812	Chr02	miss50	Milo/Durra-Bicolor	33596.9914622
PI329435	PI329435_PI329435	-17430.0618781	1438	5%	-5.8046875	Chr02	miss50	Milo/Durra-Bicolor	17430.0618781
PI329435	PI329435_PI329435	-4213.7016553	296	1%	-7.1015625	Chr02	miss50	Milo/Durra-Bicolor	4213.7016553
PI329435	PI329435_PI329435	-76217.3036228998	8501	25%	-3.1981201	Chr03	miss50	Milo/Durra-Bicolor	76217.3036228998
PI329435	PI329435_PI329435	-35315.7158131	3114	10%	-4.8928223	Chr03	miss50	Milo/Durra-Bicolor	35315.7158131
PI329435	PI329435_PI329435	-19915.2921139	1586	5%	-5.73617855	Chr03	miss50	Milo/Durra-Bicolor	19915.2921139
PI329435	PI329435_PI329435	-4547.1879921	310	1%	-7.045371144	Chr03	miss50	Milo/Durra-Bicolor	4547.1879921
PI329435	PI329435_PI329435	-183990.3085283	18474	25%	-3.8300781	Chr04	miss50	Milo/Durra-Bicolor	183990.3085283
PI329435	PI329435_PI329435	-89203.8870976001	7529	10%	-5.4033203	Chr04	miss50	Milo/Durra-Bicolor	89203.8870976001
PI329435	PI329435_PI329435	-48470.9642477	3761	5%	-6.12265628	Chr04	miss50	Milo/Durra-Bicolor	48470.9642477
PI329435	PI329435_PI329435	-11540.975838	778	1%	-7.2910156	Chr04	miss50	Milo/Durra-Bicolor	11540.975838
PI329435	PI329435_PI329435	-116689.5878498	11615	25%	-3.6359863	Chr05	miss50	Milo/Durra-Bicolor	116689.5878498
PI329435	PI329435_PI329435	-55105.7980228	4512	10%	-5.276367	Chr05	miss50	Milo/Durra-Bicolor	55105.7980228
PI329435	PI329435_PI329435	-29524.1033224	2210	5%	-6.041992	Chr05	miss50	Milo/Durra-Bicolor	29524.1033224
PI329435	PI329435_PI329435	-6203.6542855	399	1%	-7.2558594	Chr05	miss50	Milo/Durra-Bicolor	6203.6542855
PI329435	PI329435_PI329435	-42387.7061095	4276	25%	-3.9614258	Chr06	miss50	Milo/Durra-Bicolor	42387.7061095
PI329435	PI329435_PI329435	-16964.6702486	1395	10%	-5.501953	Chr06	miss50	Milo/Durra-Bicolor	16964.6702486
PI329435	PI329435_PI329435	-9287.02415699999	696	5%	-6.201172	Chr06	miss50	Milo/Durra-Bicolor	9287.02415699999
PI329435	PI329435_PI329435	-2393.5097634	154	1%	-7.3916016	Chr06	miss50	Milo/Durra-Bicolor	2393.5097634
PI329435	PI329435_PI329435	-32808.5824654	3563	25%	-3.703674325	Chr07	miss50	Milo/Durra-Bicolor	32808.5824654
PI329435	PI329435_PI329435	-13645.151063	1217	10%	-5.3376465	Chr07	miss50	Milo/Durra-Bicolor	13645.151063
PI329435	PI329435_PI329435	-7114.46826130001	585	5%	-6.0955322	Chr07	miss50	Milo/Durra-Bicolor	7114.46826130001
PI329435	PI329435_PI329435	-1661.9741224	115	1%	-7.3183594	Chr07	miss50	Milo/Durra-Bicolor	1661.9741224
PI329435	PI329435_PI329435	-193509.5601357	19998	25%	-3.9101562	Chr08	miss50	Milo/Durra-Bicolor	193509.5601357
PI329435	PI329435_PI329435	-92925.4024517001	8080	10%	-5.44519045	Chr08	miss50	Milo/Durra-Bicolor	92925.4024517001
PI329435	PI329435_PI329435	-51120.1725937	4091	5%	-6.154297	Chr08	miss50	Milo/Durra-Bicolor	51120.1725937
PI329435	PI329435_PI329435	-11490.7197137	815	1%	-7.34375	Chr08	miss50	Milo/Durra-Bicolor	11490.7197137
PI329435	PI329435_PI329435	-146773.8581972	14652	25%	-3.75	Chr09	miss50	Milo/Durra-Bicolor	146773.8581972
PI329435	PI329435_PI329435	-70680.0488077001	5891	10%	-5.33116459	Chr09	miss50	Milo/Durra-Bicolor	70680.0488077001
PI329435	PI329435_PI329435	-37882.5433377	2895	5%	-6.0703125	Chr09	miss50	Milo/Durra-Bicolor	37882.5433377
PI329435	PI329435_PI329435	-8353.73046870001	550	1%	-7.2578125	Chr09	miss50	Milo/Durra-Bicolor	8353.73046870001
PI329435	PI329435_PI329435	-159220.9726647	15457	25%	-3.803711	Chr10	miss50	Milo/Durra-Bicolor	159220.9726647
PI329435	PI329435_PI329435	-74589.1232886	6033	10%	-5.375	Chr10	miss50	Milo/Durra-Bicolor	74589.1232886
PI329435	PI329435_PI329435	-39868.6674177	2968	5%	-6.1035156	Chr10	miss50	Milo/Durra-Bicolor	39868.6674177
PI329435	PI329435_PI329435	-8379.84277500001	537	1%	-7.2773438	Chr10	miss50	Milo/Durra-Bicolor	8379.84277500001
PI329440	PI329440_PI329440	-194155.2095869	19989	25%	-3.4990234	Chr01	miss50	Durra	194155.2095869
PI329440	PI329440_PI329440	-95300.2415633	8052	10%	-5.1816406	Chr01	miss50	Durra	95300.2415633
PI329440	PI329440_PI329440	-52385.8377087001	4047	5%	-5.9814453	Chr01	miss50	Durra	52385.8377087001
PI329440	PI329440_PI329440	-12016.8308095	805	1%	-7.209961	Chr01	miss50	Durra	12016.8308095
PI329440	PI329440_PI329440	-79458.6930217001	8635	25%	-3.3007812	Chr02	miss50	Durra	79458.6930217001
PI329440	PI329440_PI329440	-35727.9090631	3087	10%	-4.9757812	Chr02	miss50	Durra	35727.9090631
PI329440	PI329440_PI329440	-19478.3577552	1527	5%	-5.8046875	Chr02	miss50	Durra	19478.3577552
PI329440	PI329440_PI329440	-5026.8598638	332	1%	-7.1015625	Chr02	miss50	Durra	5026.8598638
PI329440	PI329440_PI329440	-76910.9952882001	8364	25%	-3.1981201	Chr03	miss50	Durra	76910.9952882001
PI329440	PI329440_PI329440	-35497.0713443	3032	10%	-4.8928223	Chr03	miss50	Durra	35497.0713443
PI329440	PI329440_PI329440	-19789.6722428	1528	5%	-5.73617855	Chr03	miss50	Durra	19789.6722428
PI329440	PI329440_PI329440	-4963.3920903	325	1%	-7.045371144	Chr03	miss50	Durra	4963.3920903
PI329440	PI329440_PI329440	-212181.758586001	20386	25%	-3.8300781	Chr04	miss50	Durra	212181.758586001
PI329440	PI329440_PI329440	-99803.0026300999	7990	10%	-5.4033203	Chr04	miss50	Durra	99803.0026300999
PI329440	PI329440_PI329440	-54188.2786942	3992	5%	-6.12265628	Chr04	miss50	Durra	54188.2786942
PI329440	PI329440_PI329440	-11921.6635798	758	1%	-7.2910156	Chr04	miss50	Durra	11921.6635798
PI329440	PI329440_PI329440	-264687.5404849	26300	25%	-3.6359863	Chr05	miss50	Durra	264687.5404849
PI329440	PI329440_PI329440	-132785.5809953	10979	10%	-5.276367	Chr05	miss50	Durra	132785.5809953
PI329440	PI329440_PI329440	-72666.3981852001	5515	5%	-6.041992	Chr05	miss50	Durra	72666.3981852001
PI329440	PI329440_PI329440	-16831.6284008	1100	1%	-7.2558594	Chr05	miss50	Durra	16831.6284008
PI329440	PI329440_PI329440	-265598.460555599	25774	25%	-3.9614258	Chr06	miss50	Durra	265598.460555599
PI329440	PI329440_PI329440	-124751.4962562	10164	10%	-5.501953	Chr06	miss50	Durra	124751.4962562
PI329440	PI329440_PI329440	-66711.5557610001	5016	5%	-6.201172	Chr06	miss50	Durra	66711.5557610001
PI329440	PI329440_PI329440	-15081.6008153	984	1%	-7.3916016	Chr06	miss50	Durra	15081.6008153
PI329440	PI329440_PI329440	-36559.8335041001	3649	25%	-3.703674325	Chr07	miss50	Durra	36559.8335041001
PI329440	PI329440_PI329440	-16261.9501891	1314	10%	-5.3376465	Chr07	miss50	Durra	16261.9501891
PI329440	PI329440_PI329440	-8747.43773960001	644	5%	-6.0955322	Chr07	miss50	Durra	8747.43773960001
PI329440	PI329440_PI329440	-2185.2490207	140	1%	-7.3183594	Chr07	miss50	Durra	2185.2490207
PI329440	PI329440_PI329440	-144501.9203498	14187	25%	-3.9101562	Chr08	miss50	Durra	144501.9203498
PI329440	PI329440_PI329440	-67686.5716718	5576	10%	-5.44519045	Chr08	miss50	Durra	67686.5716718
PI329440	PI329440_PI329440	-36696.8285031	2800	5%	-6.154297	Chr08	miss50	Durra	36696.8285031
PI329440	PI329440_PI329440	-8307.5605532	549	1%	-7.34375	Chr08	miss50	Durra	8307.5605532
