comparison	Gene	max_xpclr	n_regions	total_merged_windows	Description
breeding_improved_vs_landrace	Sobic.002G339666	551.9541473	1	34	Diacylglycerol kinase catalytic domain
breeding_improved_vs_landrace	Sobic.002G339732	551.9541473	1	34	Diacylglycerol kinase catalytic domain
breeding_improved_vs_landrace	Sobic.002G339800	551.9541473	1	34	CW-type Zinc Finger
breeding_improved_vs_landrace	Sobic.002G339900	551.9541473	1	34	Cotton fibre expressed protein
breeding_improved_vs_landrace	Sobic.002G340000	551.9541473	1	34	plant mutator transposase zinc finger
breeding_improved_vs_landrace	Sobic.002G340100	551.9541473	1	34	Putative GTP-ase activating proteins for the small GTPase, ARF
breeding_improved_vs_landrace	Sobic.002G340200	551.9541473	1	34	-
breeding_improved_vs_landrace	Sobic.002G340350	551.9541473	1	34	-
breeding_improved_vs_landrace	Sobic.002G340500	551.9541473	1	34	SOSS complex subunit B homolog
breeding_improved_vs_landrace	Sobic.002G340600	551.9541473	1	34	Pyridine nucleotide-disulphide oxidoreductase
breeding_improved_vs_landrace	Sobic.002G340700	551.9541473	1	34	Probably involved in membrane trafficking
breeding_improved_vs_landrace	Sobic.002G340900	551.9541473	1	34	Brefeldin A-inhibited guanine nucleotide-exchange protein
breeding_improved_vs_landrace	Sobic.002G341000	551.9541473	1	34	Protein of unknown function (DUF707)
breeding_improved_vs_landrace	Sobic.002G341100	551.9541473	1	34	bromo domain
breeding_improved_vs_landrace	Sobic.002G341200	551.9541473	1	34	Protein kinase domain
breeding_improved_vs_landrace	Sobic.002G341300	551.9541473	1	34	-
breeding_improved_vs_landrace	Sobic.006G072800	541.2553078	1	1	
breeding_improved_vs_landrace	Sobic.006G072900	541.2553078	1	1	TAP-like protein
breeding_improved_vs_landrace	Sobic.006G073001	541.2553078	1	1	mediator of RNA polymerase II transcription subunit
breeding_improved_vs_landrace	Sobic.006G073100	541.2553078	1	1	Serine/threonine phosphatases, family 2C, catalytic domain
breeding_improved_vs_landrace	Sobic.003G337100	520.1397915	1	6	Probable zinc-ribbon domain
breeding_improved_vs_landrace	Sobic.003G337200	520.1397915	1	6	PPR repeat
breeding_improved_vs_landrace	Sobic.003G337300	520.1397915	1	6	Inactive serine threonine-protein kinase
breeding_improved_vs_landrace	Sobic.003G337400	520.1397915	1	6	Belongs to the cytochrome P450 family
breeding_improved_vs_landrace	Sobic.003G337500	520.1397915	1	6	DNA binding domain
breeding_improved_vs_landrace	Sobic.003G337600	520.1397915	1	6	WRKY DNA -binding domain
breeding_improved_vs_landrace	Sobic.003G337700	520.1397915	1	6	DNA binding domain
breeding_improved_vs_landrace	Sobic.003G337800	520.1397915	1	6	WRKY DNA -binding domain
breeding_improved_vs_landrace	Sobic.001G141200	513.0433549	1	7	ARF-like small GTPases; ARF, ADP-ribosylation factor
breeding_improved_vs_landrace	Sobic.001G141300	513.0433549	1	7	Glycine-rich RNA-binding protein
breeding_improved_vs_landrace	Sobic.001G141333	513.0433549	1	7	
breeding_improved_vs_landrace	Sobic.001G141400	513.0433549	1	7	Plant organelle RNA recognition domain
breeding_improved_vs_landrace	Sobic.001G141600	513.0433549	1	7	Ring finger
breeding_improved_vs_landrace	Sobic.001G141700	513.0433549	1	7	occurring C-terminal to leucine-rich repeats
breeding_improved_vs_landrace	Sobic.001G141800	513.0433549	1	7	Protein kinase domain
breeding_improved_vs_landrace	Sobic.001G275100	507.98833	1	12	Aldo/keto reductase family
breeding_improved_vs_landrace	Sobic.001G275200	507.98833	1	12	Aldo/keto reductase family
breeding_improved_vs_landrace	Sobic.001G275300	507.98833	1	12	Belongs to the helicase family. RecQ subfamily
breeding_improved_vs_landrace	Sobic.001G275400	507.98833	1	12	GDSL-like Lipase/Acylhydrolase
breeding_improved_vs_landrace	Sobic.001G275500	507.98833	1	12	POT family
breeding_improved_vs_landrace	Sobic.008G097966	494.4988492	1	7	assists the folding of proteins upon ATP hydrolysis
breeding_improved_vs_landrace	Sobic.008G098098	494.4988492	1	7	DUF593 domain containing protein, expressed
breeding_improved_vs_landrace	Sobic.007G179800	493.4445241	1	4	Domain in Tre-2, BUB2p, and Cdc16p. Probable Rab-GAPs.
breeding_improved_vs_landrace	Sobic.007G179900	493.4445241	1	4	Glucosamine-6-phosphate isomerases/6-phosphogluconolactonase
breeding_improved_vs_landrace	Sobic.007G180000	493.4445241	1	4	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
breeding_improved_vs_landrace	Sobic.007G180050	493.4445241	1	4	
breeding_improved_vs_landrace	Sobic.007G180100	493.4445241	1	4	Prolyl-tRNA synthetase, C-terminal
breeding_improved_vs_landrace	Sobic.007G180200	493.4445241	1	4	Lecithin retinol acyltransferase
breeding_improved_vs_landrace	Sobic.007G180300	493.4445241	1	4	Heat stress transcription factor B-2b
breeding_improved_vs_landrace	Sobic.007G180450	493.4445241	1	4	Glycosyl hydrolases family 28
breeding_improved_vs_landrace	Sobic.007G180525	493.4445241	1	4	Rhomboid family
breeding_improved_vs_landrace	Sobic.007G180600	493.4445241	1	4	UBA-like domain
breeding_improved_vs_landrace	Sobic.008G079900	484.5054672	1	14	-
breeding_improved_vs_landrace	Sobic.008G080000	484.5054672	1	14	-
breeding_improved_vs_landrace	Sobic.008G080100	484.5054672	1	14	Belongs to the glycosyl hydrolase 1 family
breeding_improved_vs_landrace	Sobic.008G080200	484.5054672	1	14	-
breeding_improved_vs_landrace	Sobic.002G390900	482.0476299	1	20	WD40-like Beta Propeller Repeat
breeding_improved_vs_landrace	Sobic.002G391000	482.0476299	1	20	
breeding_improved_vs_landrace	Sobic.002G391100	482.0476299	1	20	Thiol-specific peroxidase that catalyzes the reduction of hydrogen peroxide and organic hydroperoxides to water and alcohols, respectively (By similarity). Seems to contribute to the inhibition of germination during stress
breeding_improved_vs_landrace	Sobic.002G391200	482.0476299	1	20	Removal of H(2)O(2), oxidation of toxic reductants, biosynthesis and degradation of lignin, suberization, auxin catabolism, response to environmental stresses such as wounding, pathogen attack and oxidative stress
breeding_improved_vs_landrace	Sobic.002G391300	482.0476299	1	20	Removal of H(2)O(2), oxidation of toxic reductants, biosynthesis and degradation of lignin, suberization, auxin catabolism, response to environmental stresses such as wounding, pathogen attack and oxidative stress
breeding_improved_vs_landrace	Sobic.002G391400	482.0476299	1	20	Removal of H(2)O(2), oxidation of toxic reductants, biosynthesis and degradation of lignin, suberization, auxin catabolism, response to environmental stresses such as wounding, pathogen attack and oxidative stress
breeding_improved_vs_landrace	Sobic.002G391501	482.0476299	1	20	Removal of H(2)O(2), oxidation of toxic reductants, biosynthesis and degradation of lignin, suberization, auxin catabolism, response to environmental stresses such as wounding, pathogen attack and oxidative stress
breeding_improved_vs_landrace	Sobic.002G391600	482.0476299	1	20	Sec63 Brl domain
breeding_improved_vs_landrace	Sobic.002G391700	482.0476299	1	20	Belongs to the peroxidase family. Classical plant (class III) peroxidase subfamily
breeding_improved_vs_landrace	Sobic.002G391800	482.0476299	1	20	Belongs to the peroxidase family. Classical plant (class III) peroxidase subfamily
breeding_improved_vs_landrace	Sobic.002G391900	482.0476299	1	20	Removal of H(2)O(2), oxidation of toxic reductants, biosynthesis and degradation of lignin, suberization, auxin catabolism, response to environmental stresses such as wounding, pathogen attack and oxidative stress. These functions might be dependent on each isozyme isoform in each plant tissue
breeding_improved_vs_landrace	Sobic.002G392000	482.0476299	1	20	Belongs to the peroxidase family. Classical plant (class III) peroxidase subfamily
breeding_improved_vs_landrace	Sobic.002G392100	482.0476299	1	20	Belongs to the peroxidase family. Classical plant (class III) peroxidase subfamily
breeding_improved_vs_landrace	Sobic.002G392200	482.0476299	1	20	Belongs to the peroxidase family. Classical plant (class III) peroxidase subfamily
breeding_improved_vs_landrace	Sobic.002G392300	482.0476299	1	20	Belongs to the peroxidase family. Classical plant (class III) peroxidase subfamily
breeding_improved_vs_landrace	Sobic.002G392400	482.0476299	1	20	-
breeding_improved_vs_landrace	Sobic.002G392500	482.0476299	1	20	heat shock factor
breeding_improved_vs_landrace	Sobic.002G392551	482.0476299	1	20	
breeding_improved_vs_landrace	Sobic.002G392600	482.0476299	1	20	Zinc knuckle
breeding_improved_vs_landrace	Sobic.002G392700	482.0476299	1	20	FGGY family of carbohydrate kinases, N-terminal domain
breeding_improved_vs_landrace	Sobic.002G392800	482.0476299	1	20	Thymidylate kinase
breeding_improved_vs_landrace	Sobic.002G392900	482.0476299	1	20	-
breeding_improved_vs_landrace	Sobic.002G393000	482.0476299	1	20	Pyroglutamyl peptidase
breeding_improved_vs_landrace	Sobic.002G393100	482.0476299	1	20	Belongs to the short-chain dehydrogenases reductases (SDR) family
breeding_improved_vs_landrace	Sobic.002G393200	482.0476299	1	20	Lipopolysaccharide kinase (Kdo/WaaP) family
breeding_improved_vs_landrace	Sobic.002G393266	482.0476299	1	20	
breeding_improved_vs_landrace	Sobic.002G393333	482.0476299	1	20	Protein N-lysine methyltransferase
breeding_improved_vs_landrace	Sobic.002G393400	482.0476299	1	20	Belongs to the GroES chaperonin family
breeding_improved_vs_landrace	Sobic.002G393500	482.0476299	1	20	-
breeding_improved_vs_landrace	Sobic.002G393600	482.0476299	1	20	GDSL esterase lipase
breeding_improved_vs_landrace	Sobic.002G393700	482.0476299	1	20	Synaptotagmin-like mitochondrial-lipid-binding domain
breeding_improved_vs_landrace	Sobic.002G393800	482.0476299	1	20	NB-ARC domain
breeding_improved_vs_landrace	Sobic.002G393900	482.0476299	1	20	NB-ARC domain
breeding_improved_vs_landrace	Sobic.002G393950	482.0476299	1	20	Protein of unknown function (DUF1639)
breeding_improved_vs_landrace	Sobic.002G394000	482.0476299	1	20	GDSL esterase lipase
breeding_improved_vs_landrace	Sobic.002G394100	482.0476299	1	20	GDSL esterase lipase
breeding_improved_vs_landrace	Sobic.002G394200	482.0476299	1	20	Prokaryotic RING finger family 4
breeding_improved_vs_landrace	Sobic.002G394300	482.0476299	1	20	-
breeding_improved_vs_landrace	Sobic.002G394400	482.0476299	1	20	TFIIS helical bundle-like domain
breeding_improved_vs_landrace	Sobic.002G394433	482.0476299	1	20	
breeding_improved_vs_landrace	Sobic.002G394466	482.0476299	1	20	
breeding_improved_vs_landrace	Sobic.002G394500	482.0476299	1	20	Coiled-coil regions of plant-specific actin-binding protein
breeding_improved_vs_landrace	Sobic.001G265700	464.0735317	1	3	Leucine rich repeat
breeding_improved_vs_landrace	Sobic.001G265800	464.0735317	1	3	Hsp20/alpha crystallin family
breeding_improved_vs_landrace	Sobic.003G265150	455.0943836	1	11	
breeding_improved_vs_landrace	Sobic.003G265200	455.0943836	1	11	B3 DNA binding domain
breeding_improved_vs_landrace	Sobic.003G265300	455.0943836	1	11	Legume lectin domain
breeding_improved_vs_landrace	Sobic.003G265400	455.0943836	1	11	Pyridoxal-phosphate dependent enzyme
breeding_improved_vs_landrace	Sobic.003G265500	455.0943836	1	11	Belongs to the PTH family
breeding_improved_vs_landrace	Sobic.003G265600	455.0943836	1	11	Belongs to the protein kinase superfamily. Ser Thr protein kinase family
breeding_improved_vs_landrace	Sobic.003G265702	455.0943836	1	11	Belongs to the protein kinase superfamily. Ser Thr protein kinase family
breeding_improved_vs_landrace	Sobic.003G265800	455.0943836	1	11	Pentatricopeptide repeat domain
breeding_improved_vs_landrace	Sobic.003G265900	455.0943836	1	11	Belongs to the protein kinase superfamily. Ser Thr protein kinase family
breeding_improved_vs_landrace	Sobic.003G266001	455.0943836	1	11	-
breeding_improved_vs_landrace	Sobic.003G266100	455.0943836	1	11	isoform X1
breeding_improved_vs_landrace	Sobic.003G266200	455.0943836	1	11	
breeding_improved_vs_landrace	Sobic.003G266300	455.0943836	1	11	
breeding_improved_vs_landrace	Sobic.003G266400	455.0943836	1	11	Epsin N-terminal homology (ENTH) domain
breeding_improved_vs_landrace	Sobic.003G266500	455.0943836	1	11	AdoMet dependent proline di-methyltransferase
breeding_improved_vs_landrace	Sobic.003G266600	455.0943836	1	11	Methionine biosynthesis protein MetW
breeding_improved_vs_landrace	Sobic.003G266700	455.0943836	1	11	protein desumoylation
breeding_improved_vs_landrace	Sobic.003G266900	455.0943836	1	11	Core-2/I-Branching enzyme
breeding_improved_vs_landrace	Sobic.003G267000	455.0943836	1	11	D-cysteine desulfhydrase 2
breeding_improved_vs_landrace	Sobic.003G267100	455.0943836	1	11	ABC transporter transmembrane region
breeding_improved_vs_landrace	Sobic.003G267150	455.0943836	1	11	
breeding_improved_vs_landrace	Sobic.003G267300	455.0943836	1	11	ABC transporter B family member
breeding_improved_vs_landrace	Sobic.003G267400	455.0943836	1	11	Myb-like DNA-binding domain
breeding_improved_vs_landrace	Sobic.003G267500	455.0943836	1	11	-
breeding_improved_vs_landrace	Sobic.003G267600	455.0943836	1	11	Ion channel
breeding_improved_vs_landrace	Sobic.003G267700	455.0943836	1	11	ABC transporter
breeding_improved_vs_landrace	Sobic.003G267800	455.0943836	1	11	NUP50 (Nucleoporin 50 kDa)
breeding_improved_vs_landrace	Sobic.003G267900	455.0943836	1	11	Belongs to the UDP-glycosyltransferase family
breeding_improved_vs_landrace	Sobic.005G015200	454.5767157	1	4	Belongs to the NPH3 family
breeding_improved_vs_landrace	Sobic.005G015300	454.5767157	1	4	Protein of unknown function (DUF1191)
breeding_improved_vs_landrace	Sobic.005G015451	454.5767157	1	4	Belongs to the cytochrome P450 family
breeding_improved_vs_landrace	Sobic.005G015600	454.5767157	1	4	Belongs to the cytochrome P450 family
breeding_improved_vs_landrace	Sobic.005G015700	454.5767157	1	4	Late embryogenesis abundant protein
breeding_improved_vs_landrace	Sobic.005G015900	454.5767157	1	4	DNAJ heat shock N-terminal domain-containing protein
breeding_improved_vs_landrace	Sobic.005G016100	454.5767157	1	4	-
breeding_improved_vs_landrace	Sobic.005G016200	454.5767157	1	4	Plant protein of unknown function (DUF936)
breeding_improved_vs_landrace	Sobic.007G082500	440.9492561	1	4	Broad-Complex, Tramtrack and Bric a brac
breeding_improved_vs_landrace	Sobic.001G126600	440.0505579	1	6	Required for maturation of ribosomal RNAs and formation of the large ribosomal subunit
breeding_improved_vs_landrace	Sobic.001G126800	440.0505579	1	6	WD domain, G-beta repeat
breeding_improved_vs_landrace	Sobic.001G126900	440.0505579	1	6	May have a structural role to stabilize the lipid body during desiccation of the seed by preventing coalescence of the oil. Probably interacts with both lipid and phospholipid moieties of lipid bodies. May also provide recognition signals for specific lipase anchorage in lipolysis during seedling growth
breeding_improved_vs_landrace	Sobic.001G127000	440.0505579	1	6	Ceramidase
breeding_improved_vs_landrace	Sobic.001G127100	440.0505579	1	6	Ceramidase
breeding_improved_vs_landrace	Sobic.001G127200	440.0505579	1	6	Zinc finger C-x8-C-x5-C-x3-H type (and similar)
breeding_improved_vs_landrace	Sobic.001G127400	440.0505579	1	6	Belongs to the yippee family
breeding_improved_vs_landrace	Sobic.001G127500	440.0505579	1	6	ABC1 family
breeding_improved_vs_landrace	Sobic.001G127600	440.0505579	1	6	C2H2-type zinc finger
breeding_improved_vs_landrace	Sobic.001G127700	440.0505579	1	6	Cytokinin-activating enzyme working in the direct activation pathway. Phosphoribohydrolase that converts inactive cytokinin nucleotides to the biologically active free-base forms
breeding_improved_vs_landrace	Sobic.002G402600	439.2948824	1	5	RhoGAP domain
breeding_improved_vs_landrace	Sobic.002G402700	439.2948824	1	5	glutamate synthase (ferredoxin) activity
breeding_improved_vs_landrace	Sobic.002G402801	439.2948824	1	5	
breeding_improved_vs_landrace	Sobic.002G402900	439.2948824	1	5	-
breeding_improved_vs_landrace	Sobic.002G403000	439.2948824	1	5	Belongs to the peptidase A1 family
breeding_improved_vs_landrace	Sobic.002G403100	439.2948824	1	5	Possible plasma membrane-binding motif in junctophilins, PIP-5-kinases and protein kinases.
breeding_improved_vs_landrace	Sobic.002G403200	439.2948824	1	5	Ankyrin repeats (many copies)
breeding_improved_vs_landrace	Sobic.002G403300	439.2948824	1	5	Domain of unknown function (DUF4228)
breeding_improved_vs_landrace	Sobic.002G403400	439.2948824	1	5	histone H2B
breeding_improved_vs_landrace	Sobic.002G403500	439.2948824	1	5	PPR repeat family
breeding_improved_vs_landrace	Sobic.002G403600	439.2948824	1	5	HAD-hyrolase-like
breeding_improved_vs_landrace	Sobic.002G403650	439.2948824	1	5	
breeding_improved_vs_landrace	Sobic.002G403700	439.2948824	1	5	Regulatory subunit of the condensin complex, a complex required for conversion of interphase chromatin into mitotic-like condense chromosomes. The condensin complex probably introduces positive supercoils into relaxed DNA in the presence of type I topoisomerases and converts nicked DNA into positive knotted forms in the presence of type II topoisomerases
breeding_improved_vs_landrace	Sobic.002G403833	439.2948824	1	5	mitotic chromosome condensation
breeding_improved_vs_landrace	Sobic.002G403966	439.2948824	1	5	mitotic chromosome condensation
breeding_improved_vs_landrace	Sobic.002G404100	439.2948824	1	5	Annexin repeats
breeding_improved_vs_landrace	Sobic.002G404200	439.2948824	1	5	F-box-like
breeding_improved_vs_landrace	Sobic.007G010900	437.2660375	1	6	Alpha/beta hydrolase family
breeding_improved_vs_landrace	Sobic.007G011000	437.2660375	1	6	Belongs to the synaptobrevin family
breeding_improved_vs_landrace	Sobic.007G011200	437.2660375	1	6	Core-2/I-Branching enzyme
breeding_improved_vs_landrace	Sobic.007G011300	437.2660375	1	6	phospholipase
breeding_improved_vs_landrace	Sobic.007G011400	437.2660375	1	6	RING-type E3 ubiquitin transferase
breeding_improved_vs_landrace	Sobic.002G351700	414.4024436	1	5	Belongs to the glycosyl hydrolase 17 family
breeding_improved_vs_landrace	Sobic.002G351900	414.4024436	1	5	Belongs to the ubiquitin-conjugating enzyme family
breeding_improved_vs_landrace	Sobic.002G352000	414.4024436	1	5	Belongs to the ubiquitin-conjugating enzyme family
breeding_improved_vs_landrace	Sobic.002G352100	414.4024436	1	5	The light-harvesting complex (LHC) functions as a light receptor, it captures and delivers excitation energy to photosystems with which it is closely associated
breeding_improved_vs_landrace	Sobic.002G352200	414.4024436	1	5	Succinyl-CoA synthetase functions in the citric acid cycle (TCA), coupling the hydrolysis of succinyl-CoA to the synthesis of ATP and thus represents the only step of substrate- level phosphorylation in the TCA. The alpha subunit of the enzyme binds the substrates coenzyme A and phosphate, while succinate binding and nucleotide specificity is provided by the beta subunit
breeding_improved_vs_landrace	Sobic.002G352302	414.4024436	1	5	SRF-type transcription factor (DNA-binding and dimerisation domain)
breeding_improved_vs_landrace	Sobic.002G352401	414.4024436	1	5	Belongs to the cystatin family. Phytocystatin subfamily
breeding_improved_vs_landrace	Sobic.002G352501	414.4024436	1	5	Subtilase family
breeding_improved_vs_landrace	Sobic.002G352600	414.4024436	1	5	-
breeding_improved_vs_landrace	Sobic.002G352700	414.4024436	1	5	Bet1-like protein
breeding_improved_vs_landrace	Sobic.002G352800	414.4024436	1	5	MFS/sugar transport protein
breeding_improved_vs_landrace	Sobic.002G352900	414.4024436	1	5	-
breeding_improved_vs_landrace	Sobic.002G353000	414.4024436	1	5	Belongs to the 5-formyltetrahydrofolate cyclo-ligase family
breeding_improved_vs_landrace	Sobic.001G133200	412.9541214	1	6	-
breeding_improved_vs_landrace	Sobic.001G133300	412.9541214	1	6	
breeding_improved_vs_landrace	Sobic.001G133350	412.9541214	1	6	
breeding_improved_vs_landrace	Sobic.001G133466	412.9541214	1	6	
breeding_improved_vs_landrace	Sobic.001G133532	412.9541214	1	6	
breeding_improved_vs_landrace	Sobic.001G133600	412.9541214	1	6	-
breeding_improved_vs_landrace	Sobic.001G133800	412.9541214	1	6	-
breeding_improved_vs_landrace	Sobic.001G133900	412.9541214	1	6	POT family
breeding_improved_vs_landrace	Sobic.001G134000	412.9541214	1	6	
breeding_improved_vs_landrace	Sobic.001G134100	412.9541214	1	6	Glycogen recognition site of AMP-activated protein kinase
breeding_improved_vs_landrace	Sobic.001G134150	412.9541214	1	6	
breeding_improved_vs_landrace	Sobic.001G134175	412.9541214	1	6	
breeding_improved_vs_landrace	Sobic.001G134200	412.9541214	1	6	NADH-ubiquinone oxidoreductase 11 kDa subunit
breeding_improved_vs_landrace	Sobic.001G134300	412.9541214	1	6	Calcineurin-binding protein
