sample	Genetic_load	N_del	cutoff	cutoff_score	chr	miss
PI542718_PI542718	-73310.45420199995	8028	25%	-3.1981201	Chr03	miss50
PI548797_PI548797	-76628.82134050009	8321	25%	-3.1981201	Chr03	miss50
PI552856_PI552856	-73994.77585129977	7966	25%	-3.1981201	Chr03	miss50
PI552861_PI552861	-76287.57077299988	8220	25%	-3.1981201	Chr03	miss50
PI561071_PI561071	-230843.33051560068	24471	25%	-3.1981201	Chr03	miss50
PI561072_PI561072	-221211.25368290063	23268	25%	-3.1981201	Chr03	miss50
PI561073_PI561073	-76138.55221400002	8565	25%	-3.1981201	Chr03	miss50
PI561472_PI561472	-79465.11067290015	9439	25%	-3.1981201	Chr03	miss50
PI562730_PI562730	-83816.16241269984	9493	25%	-3.1981201	Chr03	miss50
PI564163_PI564163	-73765.07985269984	8249	25%	-3.1981201	Chr03	miss50
PI564164_PI564164	-208907.30728740085	24511	25%	-3.1981201	Chr03	miss50
PI564165_PI564165	-224199.57802240053	24019	25%	-3.1981201	Chr03	miss50
PI565121_PI565121	-73804.06445080004	7974	25%	-3.1981201	Chr03	miss50
PI566819_PI566819	-66296.72975909985	7547	25%	-3.1981201	Chr03	miss50
PI576130_PI576130	-75667.68212430004	8219	25%	-3.1981201	Chr03	miss50
PI576332_PI576332	-78623.13533039993	8606	25%	-3.1981201	Chr03	miss50
PI576333_PI576333	-72032.55805789972	7896	25%	-3.1981201	Chr03	miss50
PI576337_PI576337	-71135.14352130007	9701	25%	-3.1981201	Chr03	miss50
PI576339_PI576339	-73851.26249089975	8038	25%	-3.1981201	Chr03	miss50
PI576340_PI576340	-73065.62846389982	7997	25%	-3.1981201	Chr03	miss50
PI576345_PI576345	-73269.00176559975	7973	25%	-3.1981201	Chr03	miss50
PI576347_PI576347	-54052.70030940002	6198	25%	-3.1981201	Chr03	miss50
PI576348_PI576348	-56298.704854699936	7177	25%	-3.1981201	Chr03	miss50
PI576349_PI576349	-62681.29432689979	7170	25%	-3.1981201	Chr03	miss50
PI576350_PI576350	-68992.44264229984	12918	25%	-3.1981201	Chr03	miss50
PI576352_PI576352	-73483.07112919999	8003	25%	-3.1981201	Chr03	miss50
PI576359_PI576359	-74188.37707789996	8220	25%	-3.1981201	Chr03	miss50
PI576364_PI576364	-75940.06750699988	8267	25%	-3.1981201	Chr03	miss50
PI576366_PI576366	-67554.78886789993	7443	25%	-3.1981201	Chr03	miss50
PI576373_PI576373	-75340.26170909998	8156	25%	-3.1981201	Chr03	miss50
PI576375_PI576375	-221887.54700610068	23541	25%	-3.1981201	Chr03	miss50
PI576376_PI576376	-204929.66534959956	27158	25%	-3.1981201	Chr03	miss50
PI576380_PI576380	-112299.158875	12243	25%	-3.1981201	Chr03	miss50
PI576381_PI576381	-103187.5082617	11513	25%	-3.1981201	Chr03	miss50
PI576385_PI576385	-191011.4502617016	20367	25%	-3.1981201	Chr03	miss50
PI576386_PI576386	-76312.45688980019	8319	25%	-3.1981201	Chr03	miss50
PI576387_PI576387	-72609.62581740007	7944	25%	-3.1981201	Chr03	miss50
PI576390_PI576390	-223582.8123658006	23780	25%	-3.1981201	Chr03	miss50
PI576391_PI576391	-76639.96437139984	8504	25%	-3.1981201	Chr03	miss50
PI576393_PI576393	-72104.1329559	8588	25%	-3.1981201	Chr03	miss50
PI576394_PI576394	-75621.73877679989	8323	25%	-3.1981201	Chr03	miss50
PI576396_PI576396	-76560.46311270016	8338	25%	-3.1981201	Chr03	miss50
PI576399_PI576399	-206629.6013223002	22326	25%	-3.1981201	Chr03	miss50
PI576401_PI576401	-225600.79227240104	23963	25%	-3.1981201	Chr03	miss50
PI576418_PI576418	-130195.86072869987	14148	25%	-3.1981201	Chr03	miss50
PI576422_PI576422	-73328.09399839988	7989	25%	-3.1981201	Chr03	miss50
PI576425_PI576425	-203888.32770410078	28453	25%	-3.1981201	Chr03	miss50
PI576426_PI576426	-75013.61239680003	8246	25%	-3.1981201	Chr03	miss50
PI576428_PI576428	-74897.9747365	8156	25%	-3.1981201	Chr03	miss50
PI576434_PI576434	-70108.61926589986	7754	25%	-3.1981201	Chr03	miss50
PI576435_PI576435	-217413.72844410082	23023	25%	-3.1981201	Chr03	miss50
PI576437_PI576437	-73008.36623820006	7934	25%	-3.1981201	Chr03	miss50
PI585291_PI585291	-166627.89365280097	33029	25%	-3.1981201	Chr03	miss50
PI585295_PI585295	-76990.21384999987	8398	25%	-3.1981201	Chr03	miss50
PI595699_PI595699	-72570.54008889984	7954	25%	-3.1981201	Chr03	miss50
PI595702_PI595702	-74670.10258879987	8178	25%	-3.1981201	Chr03	miss50
PI595714_PI595714	-66595.19209419997	7264	25%	-3.1981201	Chr03	miss50
PI595718_PI595718	-76643.78087740002	8363	25%	-3.1981201	Chr03	miss50
PI595720_PI595720	-223518.4883020003	23874	25%	-3.1981201	Chr03	miss50
PI595739_PI595739	-75992.86564700014	8253	25%	-3.1981201	Chr03	miss50
PI595740_PI595740	-73742.79825019978	8927	25%	-3.1981201	Chr03	miss50
PI595741_PI595741	-186721.58581750077	19948	25%	-3.1981201	Chr03	miss50
PI595743_PI595743	-197236.28659030056	26846	25%	-3.1981201	Chr03	miss50
PI595744_PI595744	-69869.55940129988	7668	25%	-3.1981201	Chr03	miss50
PI595745_PI595745	-70097.86548149984	7706	25%	-3.1981201	Chr03	miss50
PI597945_PI597945	-216872.8854563008	23106	25%	-3.1981201	Chr03	miss50
PI597946_PI597946	-70678.11414229982	7830	25%	-3.1981201	Chr03	miss50
PI597949_PI597949	-69659.50987529987	7654	25%	-3.1981201	Chr03	miss50
PI597950_PI597950	-69368.05999529993	7699	25%	-3.1981201	Chr03	miss50
PI597951_PI597951	-130426.48138699979	14167	25%	-3.1981201	Chr03	miss50
PI597952_PI597952	-70642.68383380004	13558	25%	-3.1981201	Chr03	miss50
PI597957_PI597957	-197969.4112332993	27435	25%	-3.1981201	Chr03	miss50
PI597958_PI597958	-76697.1734017999	8355	25%	-3.1981201	Chr03	miss50
PI597960_PI597960	-131088.86840100022	14355	25%	-3.1981201	Chr03	miss50
PI597961_PI597961	-73020.92188150006	8002	25%	-3.1981201	Chr03	miss50
PI597964_PI597964	-113080.67480260012	12324	25%	-3.1981201	Chr03	miss50
PI597965_PI597965	-72046.16997470004	8037	25%	-3.1981201	Chr03	miss50
PI597966_PI597966	-75525.52055789986	8223	25%	-3.1981201	Chr03	miss50
PI597967_PI597967	-78464.9582539	8632	25%	-3.1981201	Chr03	miss50
PI597968_PI597968	-75072.53237999992	8248	25%	-3.1981201	Chr03	miss50
PI597971_PI597971	-74308.8406152	8157	25%	-3.1981201	Chr03	miss50
PI597972_PI597972	-103960.14297380007	11623	25%	-3.1981201	Chr03	miss50
PI597973_PI597973	-107381.49735169983	11886	25%	-3.1981201	Chr03	miss50
PI597976_PI597976	-183524.9608296013	19718	25%	-3.1981201	Chr03	miss50
PI597980_PI597980	-66956.05552109984	7334	25%	-3.1981201	Chr03	miss50
PI597982_PI597982	-68610.86124890001	7665	25%	-3.1981201	Chr03	miss50
PI598069_PI598069	-220458.60558589996	23688	25%	-3.1981201	Chr03	miss50
PI598070_PI598070	-221267.85255250058	24767	25%	-3.1981201	Chr03	miss50
PI601816_PI601816	-75798.68792969998	8215	25%	-3.1981201	Chr03	miss50
PI607931_PI607931	-71379.33553160002	7857	25%	-3.1981201	Chr03	miss50
PI609456_PI609456	-50063.67442660001	5955	25%	-3.1981201	Chr03	miss50
PI613536_PI613536	-73517.5017911998	8108	25%	-3.1981201	Chr03	miss50
PI629034_PI629034	-74614.90851040003	8131	25%	-3.1981201	Chr03	miss50
PI629040_PI629040	-227921.19043850055	24345	25%	-3.1981201	Chr03	miss50
PI629059_PI629059	-75271.3388606998	8148	25%	-3.1981201	Chr03	miss50
PI641824_PI641824	-70431.22321809994	9072	25%	-3.1981201	Chr03	miss50
PI641836_PI641836	-76889.83189039976	8434	25%	-3.1981201	Chr03	miss50
PI641849_PI641849	-74630.77018019979	8264	25%	-3.1981201	Chr03	miss50
PI641874_PI641874	-229086.40812260064	24390	25%	-3.1981201	Chr03	miss50
PI642791_PI642791	-74667.29950709987	8092	25%	-3.1981201	Chr03	miss50
PI642793_PI642793	-74476.6316476998	8047	25%	-3.1981201	Chr03	miss50
PI642992_PI642992	-71919.28244449999	7944	25%	-3.1981201	Chr03	miss50
PI642998_PI642998	-58387.695346999884	6617	25%	-3.1981201	Chr03	miss50
PI651492_PI651492	-72878.4391839	7987	25%	-3.1981201	Chr03	miss50
PI651496_PI651496	-74614.42594219997	8168	25%	-3.1981201	Chr03	miss50
PI653616_PI653616	-217827.9793419009	23966	25%	-3.1981201	Chr03	miss50
PI653617_PI653617	-74958.13160279978	8279	25%	-3.1981201	Chr03	miss50
PI655970_PI655970	-76419.91046729985	8247	25%	-3.1981201	Chr03	miss50
PI655971_PI655971	-228211.66898620088	24351	25%	-3.1981201	Chr03	miss50
PI655972_PI655972	-73102.07746209981	7969	25%	-3.1981201	Chr03	miss50
PI655973_PI655973	-174930.2030352001	18653	25%	-3.1981201	Chr03	miss50
PI655974_PI655974	-76213.3263883999	8452	25%	-3.1981201	Chr03	miss50
PI655975_PI655975	-232345.98103030093	24501	25%	-3.1981201	Chr03	miss50
PI655976_PI655976	-73388.72460279982	8032	25%	-3.1981201	Chr03	miss50
PI655977_PI655977	-74250.44231599993	8111	25%	-3.1981201	Chr03	miss50
PI655978_PI655978	-231896.20212400059	24581	25%	-3.1981201	Chr03	miss50
PI655979_PI655979	-229618.74186870054	24251	25%	-3.1981201	Chr03	miss50
PI655980_PI655980	-112491.18194079994	12416	25%	-3.1981201	Chr03	miss50
PI655981_PI655981	-179801.54569900094	19221	25%	-3.1981201	Chr03	miss50
PI655982_PI655982	-76102.66457409991	8219	25%	-3.1981201	Chr03	miss50
PI655983_PI655983	-77046.14797929976	8420	25%	-3.1981201	Chr03	miss50
PI655984_PI655984	-212134.73748860054	22745	25%	-3.1981201	Chr03	miss50
PI655985_PI655985	-76837.93698720008	8325	25%	-3.1981201	Chr03	miss50
PI655986_PI655986	-76576.46735009998	8292	25%	-3.1981201	Chr03	miss50
PI655987_PI655987	-77563.44797749989	8403	25%	-3.1981201	Chr03	miss50
PI655988_PI655988	-76834.12781029985	8321	25%	-3.1981201	Chr03	miss50
PI655989_PI655989	-76552.28061709998	8420	25%	-3.1981201	Chr03	miss50
PI655990_PI655990	-227457.05965440115	24171	25%	-3.1981201	Chr03	miss50
PI655991_PI655991	-88831.34710719988	13701	25%	-3.1981201	Chr03	miss50
PI655992_PI655992	-80020.15370809988	11341	25%	-3.1981201	Chr03	miss50
PI655993_PI655993	-221369.40348340114	24601	25%	-3.1981201	Chr03	miss50
PI655994_PI655994	-75560.47531920017	11543	25%	-3.1981201	Chr03	miss50
PI655995_PI655995	-59272.58715609983	6694	25%	-3.1981201	Chr03	miss50
PI655996_PI655996	-226239.46466480067	24070	25%	-3.1981201	Chr03	miss50
PI655997_PI655997	-227033.8208496007	24121	25%	-3.1981201	Chr03	miss50
PI655998_PI655998	-230983.7564603002	24551	25%	-3.1981201	Chr03	miss50
PI655999_PI655999	-73106.75939089985	8581	25%	-3.1981201	Chr03	miss50
PI656000_PI656000	-74007.78501929984	7938	25%	-3.1981201	Chr03	miss50
PI656001_PI656001	-73520.72016369985	7970	25%	-3.1981201	Chr03	miss50
PI656002_PI656002	-70521.36466039994	7697	25%	-3.1981201	Chr03	miss50
PI656003_PI656003	-73947.55974059978	8074	25%	-3.1981201	Chr03	miss50
PI656004_PI656004	-230422.57129920024	24542	25%	-3.1981201	Chr03	miss50
PI656005_PI656005	-71534.59734209982	7859	25%	-3.1981201	Chr03	miss50
PI656006_PI656006	-75718.09375700013	8370	25%	-3.1981201	Chr03	miss50
PI656007_PI656007	-73644.3106512001	8437	25%	-3.1981201	Chr03	miss50
PI656008_PI656008	-79482.16419039996	8804	25%	-3.1981201	Chr03	miss50
PI656009_PI656009	-74005.3473024	8179	25%	-3.1981201	Chr03	miss50
PI656010_PI656010	-220028.35963280057	25076	25%	-3.1981201	Chr03	miss50
PI656011_PI656011	-69620.63351899963	8386	25%	-3.1981201	Chr03	miss50
PI656012_PI656012	-224386.53988170056	24201	25%	-3.1981201	Chr03	miss50
PI656013_PI656013	-82262.61277349995	13359	25%	-3.1981201	Chr03	miss50
PI656014_PI656014	-80954.81575780005	14827	25%	-3.1981201	Chr03	miss50
PI656015_PI656015	-173733.35207199983	18377	25%	-3.1981201	Chr03	miss50
PI656016_PI656016	-223222.0071362008	23587	25%	-3.1981201	Chr03	miss50
PI656017_PI656017	-232321.18372440044	24758	25%	-3.1981201	Chr03	miss50
PI656018_PI656018	-232058.7610957007	24553	25%	-3.1981201	Chr03	miss50
PI656019_PI656019	-77109.4473891999	8434	25%	-3.1981201	Chr03	miss50
PI656020_PI656020	-77157.62821909982	8510	25%	-3.1981201	Chr03	miss50
PI656021_PI656021	-216463.7040959012	25315	25%	-3.1981201	Chr03	miss50
PI656022_PI656022	-76751.49166599983	8757	25%	-3.1981201	Chr03	miss50
PI656023_PI656023	-73602.21254569975	7998	25%	-3.1981201	Chr03	miss50
PI656024_PI656024	-79942.4934124	9382	25%	-3.1981201	Chr03	miss50
PI656025_PI656025	-73728.28627349992	8409	25%	-3.1981201	Chr03	miss50
PI656026_PI656026	-75447.87957189998	8152	25%	-3.1981201	Chr03	miss50
PI656027_PI656027	-75770.03082550007	8584	25%	-3.1981201	Chr03	miss50
PI656028_PI656028	-76154.91472569985	8725	25%	-3.1981201	Chr03	miss50
PI656029_PI656029	-214898.03007140118	24351	25%	-3.1981201	Chr03	miss50
PI656031_PI656031	-70785.09092230002	7963	25%	-3.1981201	Chr03	miss50
PI656032_PI656032	-96298.64094800006	18203	25%	-3.1981201	Chr03	miss50
PI656033_PI656033	-231270.97089460082	24651	25%	-3.1981201	Chr03	miss50
PI656034_PI656034	-97603.82759019997	18121	25%	-3.1981201	Chr03	miss50
PI656035_PI656035	-73106.02813720002	8001	25%	-3.1981201	Chr03	miss50
PI656036_PI656036	-78219.10079859993	9072	25%	-3.1981201	Chr03	miss50
PI656037_PI656037	-76725.07677709995	8873	25%	-3.1981201	Chr03	miss50
PI656038_PI656038	-73212.94530429992	9257	25%	-3.1981201	Chr03	miss50
PI656039_PI656039	-79529.90808730002	9013	25%	-3.1981201	Chr03	miss50
PI656040_PI656040	-221563.59124580002	25226	25%	-3.1981201	Chr03	miss50
PI656041_PI656041	-232112.96794220104	24750	25%	-3.1981201	Chr03	miss50
PI656042_PI656042	-221661.18743169936	25642	25%	-3.1981201	Chr03	miss50
PI656043_PI656043	-79102.216103	8616	25%	-3.1981201	Chr03	miss50
PI656044_PI656044	-74417.32046360006	8015	25%	-3.1981201	Chr03	miss50
PI656046_PI656046	-76781.22663519994	8627	25%	-3.1981201	Chr03	miss50
PI656047_PI656047	-75327.18288889999	8840	25%	-3.1981201	Chr03	miss50
PI656048_PI656048	-78578.05417269966	8678	25%	-3.1981201	Chr03	miss50
PI656049_PI656049	-83074.37206689978	13186	25%	-3.1981201	Chr03	miss50
PI656050_PI656050	-70975.62539660001	8318	25%	-3.1981201	Chr03	miss50
PI656051_PI656051	-74579.28436359989	8063	25%	-3.1981201	Chr03	miss50
PI656052_PI656052	-75728.22651829985	8836	25%	-3.1981201	Chr03	miss50
PI656053_PI656053	-73858.60060669981	8187	25%	-3.1981201	Chr03	miss50
PI656054_PI656054	-73165.7485446999	8834	25%	-3.1981201	Chr03	miss50
PI656055_PI656055	-110446.08062870023	13102	25%	-3.1981201	Chr03	miss50
PI656056_PI656056	-116106.94585389998	12596	25%	-3.1981201	Chr03	miss50
PI656057_PI656057	-80092.4535406999	12385	25%	-3.1981201	Chr03	miss50
PI656058_PI656058	-69881.27807779981	8224	25%	-3.1981201	Chr03	miss50
PI656059_PI656059	-81007.9030024	8958	25%	-3.1981201	Chr03	miss50
PI656060_PI656060	-77376.98990319982	9025	25%	-3.1981201	Chr03	miss50
PI656061_PI656061	-76448.93921139993	8472	25%	-3.1981201	Chr03	miss50
PI656062_PI656062	-69479.03210989975	8291	25%	-3.1981201	Chr03	miss50
PI656063_PI656063	-87614.89583889987	13446	25%	-3.1981201	Chr03	miss50
PI656064_PI656064	-225481.60379690086	24098	25%	-3.1981201	Chr03	miss50
