gene_id	selection_region	gene_region	selection_Description	neglog10p	fst	gwas_pvalue	gwas_trait	gwas_condition	gwas_peak_pos	overlap_rows	rank_score	recommendation_note
Sobic.009G237350	Chr9:61305001-61425000	Chr9:61359093-61369698	F-box-like	14.6216020990519	0.293499	2.39e-15	X2020.HN.plantHeigh;X2020.LN.plantHeigh;X2021.HN.plantHeigh;X2021.LN.plantHeigh	HN;LN	60816983;60854610;60856964;60911715	4	2.42	strong GWAS and high FST; good first-pass replacement
Sobic.009G237400	Chr9:61305001-61425000	Chr9:61366768-61381103	Timeless protein C terminal region	14.6216020990519	0.293499	2.39e-15	X2020.HN.plantHeigh;X2020.LN.plantHeigh;X2021.HN.plantHeigh;X2021.LN.plantHeigh	HN;LN	60816983;60854610;60856964;60911715	4	2.42	strong GWAS and high FST; good first-pass replacement
Sobic.009G237500	Chr9:61305001-61425000	Chr9:61377272-61382582	Protein of unknown function (DUF3143)	14.6216020990519	0.293499	2.39e-15	X2020.HN.plantHeigh;X2020.LN.plantHeigh;X2021.HN.plantHeigh;X2021.LN.plantHeigh	HN;LN	60816983;60854610;60856964;60911715	4	2.42	strong GWAS and high FST; good first-pass replacement
Sobic.009G237600	Chr9:61305001-61425000	Chr9:61382671-61391581	G-box binding protein MFMR	14.6216020990519	0.293499	2.39e-15	X2020.HN.plantHeigh;X2020.LN.plantHeigh;X2021.HN.plantHeigh;X2021.LN.plantHeigh	HN;LN	60816983;60854610;60856964;60911715	4	2.42	strong GWAS and high FST; good first-pass replacement
Sobic.009G237700	Chr9:61305001-61425000	Chr9:61395564-61403056	Belongs to the glucose-6-phosphate 1-epimerase family	14.6216020990519	0.293499	2.39e-15	X2020.HN.plantHeigh;X2020.LN.plantHeigh;X2021.HN.plantHeigh;X2021.HN.thirdLeafLengt;X2021.LN.plantHeigh	HN;LN	60816983;60854610;60856964;60911715;61637576	5	2.42	strong GWAS and high FST; good first-pass replacement
Sobic.009G237800	Chr9:61305001-61425000	Chr9:61400934-61406039	-	14.6216020990519	0.293499	2.39e-15	X2020.HN.plantHeigh;X2020.LN.plantHeigh;X2021.HN.plantHeigh;X2021.HN.thirdLeafLengt;X2021.LN.plantHeigh	HN;LN	60816983;60854610;60856964;60911715;61637576	5	2.42	strong GWAS and high FST; good first-pass replacement
Sobic.009G237900	Chr9:61305001-61425000	Chr9:61402662-61408288	Plastocyanin-like domain	14.6216020990519	0.293499	2.39e-15	X2020.HN.plantHeigh;X2020.LN.plantHeigh;X2021.HN.plantHeigh;X2021.HN.thirdLeafLengt;X2021.LN.plantHeigh	HN;LN	60816983;60854610;60856964;60911715;61637576	5	2.42	strong GWAS and high FST; good first-pass replacement
Sobic.009G238000	Chr9:61305001-61425000	Chr9:61404337-61417383	WD domain, G-beta repeat	14.6216020990519	0.293499	2.39e-15	X2020.HN.plantHeigh;X2020.LN.plantHeigh;X2021.HN.plantHeigh;X2021.HN.thirdLeafLengt;X2021.LN.plantHeigh	HN;LN	60816983;60854610;60856964;60911715;61637576	5	2.42	strong GWAS and high FST; good first-pass replacement
Sobic.009G238100	Chr9:61305001-61425000	Chr9:61418274-61425548	Group II intron splicing	14.6216020990519	0.293499	2.39e-15	X2020.HN.plantHeigh;X2020.LN.plantHeigh;X2021.HN.plantHeigh;X2021.HN.thirdLeafLengt;X2021.LN.plantHeigh	HN;LN	60816983;60854610;60856964;60911715;61637576	5	2.42	strong GWAS and high FST; good first-pass replacement
Sobic.004G018900	Chr4:1495001-1555000	Chr4:1532344-1540918	Belongs to the terpene synthase family	5.20690839982342	0.377701	6.21e-06	X2020.HN.extantLeafNumbe;X2020.HN.tillersPerPlan	HN	1565428;1574982	2	1.885	very high FST, GWAS just above threshold
Sobic.004G019000	Chr4:1495001-1555000	Chr4:1539931-1548480	Belongs to the terpene synthase family	5.20690839982342	0.377701	6.21e-06	X2020.HN.extantLeafNumbe;X2020.HN.tillersPerPlan	HN	1565428;1574982	2	1.885	very high FST, GWAS just above threshold
Sobic.004G018800	Chr4:1495001-1555000	Chr4:1524283-1533127	TB2/DP1, HVA22 family	5.17005330405836	0.377701	6.76e-06	X2020.HN.extantLeafNumbe	HN	1565428	1	1.875	very high FST, GWAS just above threshold
Sobic.009G253500	Chr9:62550001-62600000	Chr9:62554761-62560056	A Receptor for Ubiquitination Targets	14.6216020990519	0.271649	2.39e-15	X2020.HN.plantHeigh;X2020.LN.plantHeigh;X2021.HN.daysToFlowe;X2021.HN.plantHeigh;X2021.LN.daysToFlowe;X2021.LN.plantHeigh	HN;LN	60816983;62253764;62557027;62581252;62582750;62597491	6	1.839	strong GWAS and high FST; good first-pass replacement
Sobic.009G253600	Chr9:62550001-62600000	Chr9:62557552-62562529	endonuclease activity	14.6216020990519	0.271649	2.39e-15	X2020.HN.plantHeigh;X2020.LN.plantHeigh;X2021.HN.daysToFlowe;X2021.HN.plantHeigh;X2021.LN.daysToFlowe;X2021.LN.plantHeigh	HN;LN	60816983;62253764;62557027;62581252;62582750;62597491	6	1.839	strong GWAS and high FST; good first-pass replacement
Sobic.009G253700	Chr9:62550001-62600000	Chr9:62558627-62565111	Phosphatidylinositol 3- and 4-kinase	14.6216020990519	0.271649	2.39e-15	X2020.HN.plantHeigh;X2020.LN.plantHeigh;X2021.HN.daysToFlowe;X2021.HN.plantHeigh;X2021.LN.daysToFlowe;X2021.LN.plantHeigh	HN;LN	60816983;62253764;62557027;62581252;62582750;62597491	6	1.839	strong GWAS and high FST; good first-pass replacement
Sobic.009G253800	Chr9:62550001-62600000	Chr9:62564025-62569884	Belongs to the peptidase A1 family	14.6216020990519	0.271649	2.39e-15	X2020.HN.plantHeigh;X2020.LN.plantHeigh;X2021.HN.daysToFlowe;X2021.HN.plantHeigh;X2021.LN.daysToFlowe;X2021.LN.plantHeigh	HN;LN	60816983;62253764;62557027;62581252;62582750;62597491	6	1.839	strong GWAS and high FST; good first-pass replacement
Sobic.009G254000	Chr9:62550001-62600000	Chr9:62596787-62606134	Protein kinase domain	14.6216020990519	0.271649	2.39e-15	X2020.HN.plantHeigh;X2020.LN.plantHeigh;X2021.HN.daysToFlowe;X2021.HN.plantHeigh;X2021.LN.daysToFlowe;X2021.LN.plantHeigh	HN;LN	60816983;62253764;62557027;62581252;62582750;62597491	6	1.839	strong GWAS and high FST; good first-pass replacement
Sobic.001G279500	Chr1:58630001-58705000	Chr1:58679418-58684139	VQ motif	6.88605664769316	0.356079	1.3e-07	X2020.HN.daysToFlowe;X2020.panicleGrainWeight.N	HN;NR	58720768;58720803	2	1.805	very high FST, GWAS just above threshold
Sobic.002G021200	Chr2:1965001-2105000	Chr2:1961163-1971843	SNF2 family N-terminal domain	5.00392634551472	0.369014	9.91e-06	X2020.HN.percentMoistur	HN	1935670	1	1.595	very high FST, GWAS just above threshold
Sobic.002G021300	Chr2:1965001-2105000	Chr2:1975325-1982095	basic region leucin zipper	5.00392634551472	0.369014	9.91e-06	X2020.HN.percentMoistur	HN	1935670	1	1.595	very high FST, GWAS just above threshold
Sobic.009G247001	Chr9:62055001-62095000	Chr9:62051535-62057817	RNA recognition motif	14.6216020990519	0.254007	2.39e-15	X2020.HN.plantHeigh;X2020.LN.plantHeigh;X2021.HN.plantHeigh;X2021.LN.plantHeigh	HN;LN	60816983;60854610;60856964;60911715	4	1.37	strong GWAS and high FST; good first-pass replacement
Sobic.009G247100	Chr9:62055001-62095000	Chr9:62055235-62062264	Belongs to the peptidase S10 family	14.6216020990519	0.254007	2.39e-15	X2020.HN.plantHeigh;X2020.LN.plantHeigh;X2021.HN.plantHeigh;X2021.LN.plantHeigh	HN;LN	60816983;60854610;60856964;60911715	4	1.37	strong GWAS and high FST; good first-pass replacement
Sobic.009G247201	Chr9:62055001-62095000	Chr9:62059868-62066103	Belongs to the peptidase S10 family	14.6216020990519	0.254007	2.39e-15	X2020.HN.plantHeigh;X2020.LN.plantHeigh;X2021.HN.plantHeigh;X2021.LN.plantHeigh	HN;LN	60816983;60854610;60856964;60911715	4	1.37	strong GWAS and high FST; good first-pass replacement
Sobic.009G247300	Chr9:62055001-62095000	Chr9:62063678-62071387	DNA binding domain	14.6216020990519	0.254007	2.39e-15	X2020.HN.plantHeigh;X2020.LN.plantHeigh;X2021.HN.plantHeigh;X2021.LN.plantHeigh	HN;LN	60816983;60854610;60856964;60911715	4	1.37	strong GWAS and high FST; good first-pass replacement
Sobic.009G247400	Chr9:62055001-62095000	Chr9:62080794-62092551	PXA domain	14.6216020990519	0.254007	2.39e-15	X2020.HN.plantHeigh;X2020.LN.plantHeigh;X2021.HN.plantHeigh;X2021.LN.plantHeigh	HN;LN	60816983;60854610;60856964;60911715	4	1.37	strong GWAS and high FST; good first-pass replacement
Sobic.009G247500	Chr9:62055001-62095000	Chr9:62094818-62100298	Transcriptional repressor, ovate	14.6216020990519	0.254007	2.39e-15	X2020.HN.plantHeigh;X2020.LN.plantHeigh;X2021.HN.plantHeigh;X2021.LN.plantHeigh	HN;LN	60816983;60854610;60856964;60911715	4	1.37	strong GWAS and high FST; good first-pass replacement
Sobic.006G114800	Chr6:49650001-49735000	Chr6:49654729-49661643	Ras-related protein	6.3840499483436	0.342849	4.13e-07	X2020.HN.flagLeafLengt;X2020.LN.flagLeafLengt	HN;LN	49628996;49654519	2	1.306	lower priority
Sobic.006G115000	Chr6:49650001-49735000	Chr6:49661393-49668499	LSM domain	6.3840499483436	0.342849	4.13e-07	X2020.HN.flagLeafLengt;X2020.LN.flagLeafLengt	HN;LN	49628996;49654519	2	1.306	lower priority
Sobic.006G115100	Chr6:49650001-49735000	Chr6:49665024-49671643	Transmembrane proteins 14C	6.3840499483436	0.342849	4.13e-07	X2020.HN.flagLeafLengt;X2020.LN.flagLeafLengt	HN;LN	49628996;49654519	2	1.306	lower priority
Sobic.006G115200	Chr6:49650001-49735000	Chr6:49668078-49673510	Myb-like DNA-binding domain	6.3840499483436	0.342849	4.13e-07	X2020.HN.flagLeafLengt;X2020.LN.flagLeafLengt	HN;LN	49628996;49654519	2	1.306	lower priority
Sobic.006G115300	Chr6:49650001-49735000	Chr6:49670486-49684910	Transmembrane amino acid transporter protein	6.3840499483436	0.342849	4.13e-07	X2020.HN.flagLeafLengt;X2020.LN.flagLeafLengt	HN;LN	49628996;49654519	2	1.306	lower priority
Sobic.006G115350	Chr6:49650001-49735000	Chr6:49688719-49695251	DNA recombination	6.3840499483436	0.342849	4.13e-07	X2020.HN.flagLeafLengt;X2020.LN.flagLeafLengt	HN;LN	49628996;49654519	2	1.306	lower priority
Sobic.006G115400	Chr6:49650001-49735000	Chr6:49702565-49708127	C2H2-type zinc finger	6.3840499483436	0.342849	4.13e-07	X2020.LN.flagLeafLengt	LN	49654519	1	1.306	lower priority
Sobic.006G115466	Chr6:49650001-49735000	Chr6:49706025-49713373	WPP domain-interacting protein	6.3840499483436	0.342849	4.13e-07	X2020.LN.flagLeafLengt	LN	49654519	1	1.306	lower priority
Sobic.006G115600	Chr6:49650001-49735000	Chr6:49712892-49724047	expressed protein	6.3840499483436	0.342849	4.13e-07	X2020.LN.flagLeafLengt	LN	49654519	1	1.306	lower priority
Sobic.001G099000	Chr1:7495001-7650000	Chr1:7641432-7650766	Conserved hypothetical protein 95	5.68613277963085	0.337849	2.06e-06	X2020.HN.percentStarc	HN	7685621	1	0.967	lower priority
Sobic.001G099100	Chr1:7495001-7650000	Chr1:7649635-7658308	Glycosyl hydrolase family 9	5.68613277963085	0.337849	2.06e-06	X2020.HN.percentStarc	HN	7685621	1	0.967	lower priority
Sobic.001G279701	Chr1:58725001-58770000	Chr1:58741681-58746505	-	6.88605664769316	0.319154	1.3e-07	X2020.HN.daysToFlowe;X2020.panicleGrainWeight.N	HN;NR	58720768;58720803	2	0.824	lower priority
Sobic.002G353800	Chr2:73035001-73130000	Chr2:73040418-73046101	Homeobox domain	5.33441900898205	0.335456	4.63e-06	X2020.LN.branchInternodeLengt	LN	73062274	1	0.8	lower priority
Sobic.002G353900	Chr2:73035001-73130000	Chr2:73067011-73073657	Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family	5.33441900898205	0.335456	4.63e-06	X2020.LN.branchInternodeLengt	LN	73062274	1	0.8	lower priority
Sobic.002G354000	Chr2:73035001-73130000	Chr2:73071822-73077978	Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family	5.33441900898205	0.335456	4.63e-06	X2020.LN.branchInternodeLengt	LN	73062274	1	0.8	lower priority
Sobic.002G354100	Chr2:73035001-73130000	Chr2:73083008-73089006	Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family	5.33441900898205	0.335456	4.63e-06	X2020.LN.branchInternodeLengt	LN	73062274	1	0.8	lower priority
Sobic.002G354200	Chr2:73035001-73130000	Chr2:73086868-73092844	Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family	5.33441900898205	0.335456	4.63e-06	X2020.LN.branchInternodeLengt	LN	73062274	1	0.8	lower priority
Sobic.002G354300	Chr2:73035001-73130000	Chr2:73090929-73096325	Sugar (and other) transporter	5.33441900898205	0.335456	4.63e-06	X2020.LN.branchInternodeLengt	LN	73062274	1	0.8	lower priority
Sobic.002G354400	Chr2:73035001-73130000	Chr2:73094724-73100792	Sugar (and other) transporter	5.33441900898205	0.335456	4.63e-06	X2020.LN.branchInternodeLengt	LN	73062274	1	0.8	lower priority
Sobic.002G354501	Chr2:73035001-73130000	Chr2:73098965-73106428	Ribosome associated membrane protein RAMP4	5.33441900898205	0.335456	4.63e-06	X2020.LN.branchInternodeLengt	LN	73062274	1	0.8	lower priority
Sobic.008G080500	Chr8:14140001-14305000	Chr8:14164528-14176797	Domain of unknown function (DUF4378)	5.83863199776502	0.322226	1.45e-06	X2020.LN.primaryBranchNumbe;X2020.LN.tillersPerPlan;X2021.HN.percentStarc	HN;LN	14177197;14199171;14214569	3	0.597	lower priority
Sobic.004G030600	Chr4:2495001-2585000	Chr4:2500847-2509315	PPR repeat	5.47366072261016	0.307263	3.36e-06	X2020.primaryBranchNumber.N	NR	2545660	1	0.091	lower priority
Sobic.004G030700	Chr4:2495001-2585000	Chr4:2505548-2513188	conserved protein UCP030365	5.47366072261016	0.307263	3.36e-06	X2020.primaryBranchNumber.N	NR	2545660	1	0.091	lower priority
Sobic.004G030800	Chr4:2495001-2585000	Chr4:2514642-2527732	Proline-, glutamic acid- and leucine-rich protein	5.47366072261016	0.307263	3.36e-06	X2020.primaryBranchNumber.N	NR	2545660	1	0.091	lower priority
Sobic.004G030900	Chr4:2495001-2585000	Chr4:2528150-2537894	The RING-variant domain is a C4HC3 zinc-finger like motif found in a number of cellular and viral proteins. Some of these proteins have been shown both in vivo and in vitro to have ubiquitin E3 ligase activity.	5.47366072261016	0.307263	3.36e-06	X2020.primaryBranchNumber.N	NR	2545660	1	0.091	lower priority
Sobic.004G031100	Chr4:2495001-2585000	Chr4:2541063-2546241	bZIP transcription factor	5.47366072261016	0.307263	3.36e-06	X2020.primaryBranchNumber.N	NR	2545660	1	0.091	lower priority
Sobic.004G031200	Chr4:2495001-2585000	Chr4:2542451-2546576	expressed protein	5.47366072261016	0.307263	3.36e-06	X2020.primaryBranchNumber.N	NR	2545660	1	0.091	lower priority
Sobic.004G031300	Chr4:2495001-2585000	Chr4:2557003-2571049	Pentatricopeptide repeat domain	5.47366072261016	0.307263	3.36e-06	X2020.primaryBranchNumber.N	NR	2545660	1	0.091	lower priority
Sobic.009G184200	Chr9:57515001-57575000	Chr9:57499778-57515870	Structural maintenance of chromosomes protein	5.00833099262005	0.312004	9.81e-06	X2021.HN.tillersPerPlan	HN	57544374	1	0.08	lower priority
Sobic.009G184300	Chr9:57515001-57575000	Chr9:57515371-57520708	AP2 domain	5.00833099262005	0.312004	9.81e-06	X2021.HN.tillersPerPlan	HN	57544374	1	0.08	lower priority
Sobic.009G184400	Chr9:57515001-57575000	Chr9:57539479-57544849	AP2 domain	5.00833099262005	0.312004	9.81e-06	X2021.HN.tillersPerPlan	HN	57544374	1	0.08	lower priority
Sobic.009G184500	Chr9:57515001-57575000	Chr9:57552114-57556715	Belongs to the cystatin family. Phytocystatin subfamily	5.00833099262005	0.312004	9.81e-06	X2021.HN.tillersPerPlan	HN	57544374	1	0.08	lower priority
Sobic.009G184600	Chr9:57515001-57575000	Chr9:57562642-57572703	Zinc finger CCCH domain-containing protein	5.00833099262005	0.312004	9.81e-06	X2021.HN.tillersPerPlan	HN	57544374	1	0.08	lower priority
Sobic.002G179700	Chr2:57275001-57335000	Chr2:57328904-57334720	3-ketoacyl-CoA synthase	5.06398920428479	0.310007	8.63e-06	X2020.rachisLength.N	NR	57365552	1	0.044	lower priority
Sobic.007G210600	Chr7:67305001-67360000	Chr7:67331438-67342786	ABC transporter C family member	5.14630178822383	0.2997	7.14e-06	X2020.LN.medianLeafAngl	LN	67372951	1	-0.206	lower priority
Sobic.007G210700	Chr7:67305001-67360000	Chr7:67339564-67347233	Ethylene insensitive 3	5.14630178822383	0.2997	7.14e-06	X2020.LN.medianLeafAngl	LN	67372951	1	-0.206	lower priority
Sobic.007G210801	Chr7:67305001-67360000	Chr7:67348084-67357434	Cupin-like domain	5.14630178822383	0.2997	7.14e-06	X2020.LN.medianLeafAngl	LN	67372951	1	-0.206	lower priority
Sobic.003G250600	Chr3:65220001-65285000	Chr3:65214714-65220007	Glutaredoxin	5.56863623584101	0.292592	2.7e-06	X2020.HN.percentStarc	HN	65212809	1	-0.271	lower priority
Sobic.003G250700	Chr3:65220001-65285000	Chr3:65229425-65234856	Four repeated domains in the Fasciclin I family of proteins, present in many other contexts.	5.56863623584101	0.292592	2.7e-06	X2020.HN.percentStarc	HN	65212809	1	-0.271	lower priority
Sobic.003G250900	Chr3:65220001-65285000	Chr3:65239831-65254713	PHD-zinc-finger like domain	5.56863623584101	0.292592	2.7e-06	X2020.HN.percentStarc	HN	65212809	1	-0.271	lower priority
Sobic.003G251000	Chr3:65220001-65285000	Chr3:65252051-65259156	Serine threonine-protein kinase	5.56863623584101	0.292592	2.7e-06	X2020.HN.percentStarc	HN	65212809	1	-0.271	lower priority
Sobic.001G280900	Chr1:59135001-59195000	Chr1:59151318-59169140	isoform X1	5.88605664769316	0.288949	1.3e-06	X2020.HN.paniclesPerPlo	HN	59131548	1	-0.274	lower priority
Sobic.001G281100	Chr1:59135001-59195000	Chr1:59166568-59179238	Protein of unknown function (DUF1336)	5.88605664769316	0.288949	1.3e-06	X2020.HN.paniclesPerPlo	HN	59131548	1	-0.274	lower priority
Sobic.001G295700	Chr1:61555001-61605000	Chr1:61550955-61556993	Lipase (class 3)	5.63264407897398	0.279317	2.33e-06	X2020.HN.primaryBranchNumbe;X2020.LN.primaryBranchNumbe	HN;LN	61552313	2	-0.605	lower priority
Sobic.001G295800	Chr1:61555001-61605000	Chr1:61577148-61582859	Wall-associated receptor kinase galacturonan-binding	5.63264407897398	0.279317	2.33e-06	X2020.HN.primaryBranchNumbe;X2020.LN.primaryBranchNumbe	HN;LN	61552313	2	-0.605	lower priority
Sobic.001G249200	Chr1:27065001-27120000	Chr1:27057733-27067348	KH domain	6.07727454200674	0.274236	8.37e-07	X2020.LN.stemDiameterUppe;X2020.thirdLeafLength.N	LN;NR	27029152;27091166	2	-0.609	lower priority
Sobic.001G249300	Chr1:27065001-27120000	Chr1:27090570-27097296	Leucine Rich Repeat	6.07727454200674	0.274236	8.37e-07	X2020.thirdLeafLength.N	NR	27091166	1	-0.609	lower priority
Sobic.001G249400	Chr1:27065001-27120000	Chr1:27110641-27119264	Tetrapyrrole (Corrin/Porphyrin) Methylases	6.07727454200674	0.274236	8.37e-07	X2020.thirdLeafLength.N	NR	27091166	1	-0.609	lower priority
Sobic.001G209800	Chr1:19420001-19465000	Chr1:19425688-19432182	Late embryogenesis abundant protein	5.54515513999149	0.276305	2.85e-06	X2021.LN.daysToFlowe	LN	19391700	1	-0.711	lower priority
Sobic.006G107400	Chr6:49060001-49115000	Chr6:49058300-49064378	No apical meristem (NAM) protein	5.21324857785444	0.279379	6.12e-06	X2020.HN.rachisDiameterLowe	HN	49024289	1	-0.727	lower priority
Sobic.001G295900	Chr1:61555001-61605000	Chr1:61594186-61601792	Protein kinase domain	5.01772876696043	0.279317	9.6e-06	X2020.HN.rachisDiameterLowe	HN	61630284	1	-0.786	lower priority
Sobic.001G296000	Chr1:61555001-61605000	Chr1:61597628-61602848	Protein BRANCHLESS TRICHOME	5.01772876696043	0.279317	9.6e-06	X2020.HN.rachisDiameterLowe	HN	61630284	1	-0.786	lower priority
Sobic.001G296100	Chr1:61555001-61605000	Chr1:61604365-61612656	Protein of unknown function (DUF632)	5.01772876696043	0.279317	9.6e-06	X2020.HN.rachisDiameterLowe	HN	61630284	1	-0.786	lower priority
Sobic.004G323700	Chr4:68365001-68410000	Chr4:68379048-68389284	Ring finger domain	5.12842706445412	0.277638	7.44e-06	X2020.estimatedPlotYield.N	NR	68381561	1	-0.798	lower priority
Sobic.004G323800	Chr4:68365001-68410000	Chr4:68385334-68392337	PCRF	5.12842706445412	0.277638	7.44e-06	X2020.estimatedPlotYield.N	NR	68381561	1	-0.798	lower priority
Sobic.004G323900	Chr4:68365001-68410000	Chr4:68390562-68399126	-	5.12842706445412	0.277638	7.44e-06	X2020.estimatedPlotYield.N	NR	68381561	1	-0.798	lower priority
Sobic.004G324000	Chr4:68365001-68410000	Chr4:68398377-68409236	Glutamate-gated receptor that probably acts as non- selective cation channel	5.12842706445412	0.277638	7.44e-06	X2020.estimatedPlotYield.N	NR	68381561	1	-0.798	lower priority
Sobic.004G324100	Chr4:68365001-68410000	Chr4:68405333-68417162	Diacylglycerol kinase accessory domain (presumed)	5.12842706445412	0.277638	7.44e-06	X2020.estimatedPlotYield.N	NR	68381561	1	-0.798	lower priority
Sobic.006G162000	Chr6:53380001-53435000	Chr6:53379800-53389743	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family	5.33913452199613	0.274616	4.58e-06	X2021.HN.seedMassPerPlan	HN	53345965	1	-0.816	lower priority
Sobic.008G164800	Chr8:62880001-62920000	Chr8:62912672-62924330	No apical meristem (NAM) protein	7.63827216398241	0.248082	2.3e-08	X2020.HN.branchInternodeLengt;X2020.LN.branchInternodeLengt	HN;LN	62953662	2	-0.844	lower priority
Sobic.008G080400	Chr8:14040001-14085000	Chr8:14043121-14051972	Belongs to the glycosyl hydrolase 1 family	5.21112488422458	0.274558	6.15e-06	X2020.panicleGrainWeight.N	NR	14066649	1	-0.855	lower priority
Sobic.008G133600	Chr8:59135001-59190000	Chr8:59176592-59189331	Diaminopimelate epimerase	5.05354773498693	0.275247	8.84e-06	X2020.LN.branchInternodeLengt	LN	59220567	1	-0.883	lower priority
