gene_id	gwas_chr	gwas_start	gwas_end	gwas_pvalue	gwas_peak_pos	gwas_n_snps	gwas_trait	gwas_condition	gwas_gene_chr	gwas_gene_start	gwas_gene_end	gwas_gene_strand	selection_V1	selection_V2	selection_V3	selection_V4	selection_V5	selection_V6	selection_V7	selection_V8	selection_V9	selection_Description	selection_condition
Sobic.001G296500	1	61631043	61711043	2.07e-06	61671043	1	X2020.daysToFlower.N	NR	1	61696910	61715686	-	1	61687880	61767900	835.8653877	1	61696910	61715686	-	Sobic.001G296500	Armadillo/beta-catenin-like repeat	balancing_wild_only
Sobic.001G343900	1	67328202	67408202	7.49e-06	67368202	1	X2020.LN.flagLeafLengt	LN	1	67328569	67335178	+	1	67307298	67415387	1006.215272	1	67328569	67335178	+	Sobic.001G343900	tify domain	balancing_wild_only
Sobic.001G344000	1	67328202	67408202	7.49e-06	67368202	1	X2020.LN.flagLeafLengt	LN	1	67336024	67341283	-	1	67307298	67415387	1006.215272	1	67336024	67341283	-	Sobic.001G344000	zinc-finger of the FCS-type, C2-C2	balancing_wild_only
Sobic.001G344150	1	67328202	67408202	7.49e-06	67368202	1	X2020.LN.flagLeafLengt	LN	1	67339769	67344766	+	1	67307298	67415387	1006.215272	1	67339769	67344766	+	Sobic.001G344150	NA	balancing_wild_only
Sobic.001G344300	1	67328202	67408202	7.49e-06	67368202	1	X2020.LN.flagLeafLengt	LN	1	67367768	67373838	+	1	67307298	67415387	1006.215272	1	67367768	67373838	+	Sobic.001G344300	-	balancing_wild_only
Sobic.001G344400	1	67328202	67408202	7.49e-06	67368202	1	X2020.LN.flagLeafLengt	LN	1	67376456	67388460	-	1	67307298	67415387	1006.215272	1	67376456	67388460	-	Sobic.001G344400	Belongs to the beta-ketoacyl-ACP synthases family	balancing_wild_only
Sobic.001G389400	1	71743351	71823351	6.04e-06	71783351	1	X2020.LN.rachisDiameterUppe	LN	1	71740592	71747678	-	1	71698981	71820807	1244.935561	1	71740592	71747678	-	Sobic.001G389400	Belongs to the cytochrome b5 family	balancing_wild_only
Sobic.001G389500	1	71743351	71823351	6.04e-06	71783351	1	X2020.LN.rachisDiameterUppe	LN	1	71744607	71751378	-	1	71698981	71820807	1244.935561	1	71744607	71751378	-	Sobic.001G389500	Guanylate kinase	balancing_wild_only
Sobic.001G389600	1	71743351	71823351	6.04e-06	71783351	1	X2020.LN.rachisDiameterUppe	LN	1	71748350	71757900	-	1	71698981	71820807	1244.935561	1	71748350	71757900	-	Sobic.001G389600	Leucine Rich Repeat	balancing_wild_only
Sobic.001G389700	1	71743351	71823351	6.04e-06	71783351	1	X2020.LN.rachisDiameterUppe	LN	1	71765044	71770630	+	1	71698981	71820807	1244.935561	1	71765044	71770630	+	Sobic.001G389700	VQ motif	balancing_wild_only
Sobic.001G389800	1	71743351	71823351	6.04e-06	71783351	1	X2020.LN.rachisDiameterUppe	LN	1	71767946	71779585	+	1	71698981	71820807	1244.935561	1	71767946	71779585	+	Sobic.001G389800	Alpha-L-arabinofuranosidase C-terminal domain	balancing_wild_only
Sobic.001G389900	1	71743351	71823351	6.04e-06	71783351	1	X2020.LN.rachisDiameterUppe	LN	1	71776769	71783003	+	1	71698981	71820807	1244.935561	1	71776769	71783003	+	Sobic.001G389900	Belongs to the MIP aquaporin (TC 1.A.8) family	balancing_wild_only
Sobic.001G390000	1	71743351	71823351	6.04e-06	71783351	1	X2020.LN.rachisDiameterUppe	LN	1	71779118	71784351	-	1	71698981	71820807	1244.935561	1	71779118	71784351	-	Sobic.001G390000	Protein of unknown function (DUF3148)	balancing_wild_only
Sobic.001G390200	1	71743351	71823351	6.04e-06	71783351	1	X2020.LN.rachisDiameterUppe	LN	1	71794400	71804282	+	1	71698981	71820807	1244.935561	1	71794400	71804282	+	Sobic.001G390200	Non-specific serine threonine protein kinase	balancing_wild_only
Sobic.001G390300	1	71743351	71823351	6.04e-06	71783351	1	X2020.LN.rachisDiameterUppe	LN	1	71800965	71809102	-	1	71698981	71820807	1244.935561	1	71800965	71809102	-	Sobic.001G390300	Calmodulin	balancing_wild_only
Sobic.001G390400	1	71743351	71823351	6.04e-06	71783351	1	X2020.LN.rachisDiameterUppe	LN	1	71810573	71817399	-	1	71698981	71820807	1244.935561	1	71810573	71817399	-	Sobic.001G390400	-	balancing_wild_only
Sobic.001G390500	1	71743351	71823351	6.04e-06	71783351	1	X2020.LN.rachisDiameterUppe	LN	1	71816399	71827460	-	1	71698981	71820807	1244.935561	1	71816399	71827460	-	Sobic.001G390500	5'-AMP-activated protein kinase beta subunit, interaction domain	balancing_wild_only
Sobic.001G467000	1	78171884	78251885	7.46e-06	78211884	2	X2020.LN.paniclesPerPlo	LN	1	78173486	78180488	+	1	78110074	78200415	853.7382486	1	78173486	78180488	+	Sobic.001G467000	Belongs to the small GTPase superfamily. Arf family	balancing_wild_only
Sobic.001G467100	1	78171884	78251885	7.46e-06	78211884	2	X2020.LN.paniclesPerPlo	LN	1	78178571	78187773	+	1	78110074	78200415	853.7382486	1	78178571	78187773	+	Sobic.001G467100	Probably involved in the biogenesis of the COX complex	balancing_wild_only
Sobic.001G467200	1	78171884	78251885	7.46e-06	78211884	2	X2020.LN.paniclesPerPlo	LN	1	78185960	78195163	+	1	78110074	78200415	853.7382486	1	78185960	78195163	+	Sobic.001G467200	Tetratricopeptide repeat protein	balancing_wild_only
Sobic.001G467300	1	78171884	78251885	7.46e-06	78211884	2	X2020.LN.paniclesPerPlo	LN	1	78192282	78199214	-	1	78110074	78200415	853.7382486	1	78192282	78199214	-	Sobic.001G467300	40S ribosomal protein S3a	balancing_wild_only
Sobic.001G477900	1	79177475	79257475	5.62e-06	79217475	1	X2020.HN.tillersPerPlan	HN	1	79181831	79188576	-	1	79184077	79264981	848.89826	1	79181831	79188576	-	Sobic.001G477900	Protein of unknown function (DUF3223)	balancing_wild_only
Sobic.001G477900	1	79177475	79279613	3.77e-06	79239613	2	X2021.HN.paniclesPerPlan	HN	1	79181831	79188576	-	1	79184077	79264981	848.89826	1	79181831	79188576	-	Sobic.001G477900	Protein of unknown function (DUF3223)	balancing_wild_only
Sobic.001G477900	1	79177578	79257578	9.98e-06	79217578	1	X2020.LN.paniclesPerPlo	LN	1	79181831	79188576	-	1	79184077	79264981	848.89826	1	79181831	79188576	-	Sobic.001G477900	Protein of unknown function (DUF3223)	balancing_wild_only
Sobic.001G478000	1	79177475	79257475	5.62e-06	79217475	1	X2020.HN.tillersPerPlan	HN	1	79184598	79192614	+	1	79184077	79264981	848.89826	1	79184598	79192614	+	Sobic.001G478000	CutA1 divalent ion tolerance protein	balancing_wild_only
Sobic.001G478000	1	79177475	79279613	3.77e-06	79239613	2	X2021.HN.paniclesPerPlan	HN	1	79184598	79192614	+	1	79184077	79264981	848.89826	1	79184598	79192614	+	Sobic.001G478000	CutA1 divalent ion tolerance protein	balancing_wild_only
Sobic.001G478000	1	79177578	79257578	9.98e-06	79217578	1	X2020.LN.paniclesPerPlo	LN	1	79184598	79192614	+	1	79184077	79264981	848.89826	1	79184598	79192614	+	Sobic.001G478000	CutA1 divalent ion tolerance protein	balancing_wild_only
Sobic.001G478033	1	79177475	79257475	5.62e-06	79217475	1	X2020.HN.tillersPerPlan	HN	1	79188823	79196967	-	1	79184077	79264981	848.89826	1	79188823	79196967	-	Sobic.001G478033	Type II intron maturase	balancing_wild_only
Sobic.001G478033	1	79177475	79279613	3.77e-06	79239613	2	X2021.HN.paniclesPerPlan	HN	1	79188823	79196967	-	1	79184077	79264981	848.89826	1	79188823	79196967	-	Sobic.001G478033	Type II intron maturase	balancing_wild_only
Sobic.001G478033	1	79177578	79257578	9.98e-06	79217578	1	X2020.LN.paniclesPerPlo	LN	1	79188823	79196967	-	1	79184077	79264981	848.89826	1	79188823	79196967	-	Sobic.001G478033	Type II intron maturase	balancing_wild_only
Sobic.001G478066	1	79177475	79257475	5.62e-06	79217475	1	X2020.HN.tillersPerPlan	HN	1	79192992	79198410	+	1	79184077	79264981	848.89826	1	79192992	79198410	+	Sobic.001G478066	CutA1 divalent ion tolerance protein	balancing_wild_only
Sobic.001G478066	1	79177475	79279613	3.77e-06	79239613	2	X2021.HN.paniclesPerPlan	HN	1	79192992	79198410	+	1	79184077	79264981	848.89826	1	79192992	79198410	+	Sobic.001G478066	CutA1 divalent ion tolerance protein	balancing_wild_only
Sobic.001G478066	1	79177578	79257578	9.98e-06	79217578	1	X2020.LN.paniclesPerPlo	LN	1	79192992	79198410	+	1	79184077	79264981	848.89826	1	79192992	79198410	+	Sobic.001G478066	CutA1 divalent ion tolerance protein	balancing_wild_only
Sobic.001G478100	1	79177475	79257475	5.62e-06	79217475	1	X2020.HN.tillersPerPlan	HN	1	79194721	79202147	-	1	79184077	79264981	848.89826	1	79194721	79202147	-	Sobic.001G478100	Belongs to the peptidase A1 family	balancing_wild_only
Sobic.001G478100	1	79177475	79279613	3.77e-06	79239613	2	X2021.HN.paniclesPerPlan	HN	1	79194721	79202147	-	1	79184077	79264981	848.89826	1	79194721	79202147	-	Sobic.001G478100	Belongs to the peptidase A1 family	balancing_wild_only
Sobic.001G478100	1	79177578	79257578	9.98e-06	79217578	1	X2020.LN.paniclesPerPlo	LN	1	79194721	79202147	-	1	79184077	79264981	848.89826	1	79194721	79202147	-	Sobic.001G478100	Belongs to the peptidase A1 family	balancing_wild_only
Sobic.001G478200	1	79177475	79257475	5.62e-06	79217475	1	X2020.HN.tillersPerPlan	HN	1	79201501	79206677	-	1	79184077	79264981	848.89826	1	79201501	79206677	-	Sobic.001G478200	NA	balancing_wild_only
Sobic.001G478200	1	79177475	79279613	3.77e-06	79239613	2	X2021.HN.paniclesPerPlan	HN	1	79201501	79206677	-	1	79184077	79264981	848.89826	1	79201501	79206677	-	Sobic.001G478200	NA	balancing_wild_only
Sobic.001G478200	1	79177578	79257578	9.98e-06	79217578	1	X2020.LN.paniclesPerPlo	LN	1	79201501	79206677	-	1	79184077	79264981	848.89826	1	79201501	79206677	-	Sobic.001G478200	NA	balancing_wild_only
Sobic.001G478300	1	79177475	79257475	5.62e-06	79217475	1	X2020.HN.tillersPerPlan	HN	1	79203076	79212004	-	1	79184077	79264981	848.89826	1	79203076	79212004	-	Sobic.001G478300	Modifier of rudimentary (Mod(r)) protein	balancing_wild_only
Sobic.001G478300	1	79177475	79279613	3.77e-06	79239613	2	X2021.HN.paniclesPerPlan	HN	1	79203076	79212004	-	1	79184077	79264981	848.89826	1	79203076	79212004	-	Sobic.001G478300	Modifier of rudimentary (Mod(r)) protein	balancing_wild_only
Sobic.001G478300	1	79177578	79257578	9.98e-06	79217578	1	X2020.LN.paniclesPerPlo	LN	1	79203076	79212004	-	1	79184077	79264981	848.89826	1	79203076	79212004	-	Sobic.001G478300	Modifier of rudimentary (Mod(r)) protein	balancing_wild_only
Sobic.001G478400	1	79177475	79257475	5.62e-06	79217475	1	X2020.HN.tillersPerPlan	HN	1	79216823	79231445	+	1	79184077	79264981	848.89826	1	79216823	79231445	+	Sobic.001G478400	MADS-box transcription factor	balancing_wild_only
Sobic.001G478400	1	79177475	79279613	3.77e-06	79239613	2	X2021.HN.paniclesPerPlan	HN	1	79216823	79231445	+	1	79184077	79264981	848.89826	1	79216823	79231445	+	Sobic.001G478400	MADS-box transcription factor	balancing_wild_only
Sobic.001G478400	1	79177578	79257578	9.98e-06	79217578	1	X2020.LN.paniclesPerPlo	LN	1	79216823	79231445	+	1	79184077	79264981	848.89826	1	79216823	79231445	+	Sobic.001G478400	MADS-box transcription factor	balancing_wild_only
Sobic.001G478500	1	79177475	79257475	5.62e-06	79217475	1	X2020.HN.tillersPerPlan	HN	1	79227904	79237122	-	1	79184077	79264981	848.89826	1	79227904	79237122	-	Sobic.001G478500	Transmembrane protein 131-like	balancing_wild_only
Sobic.001G478500	1	79177475	79279613	3.77e-06	79239613	2	X2021.HN.paniclesPerPlan	HN	1	79227904	79237122	-	1	79184077	79264981	848.89826	1	79227904	79237122	-	Sobic.001G478500	Transmembrane protein 131-like	balancing_wild_only
Sobic.001G478500	1	79177578	79257578	9.98e-06	79217578	1	X2020.LN.paniclesPerPlo	LN	1	79227904	79237122	-	1	79184077	79264981	848.89826	1	79227904	79237122	-	Sobic.001G478500	Transmembrane protein 131-like	balancing_wild_only
Sobic.001G478600	1	79177475	79257475	5.62e-06	79217475	1	X2020.HN.tillersPerPlan	HN	1	79247516	79256566	-	1	79184077	79264981	848.89826	1	79247516	79256566	-	Sobic.001G478600	Uroporphyrinogen-III synthase HemD	balancing_wild_only
Sobic.001G478600	1	79177475	79279613	3.77e-06	79239613	2	X2021.HN.paniclesPerPlan	HN	1	79247516	79256566	-	1	79184077	79264981	848.89826	1	79247516	79256566	-	Sobic.001G478600	Uroporphyrinogen-III synthase HemD	balancing_wild_only
Sobic.001G478600	1	79177578	79257578	9.98e-06	79217578	1	X2020.LN.paniclesPerPlo	LN	1	79247516	79256566	-	1	79184077	79264981	848.89826	1	79247516	79256566	-	Sobic.001G478600	Uroporphyrinogen-III synthase HemD	balancing_wild_only
Sobic.001G478700	1	79177475	79279613	3.77e-06	79239613	2	X2021.HN.paniclesPerPlan	HN	1	79257767	79262615	-	1	79184077	79264981	848.89826	1	79257767	79262615	-	Sobic.001G478700	At5g64816-like	balancing_wild_only
Sobic.001G478800	1	79177475	79279613	3.77e-06	79239613	2	X2021.HN.paniclesPerPlan	HN	1	79258794	79270138	-	1	79184077	79264981	848.89826	1	79258794	79270138	-	Sobic.001G478800	phosphatidylglycerol acyl-chain remodeling	balancing_wild_only
Sobic.002G069166	2	6900556	6980578	5.31e-06	6940556	2	X2021.HN.thirdLeafWidt	HN	2	6922745	6927569	-	2	6854158	6960237	1435.476928	2	6922745	6927569	-	Sobic.002G069166	DNA-binding domain in plant proteins such as APETALA2 and EREBPs	balancing_wild_only
Sobic.002G069232	2	6900556	6980578	5.31e-06	6940556	2	X2021.HN.thirdLeafWidt	HN	2	6938396	6945016	+	2	6854158	6960237	1435.476928	2	6938396	6945016	+	Sobic.002G069232	NA	balancing_wild_only
Sobic.002G069300	2	6900556	6980578	5.31e-06	6940556	2	X2021.HN.thirdLeafWidt	HN	2	6946404	6951645	+	2	6854158	6960237	1435.476928	2	6946404	6951645	+	Sobic.002G069300	-	balancing_wild_only
Sobic.002G069400	2	6900556	6980578	5.31e-06	6940556	2	X2021.HN.thirdLeafWidt	HN	2	6951204	6956220	+	2	6854158	6960237	1435.476928	2	6951204	6956220	+	Sobic.002G069400	DNA-binding domain in plant proteins such as APETALA2 and EREBPs	balancing_wild_only
Sobic.002G081100	2	8611825	8691825	5.12e-06	8651825	1	X2020.HN.percentStarc	HN	2	8653150	8665881	+	2	8650630	8738318	1177.355702	2	8653150	8665881	+	Sobic.002G081100	Homodimerisation region of STAR domain protein	balancing_wild_only
Sobic.002G081300	2	8611825	8691825	5.12e-06	8651825	1	X2020.HN.percentStarc	HN	2	8683857	8689758	-	2	8650630	8738318	1177.355702	2	8683857	8689758	-	Sobic.002G081300	-	balancing_wild_only
Sobic.002G081400	2	8611825	8691825	5.12e-06	8651825	1	X2020.HN.percentStarc	HN	2	8688426	8698496	-	2	8650630	8738318	1177.355702	2	8688426	8698496	-	Sobic.002G081400	ABC1 family	balancing_wild_only
Sobic.002G081801	2	8734994	8849676	2.8e-07	8783653	17	X2021.tillersPerPlant.N	NR	2	8710946	8738730	-	2	8650630	8738318	1177.355702	2	8710946	8738730	-	Sobic.002G081801	NB-ARC domain	balancing_wild_only
Sobic.002G103450	2	12137477	12217477	7.9e-06	12177477	1	X2020.extantLeafNumber.N	NR	2	12200922	12209985	+	2	12133500	12245101	1313.132291	2	12200922	12209985	+	Sobic.002G103450	NA	balancing_wild_only
Sobic.002G137800	2	21307899	21387899	4.17e-06	21347899	1	X2020.estimatedPlotYield.N	NR	2	21348408	21355931	+	2	21338323	21451631	1752.158766	2	21348408	21355931	+	Sobic.002G137800	Belongs to the iron ascorbate-dependent oxidoreductase family	balancing_wild_only
Sobic.002G209000	2	61372594	61452594	6.98e-06	61412594	1	X2020.LN.estimatedPlotYiel	LN	2	61372468	61383251	-	2	61374851	61600230	2016.296262	2	61372468	61383251	-	Sobic.002G209000	Glutamate-gated receptor that probably acts as non- selective cation channel	balancing_wild_only
Sobic.002G209100	2	61372594	61452594	6.98e-06	61412594	1	X2020.LN.estimatedPlotYiel	LN	2	61381224	61393755	+	2	61374851	61600230	2016.296262	2	61381224	61393755	+	Sobic.002G209100	Glutamate-gated receptor that probably acts as non- selective cation channel	balancing_wild_only
Sobic.002G209200	2	61372594	61452594	6.98e-06	61412594	1	X2020.LN.estimatedPlotYiel	LN	2	61392654	61403746	+	2	61374851	61600230	2016.296262	2	61392654	61403746	+	Sobic.002G209200	Glutamate-gated receptor that probably acts as non- selective cation channel	balancing_wild_only
Sobic.002G209300	2	61372594	61452594	6.98e-06	61412594	1	X2020.LN.estimatedPlotYiel	LN	2	61399796	61405861	-	2	61374851	61600230	2016.296262	2	61399796	61405861	-	Sobic.002G209300	Myb-like DNA-binding domain	balancing_wild_only
Sobic.002G209400	2	61372594	61452594	6.98e-06	61412594	1	X2020.LN.estimatedPlotYiel	LN	2	61415678	61426959	-	2	61374851	61600230	2016.296262	2	61415678	61426959	-	Sobic.002G209400	TAFs are components of the transcription factor IID (TFIID) complex that is essential for mediating regulation of RNA polymerase transcription	balancing_wild_only
Sobic.002G209500	2	61372594	61452594	6.98e-06	61412594	1	X2020.LN.estimatedPlotYiel	LN	2	61430007	61434327	+	2	61374851	61600230	2016.296262	2	61430007	61434327	+	Sobic.002G209500	NA	balancing_wild_only
Sobic.002G209600	2	61372594	61452594	6.98e-06	61412594	1	X2020.LN.estimatedPlotYiel	LN	2	61432455	61449345	+	2	61374851	61600230	2016.296262	2	61432455	61449345	+	Sobic.002G209600	Pentatricopeptide repeat domain	balancing_wild_only
Sobic.002G217800	2	62287577	62367577	8.6e-06	62327577	1	X2021.HN.percentOi	HN	2	62281329	62288924	-	2	62241224	62334905	929.7767502	2	62281329	62288924	-	Sobic.002G217800	F-box FBD LRR-repeat protein	balancing_wild_only
Sobic.002G217900	2	62287577	62367577	8.6e-06	62327577	1	X2021.HN.percentOi	HN	2	62289564	62296263	-	2	62241224	62334905	929.7767502	2	62289564	62296263	-	Sobic.002G217900	F-box FBD LRR-repeat protein	balancing_wild_only
Sobic.002G218000	2	62287577	62367577	8.6e-06	62327577	1	X2021.HN.percentOi	HN	2	62293316	62300028	-	2	62241224	62334905	929.7767502	2	62293316	62300028	-	Sobic.002G218000	TATA-binding related factor (TRF) of subunit 20 of Mediator complex	balancing_wild_only
