gene_id	gwas_chr	gwas_start	gwas_end	gwas_pvalue	gwas_peak_pos	gwas_n_snps	gwas_trait	gwas_condition	gwas_gene_chr	gwas_gene_start	gwas_gene_end	gwas_gene_strand	selection_V1	selection_V2	selection_V3	selection_V4	selection_V5	selection_V6	selection_V7	selection_V8	selection_V9	selection_V10	selection_Description	selection_condition
Sobic.001G235500	1	23912650	23992650	8.21e-06	23952650	1	X2021.HN.stemDiameterLowe	HN	1	23932659	23938763	-	1	23925001	23980000	0.273849	5	1	23932659	23938763	-	Sobic.001G235500	Belongs to the cytochrome P450 family	fst_breeding_improved_vs_landrace
Sobic.001G235600	1	23912650	23992650	8.21e-06	23952650	1	X2021.HN.stemDiameterLowe	HN	1	23952022	23957602	+	1	23925001	23980000	0.273849	5	1	23952022	23957602	+	Sobic.001G235600	NA	fst_breeding_improved_vs_landrace
Sobic.001G235700	1	23912650	23992650	8.21e-06	23952650	1	X2021.HN.stemDiameterLowe	HN	1	23954602	23966217	-	1	23925001	23980000	0.273849	5	1	23954602	23966217	-	Sobic.001G235700	Translin family	fst_breeding_improved_vs_landrace
Sobic.001G235800	1	23912650	23992650	8.21e-06	23952650	1	X2021.HN.stemDiameterLowe	HN	1	23964832	23970435	+	1	23925001	23980000	0.273849	5	1	23964832	23970435	+	Sobic.001G235800	Belongs to the peroxidase family. Classical plant (class III) peroxidase subfamily	fst_breeding_improved_vs_landrace
Sobic.001G235900	1	23912650	23992650	8.21e-06	23952650	1	X2021.HN.stemDiameterLowe	HN	1	23976697	23996950	-	1	23925001	23980000	0.273849	5	1	23976697	23996950	-	Sobic.001G235900	ABC transporter	fst_breeding_improved_vs_landrace
Sobic.001G249200	1	26979409	27078623	4.09e-06	27029152	4	X2020.LN.stemDiameterUppe	LN	1	27057733	27067348	-	1	27065001	27120000	0.274236	5	1	27057733	27067348	-	Sobic.001G249200	KH domain	fst_breeding_improved_vs_landrace
Sobic.001G249200	1	27047181	27133597	8.37e-07	27091166	53	X2020.thirdLeafLength.N	NR	1	27057733	27067348	-	1	27065001	27120000	0.274236	5	1	27057733	27067348	-	Sobic.001G249200	KH domain	fst_breeding_improved_vs_landrace
Sobic.001G249233	1	26979409	27078623	4.09e-06	27029152	4	X2020.LN.stemDiameterUppe	LN	1	27067424	27074175	-	1	27065001	27120000	0.274236	5	1	27067424	27074175	-	Sobic.001G249233	NA	fst_breeding_improved_vs_landrace
Sobic.001G249233	1	27047181	27133597	8.37e-07	27091166	53	X2020.thirdLeafLength.N	NR	1	27067424	27074175	-	1	27065001	27120000	0.274236	5	1	27067424	27074175	-	Sobic.001G249233	NA	fst_breeding_improved_vs_landrace
Sobic.001G249266	1	27047181	27133597	8.37e-07	27091166	53	X2020.thirdLeafLength.N	NR	1	27084624	27089075	+	1	27065001	27120000	0.274236	5	1	27084624	27089075	+	Sobic.001G249266	NA	fst_breeding_improved_vs_landrace
Sobic.001G249300	1	27047181	27133597	8.37e-07	27091166	53	X2020.thirdLeafLength.N	NR	1	27090570	27097296	+	1	27065001	27120000	0.274236	5	1	27090570	27097296	+	Sobic.001G249300	Leucine Rich Repeat	fst_breeding_improved_vs_landrace
Sobic.001G249400	1	27047181	27133597	8.37e-07	27091166	53	X2020.thirdLeafLength.N	NR	1	27110641	27119264	+	1	27065001	27120000	0.274236	5	1	27110641	27119264	+	Sobic.001G249400	Tetrapyrrole (Corrin/Porphyrin) Methylases	fst_breeding_improved_vs_landrace
Sobic.001G279500	1	58680768	58760803	1.3e-07	58720768	3	X2020.HN.daysToFlowe	HN	1	58679418	58684139	+	1	58630001	58705000	0.356079	9	1	58679418	58684139	+	Sobic.001G279500	VQ motif	fst_breeding_improved_vs_landrace
Sobic.001G279500	1	58680803	58760803	9.36e-06	58720803	1	X2020.panicleGrainWeight.N	NR	1	58679418	58684139	+	1	58630001	58705000	0.356079	9	1	58679418	58684139	+	Sobic.001G279500	VQ motif	fst_breeding_improved_vs_landrace
Sobic.001G279601	1	58680768	58760803	1.3e-07	58720768	3	X2020.HN.daysToFlowe	HN	1	58726537	58733384	+	1	58725001	58770000	0.319154	3	1	58726537	58733384	+	Sobic.001G279601	NA	fst_breeding_improved_vs_landrace
Sobic.001G279601	1	58680803	58760803	9.36e-06	58720803	1	X2020.panicleGrainWeight.N	NR	1	58726537	58733384	+	1	58725001	58770000	0.319154	3	1	58726537	58733384	+	Sobic.001G279601	NA	fst_breeding_improved_vs_landrace
Sobic.001G279701	1	58680768	58760803	1.3e-07	58720768	3	X2020.HN.daysToFlowe	HN	1	58741681	58746505	-	1	58725001	58770000	0.319154	3	1	58741681	58746505	-	Sobic.001G279701	-	fst_breeding_improved_vs_landrace
Sobic.001G279701	1	58680803	58760803	9.36e-06	58720803	1	X2020.panicleGrainWeight.N	NR	1	58741681	58746505	-	1	58725001	58770000	0.319154	3	1	58741681	58746505	-	Sobic.001G279701	-	fst_breeding_improved_vs_landrace
Sobic.001G280900	1	59091548	59171548	1.3e-06	59131548	1	X2020.HN.paniclesPerPlo	HN	1	59151318	59169140	-	1	59135001	59195000	0.288949	6	1	59151318	59169140	-	Sobic.001G280900	isoform X1	fst_breeding_improved_vs_landrace
Sobic.001G281100	1	59091548	59171548	1.3e-06	59131548	1	X2020.HN.paniclesPerPlo	HN	1	59166568	59179238	-	1	59135001	59195000	0.288949	6	1	59166568	59179238	-	Sobic.001G281100	Protein of unknown function (DUF1336)	fst_breeding_improved_vs_landrace
Sobic.001G287700	1	60411419	60507791	8.02e-06	60451419	2	X2021.HN.tillersPerPlan	HN	1	60485908	60491230	+	1	60440001	60490000	0.247065	4	1	60485908	60491230	+	Sobic.001G287700	Protein of unknown function, DUF617	fst_breeding_improved_vs_landrace
Sobic.001G287800	1	60411419	60507791	8.02e-06	60451419	2	X2021.HN.tillersPerPlan	HN	1	60489525	60497946	+	1	60440001	60490000	0.247065	4	1	60489525	60497946	+	Sobic.001G287800	Putative GTPase activating protein for Arf	fst_breeding_improved_vs_landrace
Sobic.001G295000	1	61476933	61592313	4.08e-06	61552313	2	X2020.HN.primaryBranchNumbe	HN	1	61473237	61479544	-	1	61475001	61540000	0.254663	6	1	61473237	61479544	-	Sobic.001G295000	Cyclin	fst_breeding_improved_vs_landrace
Sobic.001G295000	1	61443797	61523797	4.36e-06	61483797	1	X2021.HN.thirdLeafLengt	HN	1	61473237	61479544	-	1	61475001	61540000	0.254663	6	1	61473237	61479544	-	Sobic.001G295000	Cyclin	fst_breeding_improved_vs_landrace
Sobic.001G295100	1	61476933	61592313	4.08e-06	61552313	2	X2020.HN.primaryBranchNumbe	HN	1	61480102	61485051	+	1	61475001	61540000	0.254663	6	1	61480102	61485051	+	Sobic.001G295100	May be involved in both secretory and endocytic intracellular trafficking in the endosomal prevacuolar compartments	fst_breeding_improved_vs_landrace
Sobic.001G295100	1	61443797	61523797	4.36e-06	61483797	1	X2021.HN.thirdLeafLengt	HN	1	61480102	61485051	+	1	61475001	61540000	0.254663	6	1	61480102	61485051	+	Sobic.001G295100	May be involved in both secretory and endocytic intracellular trafficking in the endosomal prevacuolar compartments	fst_breeding_improved_vs_landrace
Sobic.001G295200	1	61476933	61592313	4.08e-06	61552313	2	X2020.HN.primaryBranchNumbe	HN	1	61482738	61489388	+	1	61475001	61540000	0.254663	6	1	61482738	61489388	+	Sobic.001G295200	Nucleoside diphosphate kinase	fst_breeding_improved_vs_landrace
Sobic.001G295200	1	61443797	61523797	4.36e-06	61483797	1	X2021.HN.thirdLeafLengt	HN	1	61482738	61489388	+	1	61475001	61540000	0.254663	6	1	61482738	61489388	+	Sobic.001G295200	Nucleoside diphosphate kinase	fst_breeding_improved_vs_landrace
Sobic.001G295300	1	61476933	61592313	4.08e-06	61552313	2	X2020.HN.primaryBranchNumbe	HN	1	61486342	61492639	-	1	61475001	61540000	0.254663	6	1	61486342	61492639	-	Sobic.001G295300	Peptide methionine sulfoxide reductase	fst_breeding_improved_vs_landrace
Sobic.001G295300	1	61443797	61523797	4.36e-06	61483797	1	X2021.HN.thirdLeafLengt	HN	1	61486342	61492639	-	1	61475001	61540000	0.254663	6	1	61486342	61492639	-	Sobic.001G295300	Peptide methionine sulfoxide reductase	fst_breeding_improved_vs_landrace
Sobic.001G295400	1	61476933	61592313	4.08e-06	61552313	2	X2020.HN.primaryBranchNumbe	HN	1	61489998	61499926	-	1	61475001	61540000	0.254663	6	1	61489998	61499926	-	Sobic.001G295400	Protein kinase domain	fst_breeding_improved_vs_landrace
Sobic.001G295400	1	61443797	61523797	4.36e-06	61483797	1	X2021.HN.thirdLeafLengt	HN	1	61489998	61499926	-	1	61475001	61540000	0.254663	6	1	61489998	61499926	-	Sobic.001G295400	Protein kinase domain	fst_breeding_improved_vs_landrace
Sobic.001G295500	1	61476933	61592313	4.08e-06	61552313	2	X2020.HN.primaryBranchNumbe	HN	1	61496504	61503309	-	1	61475001	61540000	0.254663	6	1	61496504	61503309	-	Sobic.001G295500	isoform X1	fst_breeding_improved_vs_landrace
Sobic.001G295500	1	61443797	61523797	4.36e-06	61483797	1	X2021.HN.thirdLeafLengt	HN	1	61496504	61503309	-	1	61475001	61540000	0.254663	6	1	61496504	61503309	-	Sobic.001G295500	isoform X1	fst_breeding_improved_vs_landrace
Sobic.001G295600	1	61476933	61592313	4.08e-06	61552313	2	X2020.HN.primaryBranchNumbe	HN	1	61500494	61508809	-	1	61475001	61540000	0.254663	6	1	61500494	61508809	-	Sobic.001G295600	Myb-like DNA-binding domain	fst_breeding_improved_vs_landrace
Sobic.001G295600	1	61443797	61523797	4.36e-06	61483797	1	X2021.HN.thirdLeafLengt	HN	1	61500494	61508809	-	1	61475001	61540000	0.254663	6	1	61500494	61508809	-	Sobic.001G295600	Myb-like DNA-binding domain	fst_breeding_improved_vs_landrace
Sobic.001G295650	1	61476933	61592313	4.08e-06	61552313	2	X2020.HN.primaryBranchNumbe	HN	1	61527592	61532366	+	1	61475001	61540000	0.254663	6	1	61527592	61532366	+	Sobic.001G295650	NA	fst_breeding_improved_vs_landrace
Sobic.001G295650	1	61508962	61592944	2.33e-06	61552313	6	X2020.LN.primaryBranchNumbe	LN	1	61527592	61532366	+	1	61475001	61540000	0.254663	6	1	61527592	61532366	+	Sobic.001G295650	NA	fst_breeding_improved_vs_landrace
Sobic.001G295700	1	61476933	61592313	4.08e-06	61552313	2	X2020.HN.primaryBranchNumbe	HN	1	61550955	61556993	+	1	61555001	61605000	0.279317	4	1	61550955	61556993	+	Sobic.001G295700	Lipase (class 3)	fst_breeding_improved_vs_landrace
Sobic.001G295700	1	61508962	61592944	2.33e-06	61552313	6	X2020.LN.primaryBranchNumbe	LN	1	61550955	61556993	+	1	61555001	61605000	0.279317	4	1	61550955	61556993	+	Sobic.001G295700	Lipase (class 3)	fst_breeding_improved_vs_landrace
Sobic.001G295800	1	61476933	61592313	4.08e-06	61552313	2	X2020.HN.primaryBranchNumbe	HN	1	61577148	61582859	-	1	61555001	61605000	0.279317	4	1	61577148	61582859	-	Sobic.001G295800	Wall-associated receptor kinase galacturonan-binding	fst_breeding_improved_vs_landrace
Sobic.001G295800	1	61508962	61592944	2.33e-06	61552313	6	X2020.LN.primaryBranchNumbe	LN	1	61577148	61582859	-	1	61555001	61605000	0.279317	4	1	61577148	61582859	-	Sobic.001G295800	Wall-associated receptor kinase galacturonan-binding	fst_breeding_improved_vs_landrace
Sobic.001G295900	1	61590284	61670284	9.6e-06	61630284	1	X2020.HN.rachisDiameterLowe	HN	1	61594186	61601792	+	1	61555001	61605000	0.279317	4	1	61594186	61601792	+	Sobic.001G295900	Protein kinase domain	fst_breeding_improved_vs_landrace
Sobic.001G296000	1	61590284	61670284	9.6e-06	61630284	1	X2020.HN.rachisDiameterLowe	HN	1	61597628	61602848	-	1	61555001	61605000	0.279317	4	1	61597628	61602848	-	Sobic.001G296000	Protein BRANCHLESS TRICHOME	fst_breeding_improved_vs_landrace
Sobic.001G296100	1	61590284	61670284	9.6e-06	61630284	1	X2020.HN.rachisDiameterLowe	HN	1	61604365	61612656	-	1	61555001	61605000	0.279317	4	1	61604365	61612656	-	Sobic.001G296100	Protein of unknown function (DUF632)	fst_breeding_improved_vs_landrace
Sobic.002G021200	2	1895670	1975672	9.91e-06	1935670	2	X2020.HN.percentMoistur	HN	2	1961163	1971843	-	2	1965001	2105000	0.369014	15	2	1961163	1971843	-	Sobic.002G021200	SNF2 family N-terminal domain	fst_breeding_improved_vs_landrace
Sobic.002G021300	2	1895670	1975672	9.91e-06	1935670	2	X2020.HN.percentMoistur	HN	2	1975325	1982095	+	2	1965001	2105000	0.369014	15	2	1975325	1982095	+	Sobic.002G021300	basic region leucin zipper	fst_breeding_improved_vs_landrace
Sobic.002G023200	2	2111286	2191286	9.79e-06	2151286	1	X2021.LN.daysToFlowe	LN	2	2136988	2141794	+	2	2130001	2180000	0.247317	4	2	2136988	2141794	+	Sobic.002G023200	Belongs to the CRISP family	fst_breeding_improved_vs_landrace
Sobic.002G023300	2	2111286	2191286	9.79e-06	2151286	1	X2021.LN.daysToFlowe	LN	2	2148949	2153790	+	2	2130001	2180000	0.247317	4	2	2148949	2153790	+	Sobic.002G023300	Belongs to the CRISP family	fst_breeding_improved_vs_landrace
Sobic.002G023400	2	2111286	2191286	9.79e-06	2151286	1	X2021.LN.daysToFlowe	LN	2	2151105	2158238	-	2	2130001	2180000	0.247317	4	2	2151105	2158238	-	Sobic.002G023400	Protein of unknown function, DUF594	fst_breeding_improved_vs_landrace
Sobic.002G023500	2	2111286	2191286	9.79e-06	2151286	1	X2021.LN.daysToFlowe	LN	2	2160062	2169333	-	2	2130001	2180000	0.247317	4	2	2160062	2169333	-	Sobic.002G023500	Protein of unknown function, DUF594	fst_breeding_improved_vs_landrace
Sobic.002G023600	2	2111286	2191286	9.79e-06	2151286	1	X2021.LN.daysToFlowe	LN	2	2171252	2177837	-	2	2130001	2180000	0.247317	4	2	2171252	2177837	-	Sobic.002G023600	protein dimerization activity	fst_breeding_improved_vs_landrace
Sobic.002G023700	2	2111286	2191286	9.79e-06	2151286	1	X2021.LN.daysToFlowe	LN	2	2177914	2185033	-	2	2130001	2180000	0.247317	4	2	2177914	2185033	-	Sobic.002G023700	Protein of unknown function, DUF594	fst_breeding_improved_vs_landrace
Sobic.002G179700	2	57325552	57405552	8.63e-06	57365552	1	X2020.rachisLength.N	NR	2	57328904	57334720	-	2	57275001	57335000	0.310007	6	2	57328904	57334720	-	Sobic.002G179700	3-ketoacyl-CoA synthase	fst_breeding_improved_vs_landrace
Sobic.002G353800	2	73022274	73102274	4.63e-06	73062274	1	X2020.LN.branchInternodeLengt	LN	2	73040418	73046101	+	2	73035001	73130000	0.335456	13	2	73040418	73046101	+	Sobic.002G353800	Homeobox domain	fst_breeding_improved_vs_landrace
Sobic.002G353900	2	73022274	73102274	4.63e-06	73062274	1	X2020.LN.branchInternodeLengt	LN	2	73067011	73073657	+	2	73035001	73130000	0.335456	13	2	73067011	73073657	+	Sobic.002G353900	Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family	fst_breeding_improved_vs_landrace
Sobic.002G354000	2	73022274	73102274	4.63e-06	73062274	1	X2020.LN.branchInternodeLengt	LN	2	73071822	73077978	+	2	73035001	73130000	0.335456	13	2	73071822	73077978	+	Sobic.002G354000	Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family	fst_breeding_improved_vs_landrace
Sobic.002G354100	2	73022274	73102274	4.63e-06	73062274	1	X2020.LN.branchInternodeLengt	LN	2	73083008	73089006	-	2	73035001	73130000	0.335456	13	2	73083008	73089006	-	Sobic.002G354100	Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family	fst_breeding_improved_vs_landrace
Sobic.002G354200	2	73022274	73102274	4.63e-06	73062274	1	X2020.LN.branchInternodeLengt	LN	2	73086868	73092844	-	2	73035001	73130000	0.335456	13	2	73086868	73092844	-	Sobic.002G354200	Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family	fst_breeding_improved_vs_landrace
Sobic.002G354300	2	73022274	73102274	4.63e-06	73062274	1	X2020.LN.branchInternodeLengt	LN	2	73090929	73096325	-	2	73035001	73130000	0.335456	13	2	73090929	73096325	-	Sobic.002G354300	Sugar (and other) transporter	fst_breeding_improved_vs_landrace
Sobic.002G354400	2	73022274	73102274	4.63e-06	73062274	1	X2020.LN.branchInternodeLengt	LN	2	73094724	73100792	-	2	73035001	73130000	0.335456	13	2	73094724	73100792	-	Sobic.002G354400	Sugar (and other) transporter	fst_breeding_improved_vs_landrace
Sobic.002G354501	2	73022274	73102274	4.63e-06	73062274	1	X2020.LN.branchInternodeLengt	LN	2	73098965	73106428	-	2	73035001	73130000	0.335456	13	2	73098965	73106428	-	Sobic.002G354501	Ribosome associated membrane protein RAMP4	fst_breeding_improved_vs_landrace
Sobic.003G049700	3	4585224	4665241	6.82e-06	4625241	2	X2021.HN.stemDiameterLowe	HN	3	4591831	4601286	-	3	4600001	4640000	0.262577	2	3	4591831	4601286	-	Sobic.003G049700	Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily	fst_breeding_improved_vs_landrace
Sobic.003G049750	3	4585224	4665241	6.82e-06	4625241	2	X2021.HN.stemDiameterLowe	HN	3	4606062	4611806	+	3	4600001	4640000	0.262577	2	3	4606062	4611806	+	Sobic.003G049750	NA	fst_breeding_improved_vs_landrace
Sobic.003G049800	3	4585224	4665241	6.82e-06	4625241	2	X2021.HN.stemDiameterLowe	HN	3	4608608	4615833	+	3	4600001	4640000	0.262577	2	3	4608608	4615833	+	Sobic.003G049800	Alba	fst_breeding_improved_vs_landrace
Sobic.003G050000	3	4585224	4665241	6.82e-06	4625241	2	X2021.HN.stemDiameterLowe	HN	3	4612239	4617947	+	3	4600001	4640000	0.262577	2	3	4612239	4617947	+	Sobic.003G050000	Protein of unknown function, DUF393	fst_breeding_improved_vs_landrace
Sobic.003G050100	3	4585224	4665241	6.82e-06	4625241	2	X2021.HN.stemDiameterLowe	HN	3	4613331	4620980	-	3	4600001	4640000	0.262577	2	3	4613331	4620980	-	Sobic.003G050100	Glycosyl hydrolases family 28	fst_breeding_improved_vs_landrace
Sobic.003G050200	3	4585224	4665241	6.82e-06	4625241	2	X2021.HN.stemDiameterLowe	HN	3	4616537	4621827	-	3	4600001	4640000	0.262577	2	3	4616537	4621827	-	Sobic.003G050200	Embryo-specific protein 3, (ATS3)	fst_breeding_improved_vs_landrace
Sobic.003G050300	3	4585224	4665241	6.82e-06	4625241	2	X2021.HN.stemDiameterLowe	HN	3	4618304	4624149	-	3	4600001	4640000	0.262577	2	3	4618304	4624149	-	Sobic.003G050300	Belongs to the peroxidase family. Classical plant (class III) peroxidase subfamily	fst_breeding_improved_vs_landrace
Sobic.003G050400	3	4585224	4665241	6.82e-06	4625241	2	X2021.HN.stemDiameterLowe	HN	3	4624292	4635388	+	3	4600001	4640000	0.262577	2	3	4624292	4635388	+	Sobic.003G050400	Hydrolyzes glycerol-phospholipids at the terminal phosphodiesteric bond	fst_breeding_improved_vs_landrace
Sobic.003G050500	3	4585224	4665241	6.82e-06	4625241	2	X2021.HN.stemDiameterLowe	HN	3	4634495	4639390	-	3	4600001	4640000	0.262577	2	3	4634495	4639390	-	Sobic.003G050500	basic region leucin zipper	fst_breeding_improved_vs_landrace
Sobic.003G050600	3	4585224	4665241	6.82e-06	4625241	2	X2021.HN.stemDiameterLowe	HN	3	4638485	4646189	+	3	4600001	4640000	0.262577	2	3	4638485	4646189	+	Sobic.003G050600	Protein of unknown function (DUF4050)	fst_breeding_improved_vs_landrace
Sobic.003G250600	3	65172809	65252813	2.7e-06	65212809	2	X2020.HN.percentStarc	HN	3	65214714	65220007	-	3	65220001	65285000	0.292592	7	3	65214714	65220007	-	Sobic.003G250600	Glutaredoxin	fst_breeding_improved_vs_landrace
Sobic.003G250700	3	65172809	65252813	2.7e-06	65212809	2	X2020.HN.percentStarc	HN	3	65229425	65234856	-	3	65220001	65285000	0.292592	7	3	65229425	65234856	-	Sobic.003G250700	Four repeated domains in the Fasciclin I family of proteins, present in many other contexts.	fst_breeding_improved_vs_landrace
Sobic.003G250900	3	65172809	65252813	2.7e-06	65212809	2	X2020.HN.percentStarc	HN	3	65239831	65254713	+	3	65220001	65285000	0.292592	7	3	65239831	65254713	+	Sobic.003G250900	PHD-zinc-finger like domain	fst_breeding_improved_vs_landrace
Sobic.003G251000	3	65172809	65252813	2.7e-06	65212809	2	X2020.HN.percentStarc	HN	3	65252051	65259156	-	3	65220001	65285000	0.292592	7	3	65252051	65259156	-	Sobic.003G251000	Serine threonine-protein kinase	fst_breeding_improved_vs_landrace
Sobic.003G296200	3	69084681	69166386	2.03e-06	69126386	3	X2020.HN.tillersPerPlan	HN	3	69143245	69154842	+	3	69145001	69185000	0.245358	2	3	69143245	69154842	+	Sobic.003G296200	Triose-phosphate Transporter family	fst_breeding_improved_vs_landrace
Sobic.003G296250	3	69084681	69166386	2.03e-06	69126386	3	X2020.HN.tillersPerPlan	HN	3	69149857	69155834	-	3	69145001	69185000	0.245358	2	3	69149857	69155834	-	Sobic.003G296250	NA	fst_breeding_improved_vs_landrace
Sobic.003G296300	3	69084681	69166386	2.03e-06	69126386	3	X2020.HN.tillersPerPlan	HN	3	69152112	69158512	-	3	69145001	69185000	0.245358	2	3	69152112	69158512	-	Sobic.003G296300	WRKY DNA -binding domain	fst_breeding_improved_vs_landrace
Sobic.003G348500	3	73243454	73323454	5.91e-06	73283454	1	X2020.LN.paniclesPerPlo	LN	3	73239102	73244645	+	3	73195001	73250000	0.262556	5	3	73239102	73244645	+	Sobic.003G348500	Amb_all	fst_breeding_improved_vs_landrace
Sobic.003G348600	3	73243454	73323454	5.91e-06	73283454	1	X2020.LN.paniclesPerPlo	LN	3	73241268	73247431	+	3	73195001	73250000	0.262556	5	3	73241268	73247431	+	Sobic.003G348600	Serine aminopeptidase, S33	fst_breeding_improved_vs_landrace
Sobic.003G348700	3	73243454	73323454	5.91e-06	73283454	1	X2020.LN.paniclesPerPlo	LN	3	73244018	73251133	+	3	73195001	73250000	0.262556	5	3	73244018	73251133	+	Sobic.003G348700	Serine aminopeptidase, S33	fst_breeding_improved_vs_landrace
Sobic.003G348800	3	73243454	73323454	5.91e-06	73283454	1	X2020.LN.paniclesPerPlo	LN	3	73249642	73258518	+	3	73195001	73250000	0.262556	5	3	73249642	73258518	+	Sobic.003G348800	GDP-mannose 4,6 dehydratase	fst_breeding_improved_vs_landrace
Sobic.003G418200	3	78721554	78801554	9.54e-06	78761554	1	X2021.HN.tillersPerPlan	HN	3	78780772	78792043	-	3	78790001	78845000	0.272551	5	3	78780772	78792043	-	Sobic.003G418200	Protein of unknown function, DUF255	fst_breeding_improved_vs_landrace
Sobic.003G418300	3	78721554	78801554	9.54e-06	78761554	1	X2021.HN.tillersPerPlan	HN	3	78788783	78795777	-	3	78790001	78845000	0.272551	5	3	78788783	78795777	-	Sobic.003G418300	Protein kinase domain	fst_breeding_improved_vs_landrace
Sobic.003G418400	3	78721554	78801554	9.54e-06	78761554	1	X2021.HN.tillersPerPlan	HN	3	78797589	78802117	-	3	78790001	78845000	0.272551	5	3	78797589	78802117	-	Sobic.003G418400	-	fst_breeding_improved_vs_landrace
Sobic.004G006000	4	556281	636281	6.79e-06	596281	1	X2021.LN.stemDiameterLowe	LN	4	563665	569673	-	4	540001	595000	0.273295	5	4	563665	569673	-	Sobic.004G006000	-	fst_breeding_improved_vs_landrace
Sobic.004G006100	4	556281	636281	6.79e-06	596281	1	X2021.LN.stemDiameterLowe	LN	4	569695	575655	+	4	540001	595000	0.273295	5	4	569695	575655	+	Sobic.004G006100	Belongs to the cytochrome P450 family	fst_breeding_improved_vs_landrace
Sobic.004G006200	4	556281	636281	6.79e-06	596281	1	X2021.LN.stemDiameterLowe	LN	4	571929	582139	-	4	540001	595000	0.273295	5	4	571929	582139	-	Sobic.004G006200	Catalyzes the ferrous insertion into protoporphyrin IX	fst_breeding_improved_vs_landrace
Sobic.004G006300	4	556281	636281	6.79e-06	596281	1	X2021.LN.stemDiameterLowe	LN	4	579758	586217	-	4	540001	595000	0.273295	5	4	579758	586217	-	Sobic.004G006300	Belongs to the TCTP family	fst_breeding_improved_vs_landrace
Sobic.004G006400	4	556281	636281	6.79e-06	596281	1	X2021.LN.stemDiameterLowe	LN	4	584976	592161	-	4	540001	595000	0.273295	5	4	584976	592161	-	Sobic.004G006400	Cytochrome P450	fst_breeding_improved_vs_landrace
Sobic.004G006500	4	556281	636281	6.79e-06	596281	1	X2021.LN.stemDiameterLowe	LN	4	592123	597861	-	4	540001	595000	0.273295	5	4	592123	597861	-	Sobic.004G006500	Protein BYPASS1-related	fst_breeding_improved_vs_landrace
