gene_id	gwas_chr	gwas_start	gwas_end	gwas_pvalue	gwas_peak_pos	gwas_n_snps	gwas_trait	gwas_condition	gwas_gene_chr	gwas_gene_start	gwas_gene_end	gwas_gene_strand	selection_V1	selection_V2	selection_V3	selection_V4	selection_V5	selection_V6	selection_V7	selection_V8	selection_V9	selection_Description	selection_condition
Sobic.001G156100	1	12719051	12799165	7.91e-06	12759165	4	X2021.plantHeight.N	NR	1	12753521	12762825	+	1	12675784	12757615	1135.117652	1	12753521	12762825	+	Sobic.001G156100	Belongs to the class-III pyridoxal-phosphate-dependent aminotransferase family	balancing_landrace_only
Sobic.001G187201	1	16591671	16671671	9.59e-06	16631671	1	X2021.LN.plantHeigh	LN	1	16590798	16597786	+	1	16515214	16636440	1433.262151	1	16590798	16597786	+	Sobic.001G187201	Transmembrane proteins 14C	balancing_landrace_only
Sobic.001G187300	1	16591671	16671671	9.59e-06	16631671	1	X2021.LN.plantHeigh	LN	1	16595559	16601286	-	1	16515214	16636440	1433.262151	1	16595559	16601286	-	Sobic.001G187300	Molybdate transporter of MFS superfamily	balancing_landrace_only
Sobic.001G187400	1	16591671	16671671	9.59e-06	16631671	1	X2021.LN.plantHeigh	LN	1	16628495	16634593	+	1	16515214	16636440	1433.262151	1	16628495	16634593	+	Sobic.001G187400	Belongs to the cytochrome P450 family	balancing_landrace_only
Sobic.001G235500	1	23912650	23992650	8.21e-06	23952650	1	X2021.HN.stemDiameterLowe	HN	1	23932659	23938763	-	1	23937352	24037915	1750.600887	1	23932659	23938763	-	Sobic.001G235500	Belongs to the cytochrome P450 family	balancing_landrace_only
Sobic.001G235600	1	23912650	23992650	8.21e-06	23952650	1	X2021.HN.stemDiameterLowe	HN	1	23952022	23957602	+	1	23937352	24037915	1750.600887	1	23952022	23957602	+	Sobic.001G235600	NA	balancing_landrace_only
Sobic.001G235700	1	23912650	23992650	8.21e-06	23952650	1	X2021.HN.stemDiameterLowe	HN	1	23954602	23966217	-	1	23937352	24037915	1750.600887	1	23954602	23966217	-	Sobic.001G235700	Translin family	balancing_landrace_only
Sobic.001G235800	1	23912650	23992650	8.21e-06	23952650	1	X2021.HN.stemDiameterLowe	HN	1	23964832	23970435	+	1	23937352	24037915	1750.600887	1	23964832	23970435	+	Sobic.001G235800	Belongs to the peroxidase family. Classical plant (class III) peroxidase subfamily	balancing_landrace_only
Sobic.001G235900	1	23912650	23992650	8.21e-06	23952650	1	X2021.HN.stemDiameterLowe	HN	1	23976697	23996950	-	1	23937352	24037915	1750.600887	1	23976697	23996950	-	Sobic.001G235900	ABC transporter	balancing_landrace_only
Sobic.001G280800	1	59091548	59171548	1.3e-06	59131548	1	X2020.HN.paniclesPerPlo	HN	1	59112450	59117879	-	1	59117700	59214264	1371.41371	1	59112450	59117879	-	Sobic.001G280800	glutathione transferase activity	balancing_landrace_only
Sobic.001G280900	1	59091548	59171548	1.3e-06	59131548	1	X2020.HN.paniclesPerPlo	HN	1	59151318	59169140	-	1	59117700	59214264	1371.41371	1	59151318	59169140	-	Sobic.001G280900	isoform X1	balancing_landrace_only
Sobic.001G281100	1	59091548	59171548	1.3e-06	59131548	1	X2020.HN.paniclesPerPlo	HN	1	59166568	59179238	-	1	59117700	59214264	1371.41371	1	59166568	59179238	-	Sobic.001G281100	Protein of unknown function (DUF1336)	balancing_landrace_only
Sobic.001G319000	1	64758071	64838071	4.5e-06	64798071	1	X2020.LN.stemDiameterUppe	LN	1	64834818	64840732	-	1	64828155	64919147	1386.210298	1	64834818	64840732	-	Sobic.001G319000	Glutathione S-transferase, N-terminal domain	balancing_landrace_only
Sobic.001G319100	1	64758071	64838071	4.5e-06	64798071	1	X2020.LN.stemDiameterUppe	LN	1	64836126	64841376	-	1	64828155	64919147	1386.210298	1	64836126	64841376	-	Sobic.001G319100	glutathione transferase activity	balancing_landrace_only
Sobic.001G523200	1	82965679	83045679	3.73e-07	83005679	1	X2020.HN.percentStarc	HN	1	82972656	82981751	+	1	82980409	83062878	1122.64573	1	82972656	82981751	+	Sobic.001G523200	Non-specific serine threonine protein kinase	balancing_landrace_only
Sobic.001G523300	1	82965679	83045679	3.73e-07	83005679	1	X2020.HN.percentStarc	HN	1	82984199	82990072	-	1	82980409	83062878	1122.64573	1	82984199	82990072	-	Sobic.001G523300	Heavy-metal-associated domain	balancing_landrace_only
Sobic.001G523500	1	82965679	83045679	3.73e-07	83005679	1	X2020.HN.percentStarc	HN	1	82998659	83004629	+	1	82980409	83062878	1122.64573	1	82998659	83004629	+	Sobic.001G523500	Transcriptional repressor, ovate	balancing_landrace_only
Sobic.001G523601	1	82965679	83045679	3.73e-07	83005679	1	X2020.HN.percentStarc	HN	1	83013004	83021438	+	1	82980409	83062878	1122.64573	1	83013004	83021438	+	Sobic.001G523601	-	balancing_landrace_only
Sobic.001G523700	1	82965679	83045679	3.73e-07	83005679	1	X2020.HN.percentStarc	HN	1	83017973	83027592	+	1	82980409	83062878	1122.64573	1	83017973	83027592	+	Sobic.001G523700	D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain	balancing_landrace_only
Sobic.001G523800	1	82965679	83045679	3.73e-07	83005679	1	X2020.HN.percentStarc	HN	1	83026503	83034784	+	1	82980409	83062878	1122.64573	1	83026503	83034784	+	Sobic.001G523800	Glycosyl transferase family, a/b domain	balancing_landrace_only
Sobic.001G523867	1	82965679	83045679	3.73e-07	83005679	1	X2020.HN.percentStarc	HN	1	83030758	83036916	-	1	82980409	83062878	1122.64573	1	83030758	83036916	-	Sobic.001G523867	-	balancing_landrace_only
Sobic.001G524000	1	82965679	83045679	3.73e-07	83005679	1	X2020.HN.percentStarc	HN	1	83033630	83042761	-	1	82980409	83062878	1122.64573	1	83033630	83042761	-	Sobic.001G524000	Domain of unknown function DUF21	balancing_landrace_only
Sobic.002G023000	2	2111286	2191286	9.79e-06	2151286	1	X2021.LN.daysToFlowe	LN	2	2117903	2127138	+	2	2112058	2215203	1570.381109	2	2117903	2127138	+	Sobic.002G023000	Belongs to the protein kinase superfamily	balancing_landrace_only
Sobic.002G023100	2	2111286	2191286	9.79e-06	2151286	1	X2021.LN.daysToFlowe	LN	2	2122260	2129883	-	2	2112058	2215203	1570.381109	2	2122260	2129883	-	Sobic.002G023100	heat shock protein	balancing_landrace_only
Sobic.002G023200	2	2111286	2191286	9.79e-06	2151286	1	X2021.LN.daysToFlowe	LN	2	2136988	2141794	+	2	2112058	2215203	1570.381109	2	2136988	2141794	+	Sobic.002G023200	Belongs to the CRISP family	balancing_landrace_only
Sobic.002G023300	2	2111286	2191286	9.79e-06	2151286	1	X2021.LN.daysToFlowe	LN	2	2148949	2153790	+	2	2112058	2215203	1570.381109	2	2148949	2153790	+	Sobic.002G023300	Belongs to the CRISP family	balancing_landrace_only
Sobic.002G023400	2	2111286	2191286	9.79e-06	2151286	1	X2021.LN.daysToFlowe	LN	2	2151105	2158238	-	2	2112058	2215203	1570.381109	2	2151105	2158238	-	Sobic.002G023400	Protein of unknown function, DUF594	balancing_landrace_only
Sobic.002G023500	2	2111286	2191286	9.79e-06	2151286	1	X2021.LN.daysToFlowe	LN	2	2160062	2169333	-	2	2112058	2215203	1570.381109	2	2160062	2169333	-	Sobic.002G023500	Protein of unknown function, DUF594	balancing_landrace_only
Sobic.002G023600	2	2111286	2191286	9.79e-06	2151286	1	X2021.LN.daysToFlowe	LN	2	2171252	2177837	-	2	2112058	2215203	1570.381109	2	2171252	2177837	-	Sobic.002G023600	protein dimerization activity	balancing_landrace_only
Sobic.002G023700	2	2111286	2191286	9.79e-06	2151286	1	X2021.LN.daysToFlowe	LN	2	2177914	2185033	-	2	2112058	2215203	1570.381109	2	2177914	2185033	-	Sobic.002G023700	Protein of unknown function, DUF594	balancing_landrace_only
Sobic.002G047900	2	4541050	4621050	6.29e-06	4581050	1	X2021.HN.percentMoistur	HN	2	4540863	4545719	+	2	4492964	4596959	2112.610083	2	4540863	4545719	+	Sobic.002G047900	NA	balancing_landrace_only
Sobic.002G048001	2	4541050	4621050	6.29e-06	4581050	1	X2021.HN.percentMoistur	HN	2	4542001	4555242	-	2	4492964	4596959	2112.610083	2	4542001	4555242	-	Sobic.002G048001	-	balancing_landrace_only
Sobic.002G048100	2	4541050	4621050	6.29e-06	4581050	1	X2021.HN.percentMoistur	HN	2	4586356	4591775	-	2	4492964	4596959	2112.610083	2	4586356	4591775	-	Sobic.002G048100	Belongs to the serpin family	balancing_landrace_only
Sobic.002G062500	2	6072696	6152709	6.6e-06	6112696	3	X2020.HN.branchInternodeLengt	HN	2	6062912	6073980	+	2	6067699	6166797	1398.882706	2	6062912	6073980	+	Sobic.002G062500	Aldehyde dehydrogenase family	balancing_landrace_only
Sobic.002G062500	2	6059206	6171076	6.67e-06	6129413	5	X2020.LN.branchInternodeLengt	LN	2	6062912	6073980	+	2	6067699	6166797	1398.882706	2	6062912	6073980	+	Sobic.002G062500	Aldehyde dehydrogenase family	balancing_landrace_only
Sobic.002G062600	2	6072696	6152709	6.6e-06	6112696	3	X2020.HN.branchInternodeLengt	HN	2	6070382	6080386	-	2	6067699	6166797	1398.882706	2	6070382	6080386	-	Sobic.002G062600	NB-ARC domain	balancing_landrace_only
Sobic.002G062600	2	6059206	6171076	6.67e-06	6129413	5	X2020.LN.branchInternodeLengt	LN	2	6070382	6080386	-	2	6067699	6166797	1398.882706	2	6070382	6080386	-	Sobic.002G062600	NB-ARC domain	balancing_landrace_only
Sobic.002G062700	2	6072696	6152709	6.6e-06	6112696	3	X2020.HN.branchInternodeLengt	HN	2	6087221	6098013	-	2	6067699	6166797	1398.882706	2	6087221	6098013	-	Sobic.002G062700	NB-ARC domain	balancing_landrace_only
Sobic.002G062700	2	6059206	6171076	6.67e-06	6129413	5	X2020.LN.branchInternodeLengt	LN	2	6087221	6098013	-	2	6067699	6166797	1398.882706	2	6087221	6098013	-	Sobic.002G062700	NB-ARC domain	balancing_landrace_only
Sobic.002G062950	2	6072696	6152709	6.6e-06	6112696	3	X2020.HN.branchInternodeLengt	HN	2	6095055	6121149	+	2	6067699	6166797	1398.882706	2	6095055	6121149	+	Sobic.002G062950	disease resistance protein	balancing_landrace_only
Sobic.002G062950	2	6059206	6171076	6.67e-06	6129413	5	X2020.LN.branchInternodeLengt	LN	2	6095055	6121149	+	2	6067699	6166797	1398.882706	2	6095055	6121149	+	Sobic.002G062950	disease resistance protein	balancing_landrace_only
Sobic.002G063201	2	6072696	6152709	6.6e-06	6112696	3	X2020.HN.branchInternodeLengt	HN	2	6125379	6143310	-	2	6067699	6166797	1398.882706	2	6125379	6143310	-	Sobic.002G063201	NB-ARC domain	balancing_landrace_only
Sobic.002G063201	2	6059206	6171076	6.67e-06	6129413	5	X2020.LN.branchInternodeLengt	LN	2	6125379	6143310	-	2	6067699	6166797	1398.882706	2	6125379	6143310	-	Sobic.002G063201	NB-ARC domain	balancing_landrace_only
Sobic.002G063400	2	6072696	6152709	6.6e-06	6112696	3	X2020.HN.branchInternodeLengt	HN	2	6141392	6145916	-	2	6067699	6166797	1398.882706	2	6141392	6145916	-	Sobic.002G063400	Belongs to the small GTPase superfamily. Arf family	balancing_landrace_only
Sobic.002G063400	2	6059206	6171076	6.67e-06	6129413	5	X2020.LN.branchInternodeLengt	LN	2	6141392	6145916	-	2	6067699	6166797	1398.882706	2	6141392	6145916	-	Sobic.002G063400	Belongs to the small GTPase superfamily. Arf family	balancing_landrace_only
Sobic.002G063500	2	6059206	6171076	6.67e-06	6129413	5	X2020.LN.branchInternodeLengt	LN	2	6161495	6171583	-	2	6067699	6166797	1398.882706	2	6161495	6171583	-	Sobic.002G063500	NB-ARC domain	balancing_landrace_only
Sobic.002G069166	2	6900556	6980578	5.31e-06	6940556	2	X2021.HN.thirdLeafWidt	HN	2	6922745	6927569	-	2	6860324	6955525	1584.95583	2	6922745	6927569	-	Sobic.002G069166	DNA-binding domain in plant proteins such as APETALA2 and EREBPs	balancing_landrace_only
Sobic.002G069232	2	6900556	6980578	5.31e-06	6940556	2	X2021.HN.thirdLeafWidt	HN	2	6938396	6945016	+	2	6860324	6955525	1584.95583	2	6938396	6945016	+	Sobic.002G069232	NA	balancing_landrace_only
Sobic.002G069300	2	6900556	6980578	5.31e-06	6940556	2	X2021.HN.thirdLeafWidt	HN	2	6946404	6951645	+	2	6860324	6955525	1584.95583	2	6946404	6951645	+	Sobic.002G069300	-	balancing_landrace_only
Sobic.002G069400	2	6900556	6980578	5.31e-06	6940556	2	X2021.HN.thirdLeafWidt	HN	2	6951204	6956220	+	2	6860324	6955525	1584.95583	2	6951204	6956220	+	Sobic.002G069400	DNA-binding domain in plant proteins such as APETALA2 and EREBPs	balancing_landrace_only
Sobic.002G073200	2	7529873	7609873	6.43e-06	7569873	1	X2020.HN.branchInternodeLengt	HN	2	7556510	7568005	-	2	7510124	7599931	1189.469698	2	7556510	7568005	-	Sobic.002G073200	Belongs to the peptidase M24B family	balancing_landrace_only
Sobic.002G073200	2	7529492	7609492	1.87e-06	7569492	1	X2020.rachisLength.N	NR	2	7556510	7568005	-	2	7510124	7599931	1189.469698	2	7556510	7568005	-	Sobic.002G073200	Belongs to the peptidase M24B family	balancing_landrace_only
Sobic.002G073300	2	7529873	7609873	6.43e-06	7569873	1	X2020.HN.branchInternodeLengt	HN	2	7585231	7592482	+	2	7510124	7599931	1189.469698	2	7585231	7592482	+	Sobic.002G073300	NA	balancing_landrace_only
Sobic.002G073300	2	7529492	7609492	1.87e-06	7569492	1	X2020.rachisLength.N	NR	2	7585231	7592482	+	2	7510124	7599931	1189.469698	2	7585231	7592482	+	Sobic.002G073300	NA	balancing_landrace_only
Sobic.002G073350	2	7529873	7609873	6.43e-06	7569873	1	X2020.HN.branchInternodeLengt	HN	2	7589320	7594574	+	2	7510124	7599931	1189.469698	2	7589320	7594574	+	Sobic.002G073350	NA	balancing_landrace_only
Sobic.002G073350	2	7529492	7609492	1.87e-06	7569492	1	X2020.rachisLength.N	NR	2	7589320	7594574	+	2	7510124	7599931	1189.469698	2	7589320	7594574	+	Sobic.002G073350	NA	balancing_landrace_only
Sobic.002G073475	2	7529873	7609873	6.43e-06	7569873	1	X2020.HN.branchInternodeLengt	HN	2	7596917	7602833	-	2	7510124	7599931	1189.469698	2	7596917	7602833	-	Sobic.002G073475	NA	balancing_landrace_only
Sobic.002G073475	2	7529492	7609492	1.87e-06	7569492	1	X2020.rachisLength.N	NR	2	7596917	7602833	-	2	7510124	7599931	1189.469698	2	7596917	7602833	-	Sobic.002G073475	NA	balancing_landrace_only
Sobic.002G074000	2	7712973	7792973	4.58e-06	7752973	1	X2021.HN.percentProtei	HN	2	7720393	7728314	-	2	7723155	7803155	1485.523518	2	7720393	7728314	-	Sobic.002G074000	Protein kinase domain	balancing_landrace_only
Sobic.002G074200	2	7712973	7792973	4.58e-06	7752973	1	X2021.HN.percentProtei	HN	2	7737865	7744046	+	2	7723155	7803155	1485.523518	2	7737865	7744046	+	Sobic.002G074200	Belongs to the universal ribosomal protein uS5 family	balancing_landrace_only
Sobic.002G074400	2	7712973	7792973	4.58e-06	7752973	1	X2021.HN.percentProtei	HN	2	7745603	7750796	-	2	7723155	7803155	1485.523518	2	7745603	7750796	-	Sobic.002G074400	Flavodoxin-like fold	balancing_landrace_only
Sobic.002G074500	2	7712973	7792973	4.58e-06	7752973	1	X2021.HN.percentProtei	HN	2	7750005	7759030	-	2	7723155	7803155	1485.523518	2	7750005	7759030	-	Sobic.002G074500	meiosis II cell cycle process	balancing_landrace_only
Sobic.002G074650	2	7712973	7792973	4.58e-06	7752973	1	X2021.HN.percentProtei	HN	2	7767571	7774035	-	2	7723155	7803155	1485.523518	2	7767571	7774035	-	Sobic.002G074650	NA	balancing_landrace_only
Sobic.002G074700	2	7712973	7792973	4.58e-06	7752973	1	X2021.HN.percentProtei	HN	2	7768869	7776459	+	2	7723155	7803155	1485.523518	2	7768869	7776459	+	Sobic.002G074700	Belongs to the protein kinase superfamily. Ser Thr protein kinase family	balancing_landrace_only
Sobic.002G074800	2	7712973	7792973	4.58e-06	7752973	1	X2021.HN.percentProtei	HN	2	7788796	7793026	-	2	7723155	7803155	1485.523518	2	7788796	7793026	-	Sobic.002G074800	NA	balancing_landrace_only
Sobic.002G074900	2	7712973	7792973	4.58e-06	7752973	1	X2021.HN.percentProtei	HN	2	7783892	7791764	+	2	7723155	7803155	1485.523518	2	7783892	7791764	+	Sobic.002G074900	Belongs to the protein kinase superfamily. Ser Thr protein kinase family	balancing_landrace_only
Sobic.002G080900	2	8611825	8691825	5.12e-06	8651825	1	X2020.HN.percentStarc	HN	2	8613665	8620573	-	2	8473975	8680465	2068.542416	2	8613665	8620573	-	Sobic.002G080900	NA	balancing_landrace_only
Sobic.002G081000	2	8611825	8691825	5.12e-06	8651825	1	X2020.HN.percentStarc	HN	2	8618371	8623107	+	2	8473975	8680465	2068.542416	2	8618371	8623107	+	Sobic.002G081000	MADS	balancing_landrace_only
Sobic.002G081100	2	8611825	8691825	5.12e-06	8651825	1	X2020.HN.percentStarc	HN	2	8653150	8665881	+	2	8473975	8680465	2068.542416	2	8653150	8665881	+	Sobic.002G081100	Homodimerisation region of STAR domain protein	balancing_landrace_only
Sobic.002G122800	2	16499206	16579206	3.59e-06	16539206	1	X2020.HN.tillersPerPlan	HN	2	16521574	16527832	-	2	16509705	16642226	1605.143132	2	16521574	16527832	-	Sobic.002G122800	Small subunit of serine palmitoyltransferase-like	balancing_landrace_only
Sobic.002G122900	2	16551646	16634241	9.08e-06	16594241	2	X2020.daysToFlower.N	NR	2	16583999	16589512	-	2	16509705	16642226	1605.143132	2	16583999	16589512	-	Sobic.002G122900	Protein of unknown function (DUF707)	balancing_landrace_only
Sobic.002G123000	2	16551646	16634241	9.08e-06	16594241	2	X2020.daysToFlower.N	NR	2	16588652	16604173	-	2	16509705	16642226	1605.143132	2	16588652	16604173	-	Sobic.002G123000	Mut7-C RNAse domain	balancing_landrace_only
Sobic.002G123100	2	16551646	16634241	9.08e-06	16594241	2	X2020.daysToFlower.N	NR	2	16601865	16610808	-	2	16509705	16642226	1605.143132	2	16601865	16610808	-	Sobic.002G123100	Alpha galactosidase A	balancing_landrace_only
Sobic.002G123201	2	16551646	16634241	9.08e-06	16594241	2	X2020.daysToFlower.N	NR	2	16613151	16620754	-	2	16509705	16642226	1605.143132	2	16613151	16620754	-	Sobic.002G123201	DNA-directed RNA	balancing_landrace_only
Sobic.002G123300	2	16551646	16634241	9.08e-06	16594241	2	X2020.daysToFlower.N	NR	2	16616986	16622457	+	2	16509705	16642226	1605.143132	2	16616986	16622457	+	Sobic.002G123300	Encoded by	balancing_landrace_only
Sobic.002G187801	2	58486630	58566639	9.33e-07	58526630	3	X2021.HN.percentStarc	HN	2	58485792	58495514	+	2	58461740	58611309	1971.77614	2	58485792	58495514	+	Sobic.002G187801	TAFs are components of the transcription factor IID (TFIID) complex that is essential for mediating regulation of RNA polymerase transcription	balancing_landrace_only
Sobic.002G187900	2	58486630	58566639	9.33e-07	58526630	3	X2021.HN.percentStarc	HN	2	58488883	58499514	-	2	58461740	58611309	1971.77614	2	58488883	58499514	-	Sobic.002G187900	-	balancing_landrace_only
Sobic.002G188000	2	58486630	58566639	9.33e-07	58526630	3	X2021.HN.percentStarc	HN	2	58523467	58531608	+	2	58461740	58611309	1971.77614	2	58523467	58531608	+	Sobic.002G188000	Inactive receptor kinase	balancing_landrace_only
Sobic.002G188101	2	58486630	58566639	9.33e-07	58526630	3	X2021.HN.percentStarc	HN	2	58534259	58539548	-	2	58461740	58611309	1971.77614	2	58534259	58539548	-	Sobic.002G188101	NA	balancing_landrace_only
Sobic.002G188200	2	58486630	58566639	9.33e-07	58526630	3	X2021.HN.percentStarc	HN	2	58535634	58541824	+	2	58461740	58611309	1971.77614	2	58535634	58541824	+	Sobic.002G188200	RING-H2 zinc finger domain	balancing_landrace_only
Sobic.003G052300	3	4757611	4889303	2.18e-06	4849233	10	X2020.LN.primaryBranchNumbe	LN	3	4762601	4771299	+	3	4684613	4802808	2654.49976	3	4762601	4771299	+	Sobic.003G052300	Raffinose synthase or seed imbibition protein Sip1	balancing_landrace_only
Sobic.003G052400	3	4757611	4889303	2.18e-06	4849233	10	X2020.LN.primaryBranchNumbe	LN	3	4767076	4775532	+	3	4684613	4802808	2654.49976	3	4767076	4775532	+	Sobic.003G052400	UBA-like domain (DUF1421)	balancing_landrace_only
Sobic.003G052500	3	4757611	4889303	2.18e-06	4849233	10	X2020.LN.primaryBranchNumbe	LN	3	4772049	4777782	-	3	4684613	4802808	2654.49976	3	4772049	4777782	-	Sobic.003G052500	Photosystem I reaction center subunit XI	balancing_landrace_only
Sobic.003G052601	3	4757611	4889303	2.18e-06	4849233	10	X2020.LN.primaryBranchNumbe	LN	3	4788046	4796246	-	3	4684613	4802808	2654.49976	3	4788046	4796246	-	Sobic.003G052601	NA	balancing_landrace_only
Sobic.003G052700	3	4757611	4889303	2.18e-06	4849233	10	X2020.LN.primaryBranchNumbe	LN	3	4797276	4806531	+	3	4684613	4802808	2654.49976	3	4797276	4806531	+	Sobic.003G052700	Allinase	balancing_landrace_only
Sobic.003G076001	3	6455737	6535737	6.68e-06	6495737	1	X2020.LN.daysToFlowe	LN	3	6522460	6527450	-	3	6525833	6608535	1171.363994	3	6522460	6527450	-	Sobic.003G076001	NA	balancing_landrace_only
Sobic.003G076100	3	6455737	6535737	6.68e-06	6495737	1	X2020.LN.daysToFlowe	LN	3	6526254	6531704	-	3	6525833	6608535	1171.363994	3	6526254	6531704	-	Sobic.003G076100	Belongs to the UDP-glycosyltransferase family	balancing_landrace_only
Sobic.003G076200	3	6455737	6535737	6.68e-06	6495737	1	X2020.LN.daysToFlowe	LN	3	6533870	6543974	-	3	6525833	6608535	1171.363994	3	6533870	6543974	-	Sobic.003G076200	POT family	balancing_landrace_only
Sobic.003G086500	3	7476043	7556043	1.83e-06	7516043	1	X2021.HN.percentStarc	HN	3	7521137	7526080	+	3	7522840	7612378	1274.683955	3	7521137	7526080	+	Sobic.003G086500	-	balancing_landrace_only
Sobic.003G086500	3	7505100	7585100	6.11e-06	7545100	1	X2020.LN.stemDiameterLowe	LN	3	7521137	7526080	+	3	7522840	7612378	1274.683955	3	7521137	7526080	+	Sobic.003G086500	-	balancing_landrace_only
Sobic.003G086600	3	7476043	7556043	1.83e-06	7516043	1	X2021.HN.percentStarc	HN	3	7527882	7533478	-	3	7522840	7612378	1274.683955	3	7527882	7533478	-	Sobic.003G086600	Lateral organ boundaries (LOB) domain	balancing_landrace_only
Sobic.003G086600	3	7505100	7585100	6.11e-06	7545100	1	X2020.LN.stemDiameterLowe	LN	3	7527882	7533478	-	3	7522840	7612378	1274.683955	3	7527882	7533478	-	Sobic.003G086600	Lateral organ boundaries (LOB) domain	balancing_landrace_only
Sobic.003G086700	3	7476043	7556043	1.83e-06	7516043	1	X2021.HN.percentStarc	HN	3	7541455	7549532	+	3	7522840	7612378	1274.683955	3	7541455	7549532	+	Sobic.003G086700	Protein of unknown function (DUF1666)	balancing_landrace_only
Sobic.003G086700	3	7505100	7585100	6.11e-06	7545100	1	X2020.LN.stemDiameterLowe	LN	3	7541455	7549532	+	3	7522840	7612378	1274.683955	3	7541455	7549532	+	Sobic.003G086700	Protein of unknown function (DUF1666)	balancing_landrace_only
Sobic.003G086800	3	7505100	7585100	6.11e-06	7545100	1	X2020.LN.stemDiameterLowe	LN	3	7556353	7562926	-	3	7522840	7612378	1274.683955	3	7556353	7562926	-	Sobic.003G086800	Zinc finger protein	balancing_landrace_only
Sobic.003G086900	3	7505100	7585100	6.11e-06	7545100	1	X2020.LN.stemDiameterLowe	LN	3	7571396	7584235	-	3	7522840	7612378	1274.683955	3	7571396	7584235	-	Sobic.003G086900	Protein kinase C conserved region 2 (CalB)	balancing_landrace_only
Sobic.003G087000	3	7505100	7585100	6.11e-06	7545100	1	X2020.LN.stemDiameterLowe	LN	3	7584485	7594934	+	3	7522840	7612378	1274.683955	3	7584485	7594934	+	Sobic.003G087000	TMEM214, C-terminal, caspase 4 activator	balancing_landrace_only
Sobic.003G190000	3	57339550	57419550	8.72e-07	57379550	1	X2020.LN.leafAngleStandardDeviatio	LN	3	57329120	57342731	+	3	57293293	57398279	1300.267324	3	57329120	57342731	+	Sobic.003G190000	PPR repeat family	balancing_landrace_only
Sobic.003G190100	3	57339550	57419550	8.72e-07	57379550	1	X2020.LN.leafAngleStandardDeviatio	LN	3	57350529	57360448	+	3	57293293	57398279	1300.267324	3	57350529	57360448	+	Sobic.003G190100	Peptidase C13 family	balancing_landrace_only
Sobic.003G226800	3	62677507	62757507	8.16e-06	62717507	1	X2020.medianLeafAngle.N	NR	3	62679658	62685769	+	3	62585879	62679802	1780.274094	3	62679658	62685769	+	Sobic.003G226800	Heat stress transcription factor C-1a	balancing_landrace_only
