sb_sheet	gene_id	sb_gene_call_full	sb_gene_call	sb_annotation	sb_edit_type	sb_comments	balancing_wild_only	balancing_landrace_only	balancing_improved_only	FST_breeding_improved_vs_landrace	FST_domestication_landrace_vs_wild	XPCLR_breeding_improved_vs_landrace	XPCLR_domestication_landrace_vs_wild
Sheet1	Sobic.009G159900	SbiRTX430.09G167800.1	SbiRTX430.09G167800	POX family	Germinal null	Hom	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
case_with_edits	Sobic.009G168700	SbiRTX430.09G177300.1	SbiRTX430.09G177300	Ammonium transporter/AMT2-1	Germinal null	Het	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Sheet1	Sobic.009G168700	SbiRTX430.09G177300.1	SbiRTX430.09G177300	Ammonium transporter/AMT2-1	Germinal null	Het	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Sheet1	Sobic.010G031900	SbiRTX430.10G034000.1	SbiRTX430.10G034000	early nodulin related	Germinal INDEL	Hom	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
case_with_edits	Sobic.010G127600	SbiRTX430.10G135400.1	SbiRTX430.10G135400	Aspartyl protease	Germinal null	Het	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Sheet1	Sobic.010G127600	SbiRTX430.10G135400.1	SbiRTX430.10G135400	Aspartyl protease	Germinal null	Het	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Sheet1	Sobic.010G175900	SbiRTX430.10G187500.1	SbiRTX430.10G187500	Oligopeptide transporter	Germinal null	Het	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Sheet1	Sobic.010G185200	SbiRTX430.10G197000.1	SbiRTX430.10G197000	SPX domain-containing protein 1	Reagents intro	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Sheet1	Sobic.010G231100	SbiRTX430.10G245800.1	SbiRTX430.10G245800	Glutamate receptor	NA	Het	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Sheet1	Sobic.010G231300	SbiRTX430.10G246000.1	SbiRTX430.10G246000	Glutamate receptor	NA	Het	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Sheet1	Sobic.010G231500	SbiRTX430.10G246200.1	SbiRTX430.10G246200	Glutamate receptor	NA	Het	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Sheet1	Sobic.010G254300	SbiRTX430.10G270400.1	SbiRTX430.10G270400	Myb-like DNA-binding domain	Reagents intro	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Sheet1	Sobic.010G273700	SbiRTX430.10G290700.1	SbiRTX430.10G290700	No apical meristem (NAM) protein	Reagents intro	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
