gene_id	best_neglog10p	best_gwas_pvalue	best_b2	best_b2_region	gwas_traits	gene_region	gene_description	overlap_rows
Sobic.009G230400	12.4975728800156	3.18e-13	2106.6486466851	Chr9:60805483-60885483	X2020.LN.plantHeigh;X2021.LN.plantHeigh	Chr9:60859467-60867544(-)	UDP-glucoronosyl and UDP-glucosyl transferase	1970
Sobic.009G230500	12.4975728800156	3.18e-13	2106.6486466851	Chr9:60805483-60885483	X2020.LN.plantHeigh;X2021.LN.plantHeigh	Chr9:60863038-60870644(+)	Tub family	1828
Sobic.009G230650	12.4975728800156	3.18e-13	2106.6486466851	Chr9:60805483-60885483	X2020.LN.plantHeigh;X2021.LN.plantHeigh	Chr9:60870172-60875464(-)		1724
Sobic.009G230700	12.4975728800156	3.18e-13	2106.6486466851	Chr9:60805483-60885483	X2020.LN.plantHeigh;X2021.LN.plantHeigh	Chr9:60873387-60882041(+)	Myb/SANT-like DNA-binding domain	1710
Sobic.009G229200	12.4975728800156	3.18e-13	2094.01031334993	Chr9:60801173-60881173	X2020.LN.plantHeigh;X2021.LN.plantHeigh	Chr9:60792812-60801531(-)	Aux IAA proteins are short-lived transcriptional factors that function as repressors of early auxin response genes at low auxin concentrations	1280
Sobic.009G230800	12.4975728800156	3.18e-13	2073.40568990843	Chr9:60813367-60893367	X2020.LN.plantHeigh;X2021.LN.plantHeigh	Chr9:60892509-60901170(-)	Belongs to the iron ascorbate-dependent oxidoreductase family	1216
Sobic.009G229100	12.4975728800156	3.18e-13	2073.20343057244	Chr9:60791708-60871708	X2020.LN.plantHeigh;X2021.LN.plantHeigh	Chr9:60786509-60792088(-)	U-box domain-containing protein	986
Sobic.009G229150	12.4975728800156	3.18e-13	2073.20343057244	Chr9:60791708-60871708	X2020.LN.plantHeigh;X2021.LN.plantHeigh	Chr9:60788089-60793924(+)		998
Sobic.009G230900	12.4975728800156	3.18e-13	2039.43668323115	Chr9:60827446-60907446	X2020.LN.plantHeigh;X2021.LN.plantHeigh	Chr9:60906793-60911543(+)	-	830
Sobic.009G231000	12.4975728800156	3.18e-13	2018.53803806327	Chr9:60831334-60911334	X2020.LN.plantHeigh;X2021.LN.plantHeigh	Chr9:60911333-60915817(+)		628
Sobic.009G231100	12.4975728800156	3.18e-13	2001.43448416184	Chr9:60834456-60914456	X2020.LN.plantHeigh;X2021.LN.plantHeigh	Chr9:60914369-60921739(-)	Cytidylyltransferase	582
Sobic.009G231200	12.4975728800156	3.18e-13	1949.03183642655	Chr9:60840877-60920877	X2020.LN.plantHeigh;X2021.LN.plantHeigh	Chr9:60920559-60928826(+)	UBA-like domain (DUF1421)	514
Sobic.009G231300	12.4975728800156	3.18e-13	1939.36809950571	Chr9:60846678-60926678	X2020.LN.plantHeigh;X2021.LN.plantHeigh	Chr9:60925646-60933126(-)	Stress-induced protein Di19, C-terminal	382
Sobic.009G231400	12.4975728800156	3.18e-13	1907.45915089162	Chr9:60850738-60930738	X2020.LN.plantHeigh;X2021.LN.plantHeigh	Chr9:60930612-60937291(-)	DnaJ C terminal domain	338
Sobic.009G229000	12.4975728800156	3.18e-13	1896.37294074343	Chr9:60778359-60858359	X2020.LN.plantHeigh;X2021.LN.plantHeigh	Chr9:60771784-60778399(-)	transcription, DNA-templated	1096
Sobic.009G227650	12.4975728800156	3.18e-13	1851.74504352028	Chr9:60693723-60773723	X2020.LN.plantHeigh;X2021.LN.plantHeigh	Chr9:60692731-60697982(-)		160
Sobic.009G227700	12.4975728800156	3.18e-13	1851.74504352028	Chr9:60693723-60773723	X2020.LN.plantHeigh;X2021.LN.plantHeigh	Chr9:60693992-60704291(+)	Proteasome non-ATPase 26S subunit	366
Sobic.009G227800	12.4975728800156	3.18e-13	1851.74504352028	Chr9:60693723-60773723	X2020.LN.plantHeigh;X2021.LN.plantHeigh	Chr9:60700292-60707674(-)	MACPF domain-containing protein	370
Sobic.009G227900	12.4975728800156	3.18e-13	1851.74504352028	Chr9:60693723-60773723	X2020.LN.plantHeigh;X2021.LN.plantHeigh	Chr9:60705301-60713223(-)	Protein of unknown function (DUF2921)	370
Sobic.009G228000	12.4975728800156	3.18e-13	1851.74504352028	Chr9:60693723-60773723	X2020.LN.plantHeigh;X2021.LN.plantHeigh	Chr9:60711576-60719865(-)	Belongs to the ubiquitin-conjugating enzyme family	436
Sobic.009G228100	12.4975728800156	3.18e-13	1851.74504352028	Chr9:60693723-60773723	X2020.LN.plantHeigh;X2021.LN.plantHeigh	Chr9:60717517-60730376(-)	Belongs to the ubiquitin-conjugating enzyme family	580
Sobic.009G228150	12.4975728800156	3.18e-13	1851.74504352028	Chr9:60693723-60773723	X2020.LN.plantHeigh;X2021.LN.plantHeigh	Chr9:60724498-60729765(-)		580
Sobic.009G228201	12.4975728800156	3.18e-13	1851.74504352028	Chr9:60693723-60773723	X2020.LN.plantHeigh;X2021.LN.plantHeigh	Chr9:60733156-60737996(+)		580
Sobic.009G228300	12.4975728800156	3.18e-13	1851.74504352028	Chr9:60693723-60773723	X2020.LN.plantHeigh;X2021.LN.plantHeigh	Chr9:60735573-60742757(-)	Ribosomal prokaryotic L21 protein	580
Sobic.009G228400	12.4975728800156	3.18e-13	1851.74504352028	Chr9:60693723-60773723	X2020.LN.plantHeigh;X2021.LN.plantHeigh	Chr9:60740678-60749442(-)	isoform X1	580
Sobic.009G228500	12.4975728800156	3.18e-13	1851.74504352028	Chr9:60693723-60773723	X2020.LN.plantHeigh;X2021.LN.plantHeigh	Chr9:60746120-60752358(-)	Ribosomal protein L1p/L10e family	580
Sobic.009G228600	12.4975728800156	3.18e-13	1851.74504352028	Chr9:60693723-60773723	X2020.LN.plantHeigh;X2021.LN.plantHeigh	Chr9:60748052-60755073(+)	Cytochrome c oxidase assembly protein	580
Sobic.009G228700	12.4975728800156	3.18e-13	1851.74504352028	Chr9:60693723-60773723	X2020.LN.plantHeigh;X2021.LN.plantHeigh	Chr9:60752628-60760451(+)	signal transduction	580
Sobic.009G228800	12.4975728800156	3.18e-13	1851.74504352028	Chr9:60693723-60773723	X2020.LN.plantHeigh;X2021.LN.plantHeigh	Chr9:60756576-60762951(+)	Dolichol phosphate-mannose biosynthesis regulatory protein (DPM2)	580
Sobic.009G228900	12.4975728800156	3.18e-13	1851.74504352028	Chr9:60693723-60773723	X2020.LN.plantHeigh;X2021.LN.plantHeigh	Chr9:60759793-60767839(-)	3' exoribonuclease family, domain 1	582
Sobic.009G231500	12.4975728800156	3.18e-13	1715.72318596023	Chr9:60861013-60941013	X2020.LN.plantHeigh;X2021.LN.plantHeigh	Chr9:60940762-60945812(-)	Protein of unknown function (DUF679)	56
Sobic.005G127300	5.88605664769316	1.3e-06	2853.9392706042	Chr5:60135359-60215359	X2021.LN.daysToFlowe	Chr5:60096667-60151386(-)	Protein HASTY 1 isoform X1	1128
Sobic.005G127600	5.88605664769316	1.3e-06	2853.9392706042	Chr5:60135359-60215359	X2021.LN.daysToFlowe	Chr5:60174598-60179355(+)	-	163
Sobic.008G080500	5.83863199776502	1.45e-06	1914.09960987356	Chr8:14171857-14251857	X2020.LN.primaryBranchNumbe;X2020.LN.tillersPerPlan	Chr8:14164528-14176797(-)	Domain of unknown function (DUF4378)	590
Sobic.009G048466	5.83268266525182	1.47e-06	2265.81702729702	Chr9:4711676-4791676	X2021.LN.daysToFlowe	Chr9:4712147-4717162(+)	-	155
Sobic.010G180400	5.79048498545737	1.62e-06	1931.56264927153	Chr10:53547452-53627452	X2020.LN.plantHeigh;X2021.LN.plantHeigh	Chr10:53549187-53558088(+)	Plays an essential role in chain termination during de novo fatty acid synthesis	56
Sobic.003G052300	5.6615435063954	2.18e-06	1825.96635405421	Chr3:4704608-4784608	X2020.LN.primaryBranchNumbe	Chr3:4762601-4771299(+)	Raffinose synthase or seed imbibition protein Sip1	283
Sobic.003G052400	5.6615435063954	2.18e-06	1825.96635405421	Chr3:4704608-4784608	X2020.LN.primaryBranchNumbe	Chr3:4767076-4775532(+)	UBA-like domain (DUF1421)	283
Sobic.003G052500	5.6615435063954	2.18e-06	1825.96635405421	Chr3:4704608-4784608	X2020.LN.primaryBranchNumbe	Chr3:4772049-4777782(-)	Photosystem I reaction center subunit XI	283
Sobic.003G052601	5.6615435063954	2.18e-06	1749.89552023236	Chr3:4708169-4788169	X2020.LN.primaryBranchNumbe	Chr3:4788046-4796246(-)		46
Sobic.008G121900	5.56703070912559	2.71e-06	1768.44417956897	Chr8:57111188-57191188	X2020.LN.branchInternodeLengt	Chr8:57157420-57176692(+)	Domain of unknown function (DUF4220)	332
Sobic.005G116700	5.54821356447571	2.83e-06	4008.6207719745	Chr5:55925542-56005542	X2020.LN.panicleGrainWeigh	Chr5:55948634-55969293(+)	Belongs to the protein kinase superfamily. Ser Thr protein kinase family	791
Sobic.005G116900	5.54821356447571	2.83e-06	4008.6207719745	Chr5:55925542-56005542	X2020.LN.panicleGrainWeigh	Chr5:55997653-56002999(+)	-	654
Sobic.003G395300	5.46852108295774	3.4e-06	1775.45660842398	Chr3:76972886-77052886	X2020.LN.stemDiameterUppe	Chr3:76971427-76978630(-)	Rab-GTPase-TBC domain	196
Sobic.003G395400	5.46852108295774	3.4e-06	1775.45660842398	Chr3:76972886-77052886	X2020.LN.stemDiameterUppe	Chr3:76978310-76987320(+)	BTB/POZ domain	265
Sobic.009G061800	5.36552272983927	4.31e-06	1971.36170046355	Chr9:6506101-6586101	X2020.LN.plantHeigh	Chr9:6517717-6524276(-)	Protein kinase domain	584
Sobic.009G061900	5.36552272983927	4.31e-06	1971.36170046355	Chr9:6506101-6586101	X2020.LN.plantHeigh	Chr9:6520040-6536449(-)	Leucine Rich repeats (2 copies)	584
Sobic.009G062000	5.36552272983927	4.31e-06	1971.36170046355	Chr9:6506101-6586101	X2020.LN.plantHeigh	Chr9:6542183-6549520(+)	Mitochondrial ribosomal protein L51 / S25 / CI-B8 domain	584
Sobic.009G062150	5.36552272983927	4.31e-06	1881.83068955585	Chr9:6510068-6590068	X2020.LN.plantHeigh	Chr9:6589600-6594101(-)	Auxin responsive protein	379
Sobic.007G152101	5.29413628771608	5.08e-06	2709.7728404348	Chr7:61738596-61818596	X2020.LN.primaryBranchNumbe	Chr7:61794170-61802003(+)	Zinc finger, C3HC4 type (RING finger)	1232
Sobic.007G152200	5.29413628771608	5.08e-06	2709.7728404348	Chr7:61738596-61818596	X2020.LN.primaryBranchNumbe	Chr7:61816465-61820971(+)	Zinc finger, C3HC4 type (RING finger)	992
Sobic.007G152300	5.29413628771608	5.08e-06	2661.38514365389	Chr7:61747915-61827915	X2020.LN.primaryBranchNumbe	Chr7:61826751-61833033(-)	homeobox associated leucin zipper	884
Sobic.007G152400	5.29413628771608	5.08e-06	2332.41368112399	Chr7:61768402-61848402	X2020.LN.primaryBranchNumbe	Chr7:61848187-61855211(+)	Binds to the 60S ribosomal subunit and prevents its association with the 40S ribosomal subunit to form the 80S initiation complex in the cytoplasm. May also be involved in ribosome biogenesis	513
Sobic.007G152500	5.29413628771608	5.08e-06	2139.65704469205	Chr7:61773984-61853984	X2020.LN.primaryBranchNumbe	Chr7:61852665-61858194(-)	Belongs to the cytochrome P450 family	469
Sobic.007G152600	5.29413628771608	5.08e-06	2006.93729960364	Chr7:61778472-61858472	X2020.LN.primaryBranchNumbe	Chr7:61858049-61864791(+)	Belongs to the cytochrome P450 family	319
Sobic.003G365900	5.2020403562628	6.28e-06	2297.11703396143	Chr3:74619147-74699147	X2020.LN.flagLeafWidt	Chr3:74614084-74619411(+)	Transcriptional repressor, ovate	1022
Sobic.003G366000	5.2020403562628	6.28e-06	2297.11703396143	Chr3:74619147-74699147	X2020.LN.flagLeafWidt	Chr3:74621317-74627115(-)	Transcriptional repressor, ovate	1261
Sobic.003G366100	5.2020403562628	6.28e-06	2297.11703396143	Chr3:74619147-74699147	X2020.LN.flagLeafWidt	Chr3:74629094-74636482(+)	-	1359
Sobic.003G366200	5.2020403562628	6.28e-06	2297.11703396143	Chr3:74619147-74699147	X2020.LN.flagLeafWidt	Chr3:74632413-74637711(-)	Late embryogenesis abundant protein	1369
Sobic.003G366300	5.2020403562628	6.28e-06	2297.11703396143	Chr3:74619147-74699147	X2020.LN.flagLeafWidt	Chr3:74635994-74646364(-)	Protein kinase domain	1450
Sobic.003G366400	5.2020403562628	6.28e-06	2297.11703396143	Chr3:74619147-74699147	X2020.LN.flagLeafWidt	Chr3:74649380-74657423(-)	Catalyzes the oxidation of uric acid to 5- hydroxyisourate, which is further processed to form (S)-allantoin	1455
Sobic.003G366500	5.2020403562628	6.28e-06	2297.11703396143	Chr3:74619147-74699147	X2020.LN.flagLeafWidt	Chr3:74656454-74666114(-)	Transport protein particle (TRAPP) component	1449
Sobic.003G366600	5.2020403562628	6.28e-06	2297.11703396143	Chr3:74619147-74699147	X2020.LN.flagLeafWidt	Chr3:74662312-74667969(-)	UDP-glucoronosyl and UDP-glucosyl transferase	1232
Sobic.003G366700	5.2020403562628	6.28e-06	2297.11703396143	Chr3:74619147-74699147	X2020.LN.flagLeafWidt	Chr3:74667837-74674114(-)	UDP-glucoronosyl and UDP-glucosyl transferase	1101
Sobic.003G366850	5.2020403562628	6.28e-06	2297.11703396143	Chr3:74619147-74699147	X2020.LN.flagLeafWidt	Chr3:74678988-74712223(+)	Protein HASTY 1 isoform X1	864
Sobic.001G172800	5.01908806222316	9.57e-06	2072.8584505236	Chr1:14569699-14649699	X2020.LN.stemDiameterUppe	Chr1:14613880-14622135(+)	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)	546
Sobic.001G173000	5.01908806222316	9.57e-06	2072.8584505236	Chr1:14569699-14649699	X2020.LN.stemDiameterUppe	Chr1:14639172-14647363(-)	synthase	481
Sobic.001G173100	5.01908806222316	9.57e-06	2072.8584505236	Chr1:14569699-14649699	X2020.LN.stemDiameterUppe	Chr1:14646029-14652740(-)	Belongs to the cytochrome P450 family	319
Sobic.001G173251	5.01908806222316	9.57e-06	1755.49416128663	Chr1:14596731-14676731	X2020.LN.stemDiameterUppe	Chr1:14670636-14675354(-)		58
Sobic.001G173300	5.01908806222316	9.57e-06	1683.86263862399	Chr1:14599895-14679895	X2020.LN.stemDiameterUppe	Chr1:14678805-14685569(+)	Reversibly glycosylated polypeptide	1
