Pedigree,Treatment,Bench,Row,Column,plant_height_rep_1,plant_height_rep_2,plant_height_rep_3,Pot_id
PI 655992,LN,1,9,9,17.4,17.3,17.6,1082
PI 542718,LN,1,8,9,19.9,20.2,24.9,1083
PI 656062,LN,1,7,9,18.8,18.4,NA,1084
PI 576364,LN,1,6,9,15.7,13.3,16.6,1085
PI 642998,LN,1,5,9,20.2,24.1,24.8,1086
PI 533799,LN,1,4,9,24.6,25.2,NA,1087
PI 597980,LN,1,3,9,20.2,20.5,25.7,1088
PI 533986,LN,1,2,9,21.3,24.8,NA,1089
PI 597973,LN,1,1,9,19.5,24.2,25.6,1090
PI 533902,LN,1,10,10,13.9,11.4,12.4,1091
PI 597958,LN,1,9,10,15.9,17.3,NA,1092
PI 655993,LN,1,8,10,21.0,19.4,13.9,1093
PI 564163,LN,1,7,10,14.5,13.7,13.6,1094
PI 656103,LN,1,6,10,22.4,25.4,22.7,1095
PI 576386,LN,1,5,10,18.5,22.1,23.4,1096
PI 576373,LN,1,4,10,14.5,16.2,17.1,1097
PI 656009,LN,1,3,10,25.5,NA,NA,1098
PI 533954,LN,1,2,10,19.4,23.5,25.5,1099
PI 597951,LN,1,1,10,17.5,19.5,20.5,1100
PI 534099,LN,1,10,11,24.3,NA,NA,1101
PI 597945,LN,1,9,11,17.9,23.3,16.8,1102
PI 655970,LN,1,8,11,23.2,20.2,NA,1103
PI 534075,LN,1,7,11,17.3,21.7,18.5,1104
PI 576130,LN,1,6,11,18.3,20.6,21.2,1105
PI 564163,LN,1,5,11,17.6,20.2,24.3,1106
PI 534101,LN,1,4,11,22.1,22.7,23.5,1107
PI 533937,LN,1,3,11,24.3,26.1,26.8,1108
PI 534092,LN,1,2,11,23.4,25.7,26.2,1109
PI 656087,LN,1,1,11,17.6,23.5,NA,1110
PI 659696,LN,1,10,12,28.6,21.4,20.7,1111
PI 533871,LN,1,9,12,22.3,30.6,30.3,1112
PI 533957,LN,1,8,12,22.5,25.7,19.2,1113
PI 656019,LN,1,7,12,29.2,26.2,27.7,1114
PI 655986,LN,1,6,12,23.4,20.3,18.2,1115
PI 597946,LN,1,5,12,21.5,22.6,23.1,1116
PI 533910,LN,1,4,12,19.8,20.5,21.3,1117
PI 656028,LN,1,3,12,23.9,24.6,28.1,1118
PI 534046,LN,1,2,12,19.5,21.3,20.6,1119
PI 534054,LN,1,1,12,19.3,21.6,NA,1120
PI 576375,LN,1,10,13,22.6,24.6,14.5,1121
PI 533976,LN,1,9,13,14.2,18.8,12.4,1122
PI 565121,LN,1,8,13,12.9,17.4,NA,1123
PI 656058,LN,1,7,13,13.5,13.9,NA,1124
PI 576352,LN,1,6,13,14.4,13.9,16.4,1125
PI 656055,LN,1,5,13,26.2,30.5,31.0,1126
PI 533980,LN,1,4,13,17.7,16.0,15.2,1127
PI 576359,LN,1,3,13,17.9,15.0,18.5,1128
PI 656033,LN,1,2,13,22.5,20.1,23.2,1129
PI 329440,LN,1,1,13,27.9,25.2,23.7,1130
PI 576426,LN,1,10,14,20.4,17.6,NA,1131
PI 533967,LN,1,9,14,21.2,15.9,13.6,1132
PI 533856,LN,1,8,14,12.5,13.9,15.6,1133
PI 656117,LN,1,7,14,26.4,10.8,29.0,1134
PI 656094,LN,1,6,14,16.6,21.2,15.4,1135
PI 533970,LN,1,5,14,27.4,27.2,NA,1136
PI 576394,LN,1,4,14,22.0,22.3,18.4,1137
PI 533838,LN,1,3,14,21.2,24.8,NA,1138
PI 576345,LN,1,2,14,23.7,23.2,23.5,1139
PI 597957,LN,1,1,14,21.0,22.7,20.8,1140
PI 642791,LN,1,10,15,12.2,17.4,14.2,1141
PI 564163,LN,1,9,15,17.4,16.9,13.8,1142
PI 566819,LN,1,8,15,19.4,17.4,19.2,1143
PI 597966,LN,1,7,15,12.8,19.6,13.2,1144
PI 656089,LN,1,6,15,11.5,9.6,15.9,1145
PI 655999,LN,1,5,15,26.1,26.1,28.2,1146
PI 656102,LN,1,4,15,22.0,16.3,17.6,1147
PI 534009,LN,1,3,15,22.1,22.3,23.5,1148
PI 656031,LN,1,2,15,16.2,15.5,NA,1149
PI 656051,LN,1,1,15,27.2,21.0,23.9,1150
PI 597968,LN,1,10,16,15.1,13.9,14.8,1151
PI 576333,LN,1,9,16,18.2,16.7,16.6,1152
PI 607931,LN,1,8,16,17.4,16.9,20.1,1153
PI 534155,LN,1,7,16,17.2,11.1,NA,1154
PI 656098,LN,1,6,16,13.3,13.1,13.4,1155
PI 576385,LN,1,5,16,19.3,19.2,22.7,1156
PI 533921,LN,1,4,16,20.1,NA,NA,1157
PI 534115,LN,1,3,16,25.8,23.7,NA,1158
PI 533989,LN,1,2,16,21.2,23.8,22.3,1159
PI 655988,LN,1,1,16,20.3,21.5,21.5,1160
PI 564163,LN,1,10,17,16.2,15.9,16.0,1161
PI 656109,LN,1,9,17,18.6,17.4,18.4,1162
PI 576428,LN,1,8,17,17.2,30.0,19.2,1163
PI 655997,LN,1,7,17,19.2,18.6,14.3,1164
PI 656080,LN,1,6,17,15.2,16.2,11.6,1165
PI 534124,LN,1,5,17,26.2,20.7,NA,1166
PI 533998,LN,1,4,17,15.2,18.3,17.1,1167
PI 533878,LN,1,3,17,20.0,25.0,20.1,1168
PI 656044,LN,1,2,17,8.0,16.9,28.1,1169
PI 641824,LN,1,1,17,19.8,23.5,23.7,1170
PI 655979,LN,1,10,18,17.5,NA,NA,1171
PI 656047,LN,1,9,18,11.5,13.6,16.4,1172
PI 533761,LN,1,8,18,14.6,19.8,13.4,1173
PI 533852,LN,1,7,18,16.8,16.4,14.6,1174
PI 656108,LN,1,6,18,28.4,27.5,16.5,1175
PI 533766,LN,1,5,18,15.7,18.7,17.8,1176
PI 533785,LN,1,4,18,21.4,20.2,21.3,1177
PI 656068,LN,1,3,18,21.5,30.7,29.6,1178
PI 656024,LN,1,2,18,23.0,25.5,22.2,1179
PI 534105,LN,1,1,18,22.5,22.2,21.6,1180
PI 659753,LN,1,20,1,19.5,22.6,24.3,1181
PI 576425,LN,1,19,1,23.7,24.3,25.6,1182
PI 534117,LN,1,18,1,23.2,23.7,25.8,1183
PI 564163,LN,1,17,1,18.8,19.1,19.7,1184
PI 656018,LN,1,16,1,16.0,16.4,18.9,1185
PI 533985,LN,1,15,1,19.8,20.4,21.7,1186
PI 656096,LN,1,14,1,22.7,21.4,25.6,1187
PI 17548,LN,1,13,1,26.5,27.4,32.7,1188
PI 656105,LN,1,12,1,22.9,24.2,26.8,1189
PI 533757,LN,1,11,1,23.7,24.8,25.6,1190
PI 533987,LN,1,20,2,22.9,23.6,25.7,1191
PI 534104,LN,1,19,2,28.4,30.5,NA,1192
PI 533936,LN,1,18,2,22.0,22.6,23.4,1193
PI 597961,LN,1,17,2,20.9,21.4,22.2,1194
PI 35038,LN,1,16,2,19.3,20.7,21.4,1195
PI 533877,LN,1,15,2,20.4,21.6,22.8,1196
PI 533855,LN,1,14,2,14.4,21.9,22.6,1197
PI 533839,LN,1,13,2,17.6,18.8,23.4,1198
PI 656046,LN,1,12,2,25.4,26.7,27.6,1199
PI 576339,LN,1,11,2,22.3,22.9,25.8,1200
PI 534053,LN,1,20,3,20.2,21.8,NA,1201
PI 613536,LN,1,19,3,22.6,24.2,NA,1202
PI 564164,LN,1,18,3,21.4,22.9,25.3,1203
PI 655984,LN,1,17,3,14.3,15.8,17.4,1204
PI 533754,LN,1,16,3,16.9,17.3,18.6,1205
PI 656061,LN,1,15,3,22.8,23.9,28.4,1206
PI 534137,LN,1,14,3,19.5,21.5,23.2,1207
PI 564163,LN,1,13,3,20.6,22.4,22.7,1208
PI 656002,LN,1,12,3,19.3,25.4,26.2,1209
PI 533924,LN,1,11,3,14.6,15.8,19.6,1210
PI 533863,LN,1,20,4,16.5,17.9,18.4,1211
PI 656057,LN,1,19,4,22.9,23.7,24.6,1212
PI 595741,LN,1,18,4,18.7,19.3,21.5,1213
PI 576376,LN,1,17,4,21.3,23.9,23.4,1214
PI 533822,LN,1,16,4,17.5,18.1,19.6,1215
PI 656023,LN,1,15,4,21.4,23.6,24.7,1216
PI 533903,LN,1,14,4,20.7,23.4,25.9,1217
PI 655995,LN,1,13,4,26.5,28.9,29.4,1218
PI 533800,LN,1,12,4,18.4,20.5,21.3,1219
PI 629040,LN,1,11,4,22.6,24.8,NA,1220
PI 597952,LN,1,20,5,16.4,17.5,18.3,1221
PI 595744,LN,1,19,5,21.7,22.4,23.9,1222
PI 656118,LN,1,18,5,24.6,25.3,26.1,1223
PI 656078,LN,1,17,5,22.3,27.8,NA,1224
PI 533965,LN,1,16,5,16.5,18.4,19.2,1225
PI 656052,LN,1,15,5,16.5,17.9,22.6,1226
PI 564163,LN,1,14,5,17.4,18.6,20.3,1227
PI 597982,LN,1,13,5,18.5,22.7,23.4,1228
PI 533758,LN,1,12,5,22.8,24.6,25.1,1229
PI 534114,LN,1,11,5,19.9,20.7,22.4,1230
PI 595699,LN,1,20,6,19.8,20.3,22.4,1231
PI 655994,LN,1,19,6,21.3,22.7,24.8,1232
PI 656039,LN,1,18,6,22.6,25.3,28.4,1233
PI 659695,LN,1,17,6,22.1,24.9,27.3,1234
PI 534123,LN,1,16,6,22.3,24.1,NA,1235
PI 533789,LN,1,15,6,15.4,16.5,21.7,1236
PI 533792,LN,1,14,6,20.7,22.4,27.6,1237
PI 656056,LN,1,13,6,21.9,26.3,28.4,1238
PI 656073,LN,1,12,6,24.3,26.9,28.2,1239
PI 534163,LN,1,11,6,19.4,20.3,21.6,1240
PI 597950,LN,1,20,7,18.4,20.3,20.4,1241
PI 655985,LN,1,19,7,23.3,27.9,26.8,1242
PI 534148,LN,1,18,7,29.1,29.8,23.9,1243
PI 534139,LN,1,17,7,13.2,20.3,19.1,1244
PI 656059,LN,1,16,7,17.1,17.5,15.4,1245
PI 533901,LN,1,15,7,12.1,16.3,17.5,1246
PI 534145,LN,1,14,7,27.0,22.3,27.4,1247
PI 576434,LN,1,13,7,19.6,NA,NA,1248
PI 656001,LN,1,12,7,21.5,19.8,21.7,1249
PI 656099,LN,1,11,7,24.6,24.4,24.5,1250
PI 655982,LN,1,20,8,22.4,31.3,26.5,1251
PI 656034,LN,1,19,8,28.4,27.9,29.1,1252
PI 595714,LN,1,18,8,23.4,26.6,24.9,1253
PI 656038,LN,1,17,8,17.6,21.6,25.2,1254
PI 534108,LN,1,16,8,21.2,25.1,25.8,1255
PI 597964,LN,1,15,8,14.5,17.3,15.8,1256
PI 533997,LN,1,14,8,20.3,20.5,23.5,1257
PI 597976,LN,1,13,8,17.5,18.6,24.2,1258
PI 564163,LN,1,12,8,20.7,22.0,16.3,1259
PI 597972,LN,1,11,8,23.5,24.6,25.5,1260
PI 641836,LN,1,20,9,15.4,18.2,19.8,1261
PI 534127,LN,1,19,9,21.1,20.9,19.6,1262
PI 533788,LN,1,18,9,28.3,NA,NA,1263
PI 651496,LN,1,17,9,17.3,19.6,26.2,1264
PI 656113,LN,1,16,9,17.8,19.1,20.6,1265
PI 653617,LN,1,15,9,22.6,23.7,25.5,1266
PI 656090,LN,1,14,9,20.8,25.3,13.6,1267
PI 656081,LN,1,13,9,19.8,12.7,NA,1268
PI 655987,LN,1,12,9,26.2,22.8,24.7,1269
PI 564165,LN,1,11,9,15.6,20.0,26.3,1270
PI 641849,LN,1,20,10,16.8,21.6,24.3,1271
PI 564163,LN,1,19,10,11.8,19.4,22.7,1272
PI 597965,LN,1,18,10,19.7,22.7,22.1,1273
PI 561472,LN,1,17,10,20.4,22.1,24.2,1274
PI 598070,LN,1,16,10,24.4,17.8,24.5,1275
PI 533833,LN,1,15,10,19.3,20.0,19.7,1276
PI 533938,LN,1,14,10,22.7,14.1,21..5,1277
PI 534112,LN,1,13,10,22.5,20.0,18.5,1278
PI 533962,LN,1,12,10,16.8,16.6,15.2,1279
PI 576390,LN,1,11,10,17.4,15.7,21.0,1280
PI 655972,LN,1,20,11,25.5,20.8,18.4,1281
PI 656041,LN,1,19,11,19.7,21.4,22.6,1282
PI 576396,LN,1,18,11,26.2,27.2,26.4,1283
PI 533830,LN,1,17,11,19.7,24.2,20.1,1284
PI 561071,LN,1,16,11,12.9,15.7,16.7,1285
PI 561073,LN,1,15,11,22.3,NA,NA,1286
PI 533845,LN,1,14,11,28.3,25.2,23.2,1287
PI 656015,LN,1,13,11,16.5,19.0,21.0,1288
PI 534133,LN,1,12,11,17.4,19.6,25.0,1289
PI 576340,LN,1,11,11,16.3,14.0,17.2,1290
PI 656071,LN,1,20,12,19.2,21.3,24.3,1291
PI 533961,LN,1,19,12,24.3,25.3,18.2,1292
PI 24969,LN,1,18,12,23.1,26.4,25.3,1293
PI 564163,LN,1,17,12,20.4,7.7,14.7,1294
PI 533841,LN,1,16,12,12.8,11.4,14.6,1295
PI 533760,LN,1,15,12,8.5,12.1,NA,1296
PI 533869,LN,1,14,12,22.5,19.3,20.4,1297
PI 655974,LN,1,13,12,21.6,21.8,21.3,1298
PI 656029,LN,1,12,12,19.0,19.3,20.3,1299
PI 655990,LN,1,11,12,19.4,15.7,17.5,1300
PI 656008,LN,1,20,13,21.4,NA,NA,1301
PI 534144,LN,1,19,13,17.6,20.4,21.2,1302
PI 534167,LN,1,18,13,19.3,20.7,24.5,1303
PI 656085,LN,1,17,13,16.1,18.4,19.5,1304
PI 655977,LN,1,16,13,14.5,16.7,18.2,1305
PI 534047,LN,1,15,13,17.4,18.5,19.4,1306
PI 595743,LN,1,14,13,18.7,19.4,20.5,1307
PI 656020,LN,1,13,13,22.2,23.7,24.8,1308
PI 533794,LN,1,12,13,20.8,21.9,24.3,1309
PI 574455,LN,1,11,13,18.5,19.4,22.1,1310
PI 534116,LN,1,20,14,16.3,20.9,25.6,1311
PI 576332,LN,1,19,14,18.4,22.3,23.7,1312
PI 656070,LN,1,18,14,19.8,22.7,24.3,1313
PI 533948,LN,1,17,14,20.4,21.3,25.7,1314
PI 656111,LN,1,16,14,21.9,21.1,22.8,1315
PI 576347,LN,1,15,14,18.6,19.8,20.5,1316
PI 656036,LN,1,14,14,19.3,20.6,21.4,1317
PI 655980,LN,1,13,14,15.9,17.3,21.0,1318
PI 655976,LN,1,12,14,19.5,20.6,22.4,1319
PI 576393,LN,1,11,14,18.6,18.3,19.5,1320
PI 533919,LN,1,20,15,21.9,22.3,25.4,1321
PI 656079,LN,1,19,15,19.7,20.4,22.5,1322
PI 534096,LN,1,18,15,15.4,16.7,17.8,1323
PI 564163,LN,1,17,15,16.3,17.6,22.4,1324
PI 576337,LN,1,16,15,13.7,15.4,16.3,1325
PI 48770,LN,1,15,15,15.8,16.4,17.9,1326
PI 533912,LN,1,14,15,17.6,19.5,20.4,1327
PI 656025,LN,1,13,15,23.5,24.9,26.2,1328
PI 561072,LN,1,12,15,19.3,20.6,21.9,1329
PI 597971,LN,1,11,15,16.6,17.3,19.5,1330
PI 597960,LN,1,20,16,21.8,23.7,25.2,1331
PI 595739,LN,1,19,16,21.4,23.5,NA,1332
PI 656022,LN,1,18,16,22.6,24.3,25.7,1333
PI 656097,LN,1,17,16,22.1,23.6,24.8,1334
PI 655975,LN,1,16,16,18.7,20.4,21.3,1335
PI 534128,LN,1,15,16,22.7,23.9,26.4,1336
PI 656037,LN,1,14,16,21.9,22.8,23.6,1337
PI 656086,LN,1,13,16,26.4,NA,NA,1338
PI 533955,LN,1,12,16,22.5,24.7,25.1,1339
PI 656121,LN,1,11,16,20.7,21.6,22.5,1340
PI 533940,LN,1,20,17,13.4,17.8,9.5,1341
PI 656082,LN,1,19,17,16.8,17.3,19.1,1342
PI 534063,LN,1,18,17,16.3,17.5,18.8,1343
PI 533991,LN,1,17,17,19.5,21.7,24.3,1344
PI 601816,LN,1,16,17,21.3,23.6,24.5,1345
PI 595740,LN,1,15,17,18.8,21.4,21.9,1346
PI 534028,LN,1,14,17,18.6,22.9,23.5,1347
PI 152651,LN,1,13,17,19.4,20.8,21.6,1348
PI 576381,LN,1,12,17,20.5,21.6,22.3,1349
PI 656004,LN,1,11,17,30.5,NA,NA,1350
PI 552856,LN,1,20,18,19.8,20.4,22.1,1351
PI 656010,LN,1,19,18,15.4,16.0,NA,1352
PI 534021,LN,1,18,18,16.3,17.8,21.5,1353
PI 533821,LN,1,17,18,25.6,NA,NA,1354
PI 656101,LN,1,16,18,20.9,21.4,23.2,1355
PI 576422,LN,1,15,18,16.2,16.8,17.5,1356
PI 629034,LN,1,14,18,19.7,20.4,21.6,1357
PI 656060,LN,1,13,18,21.1,21.6,24.2,1358
PI 564163,LN,1,12,18,22.6,23.4,NA,1359
PI 659694,LN,1,11,18,22.7,NA,NA,1360
PI 656110,HN,2,30,1,40.5,41.2,NA,2001
PI 534046,HN,2,29,1,32.4,31.6,31.9,2002
PI 533998,HN,2,28,1,31.5,32.2,35.2,2003
PI 609456,HN,2,27,1,34.8,36.2,40.9,2004
PI 656112,HN,2,26,1,34.2,32.5,36.5,2005
PI 561472,HN,2,25,1,39.5,44.2,43.8,2006
PI 534101,HN,2,24,1,30.7,37.6,36.6,2007
PI 655981,HN,2,23,1,34.6,42.4,44.3,2008
PI 564163,HN,2,22,1,52.4,57.2,NA,2009
PI 656023,HN,2,21,1,33.8,40.4,35.9,2010
PI 534139,HN,2,30,2,32.1,33.5,34.3,2011
PI 533997,HN,2,29,2,41.2,43.5,42.9,2012
PI 35038,HN,2,28,2,42.1,45.1,NA,2013
PI 534117,HN,2,27,2,37.5,39.2,43.6,2014
PI 576337,HN,2,26,2,34.5,39.6,36.8,2015
PI 656029,HN,2,25,2,39.3,44.4,37.9,2016
PI 534135,HN,2,24,2,53.9,36.4,51.5,2017
PI 656073,HN,2,23,2,45.3,51.7,NA,2018
PI 533792,HN,2,22,2,45.4,37.1,38.0,2019
PI 656008,HN,2,21,2,43.2,51.3,NA,2020
PI 533769,HN,2,30,3,30.5,34.2,28.0,2021
PI 656098,HN,2,29,3,33.5,30.6,31.4,2022
PI 533915,HN,2,28,3,37.5,38.5,36.2,2023
PI 656060,HN,2,27,3,38.5,39.2,41.6,2024
PI 656031,HN,2,26,3,29.2,25.5,31.4,2025
PI 533979,HN,2,25,3,37.7,32.6,38.2,2026
PI 656105,HN,2,24,3,32.9,33.4,38.7,2027
PI 629034,HN,2,23,3,39.8,44.2,NA,2028
PI 656096,HN,2,22,3,37.2,31.1,NA,2029
PI 659693,HN,2,21,3,30.4,33.8,27.6,2030
PI 595745,HN,2,30,4,32.5,NA,NA,2031
PI 597964,HN,2,29,4,35.8,28.6,28.9,2032
PI 534137,HN,2,28,4,36.2,34.6,36.4,2033
PI 533986,HN,2,27,4,27.6,36.8,25.7,2034
PI 656117,HN,2,26,4,43.5,46.2,42.8,2035
PI 576376,HN,2,25,4,41.7,44.3,NA,2036
PI 533964,HN,2,24,4,50.2,44.3,43.1,2037
PI 534096,HN,2,23,4,44.1,37.6,36.9,2038
PI 152651,HN,2,22,4,36.2,40.2,31.8,2039
PI 566819,HN,2,21,4,28.4,45.3,41.8,2040
PI 533878,HN,2,30,5,33.6,37.2,NA,2041
PI 656028,HN,2,29,5,42.1,34.8,36.2,2042
PI 656058,HN,2,28,5,35.5,45.0,44.9,2043
PI 564163,HN,2,27,5,43.5,38.6,34.7,2044
PI 641836,HN,2,26,5,32.3,33.1,33.8,2045
PI 656069,HN,2,25,5,32.7,31.6,32.2,2046
PI 656120,HN,2,24,5,32.2,23.3,31.6,2047
PI 533912,HN,2,23,5,60.1,48.2,33.8,2048
PI 534114,HN,2,22,5,41.4,47.8,44.3,2049
PI 564163,HN,2,21,5,41.1,40.3,50.4,2050
PI 561073,HN,2,30,6,33.6,34.2,36.5,2051
PI 533839,HN,2,29,6,29.4,32.7,34.5,2052
PI 533976,HN,2,28,6,36.5,37.8,29.2,2053
PI 656102,HN,2,27,6,33.5,32.5,37.8,2054
PI 656119,HN,2,26,6,31.6,30.9,31.1,2055
PI 533788,HN,2,25,6,45.6,39.4,46.1,2056
PI 598070,HN,2,24,6,32.1,27.4,33.6,2057
PI 656083,HN,2,23,6,38.6,37.6,42.2,2058
PI 629059,HN,2,22,6,40.4,38.1,35.8,2059
PI 576348,HN,2,21,6,40.6,40.4,41.2,2060
PI 533807,HN,2,30,7,30.4,24.1,24.5,2061
PI 656099,HN,2,29,7,22.8,23.4,22.4,2062
PI 597950,HN,2,28,7,25.6,27.9,26.5,2063
PI 597965,HN,2,27,7,30.6,26.5,26.0,2064
PI 533911,HN,2,26,7,27.2,29.0,24.4,2065
PI 656072,HN,2,25,7,43.2,32.1,37.5,2066
PI 576434,HN,2,24,7,46.0,46.0,38.7,2067
PI 656025,HN,2,23,7,46.7,41.2,43.7,2068
PI 276837,HN,2,22,7,60.0,64.5,63.2,2069
PI 656009,HN,2,21,7,42.8,39.5,32.3,2070
PI 655970,HN,2,30,8,31.5,31.6,31.2,2071
PI 534108,HN,2,29,8,29.4,30.6,28.6,2072
PI 655994,HN,2,28,8,31.6,30.4,30.2,2073
PI 533752,HN,2,27,8,26.6,27.2,25.4,2074
PI 564163,HN,2,26,8,30.2,39.0,32.8,2075
PI 656109,HN,2,25,8,39.7,37.5,37.3,2076
PI 533985,HN,2,24,8,38.2,36.7,40.1,2077
PI 576332,HN,2,23,8,34.5,36.2,38.3,2078
PI 607931,HN,2,22,8,38.9,41.3,38.7,2079
PI 597961,HN,2,21,8,38.5,33.7,26.6,2080
PI 656052,HN,2,30,9,27.4,27.2,30.5,2081
PI 597945,HN,2,29,9,22.5,26.2,NA,2082
PI 533876,HN,2,28,9,28.2,25.4,30.9,2083
PI 533927,HN,2,27,9,25.4,37.1,33.2,2084
PI 534148,HN,2,26,9,29.1,30.5,28.6,2085
PI 595702,HN,2,25,9,31.0,31.3,33.7,2086
PI 533833,HN,2,24,9,38.3,37.2,33.0,2087
PI 656078,HN,2,23,9,29.3,28.0,29.7,2088
PI 534104,HN,2,22,9,36.6,36.9,40.0,2089
PI 564165,HN,2,21,9,40.7,42.3,42.5,2090
PI 656108,HN,2,30,10,26.8,26.7,31.4,2091
PI 534099,HN,2,29,10,22.9,26.4,NA,2092
PI 533877,HN,2,28,10,29.7,32.2,30.5,2093
PI 655987,HN,2,27,10,28.2,26.7,24.6,2094
PI 533921,HN,2,26,10,NA,NA,NA,2095
PI 656006,HN,2,25,10,38.2,37.7,NA,2096
PI 576345,HN,2,24,10,41.0,36.7,39.0,2097
PI 576426,HN,2,23,10,15.7,31.0,NA,2098
PI 595718,HN,2,22,10,28.5,27.5,27.9,2099
PI 533824,HN,2,21,10,23.2,32.7,31.0,2100
PI 656111,HN,2,30,11,31.6,24.2,27.2,2101
PI 656022,HN,2,29,11,37.6,30.1,30.6,2102
PI 48770,HN,2,28,11,30.6,27.2,32.5,2103
PI 597968,HN,2,27,11,29.1,24.6,26.2,2104
PI 534079,HN,2,26,11,28.6,29.2,28.9,2105
