kegg_gene	ncbi_gene_id	kegg_name	kegg_ko	kegg_ec	kegg_pathways	ncbi_symbol	ncbi_description	ncbi_chromosome	sorbi_locus_tag	sobic_v5_id	evidence_kegg_00910	evidence_kegg_01310	evidence_keyword_core	evidence_terms	evidence_score	confidence_tier	chr	chr_label	start1	end1	strand	present_in_v5_gff	kegg_gene_url	ncbi_gene_url
sbi:8085192	8085192	(RefSeq) high-affinity nitrate transporter 2.1	K02575		sbi00910  Nitrogen metabolism	LOC8085192	high-affinity nitrate transporter 2.1	4	SORBI_3004G009500	Sobic.004G009500.v5.1	True	False	True	nitrate transporter	2	high	4	Chr04	864108	866096	-	True	https://www.kegg.jp/entry/sbi:8085192	https://www.ncbi.nlm.nih.gov/gene/8085192
sbi:110434374	110434374	(RefSeq) glutamine synthetase cytosolic isozyme 1-1	K01915	6.3.1.2	sbi00220  Arginine biosynthesis | sbi00250  Alanine, aspartate and glutamate metabolism | sbi00630  Glyoxylate and dicarboxylate metabolism | sbi00910  Nitrogen metabolism | sbi01100  Metabolic pathways | sbi01110  Biosynthesis of secondary metabolites | sbi01230  Biosynthesis of amino acids | sbi04075  Plant hormone signal transduction	LOC110434374	glutamine synthetase cytosolic isozyme 1-1	4	SORBI_3004G247000	Sobic.004G247000.v5.1	True	False	True	glutamine synthetase	2	high	4	Chr04	61996578	62000806	+	True	https://www.kegg.jp/entry/sbi:110434374	https://www.ncbi.nlm.nih.gov/gene/110434374
sbi:110436381	110436381	(RefSeq) glutamine synthetase, chloroplastic	K01915	6.3.1.2	sbi00220  Arginine biosynthesis | sbi00250  Alanine, aspartate and glutamate metabolism | sbi00630  Glyoxylate and dicarboxylate metabolism | sbi00910  Nitrogen metabolism | sbi01100  Metabolic pathways | sbi01110  Biosynthesis of secondary metabolites | sbi01230  Biosynthesis of amino acids | sbi04075  Plant hormone signal transduction	LOC110436381	glutamine synthetase, chloroplastic	6	SORBI_3006G249400	Sobic.006G249400.v5.1	True	False	True	glutamine synthetase	2	high	6	Chr06	60292605	60296910	-	True	https://www.kegg.jp/entry/sbi:110436381	https://www.ncbi.nlm.nih.gov/gene/110436381
sbi:110433762	110433762	(RefSeq) glutamate dehydrogenase	K00261	1.4.1.3	sbi00220  Arginine biosynthesis | sbi00250  Alanine, aspartate and glutamate metabolism | sbi00910  Nitrogen metabolism | sbi01100  Metabolic pathways | sbi01200  Carbon metabolism	LOC110433762	glutamate dehydrogenase	1	SORBI_3001G059100	Sobic.001G059100.v5.1	True	False	False		1	medium	1	Chr01	4488981	4495443	+	True	https://www.kegg.jp/entry/sbi:110433762	https://www.ncbi.nlm.nih.gov/gene/110433762
sbi:8081044	8081044	(RefSeq) alpha carbonic anhydrase 7	K01674	4.2.1.1	sbi00910  Nitrogen metabolism | sbi01100  Metabolic pathways	LOC8081044	alpha carbonic anhydrase 7	2	SORBI_3002G224000	Sobic.002G224000.v5.1	True	False	False		1	medium	2	Chr02	62820251	62826160	-	True	https://www.kegg.jp/entry/sbi:8081044	https://www.ncbi.nlm.nih.gov/gene/8081044
sbi:110432850	110432850	(RefSeq) beta carbonic anhydrase 5, chloroplastic-like isoform X1	K01673	4.2.1.1	sbi00910  Nitrogen metabolism | sbi01100  Metabolic pathways	LOC110432850	beta carbonic anhydrase 5, chloroplastic-like	2	SORBI_3002G230100	Sobic.002G230100.v5.1	True	False	False		1	medium	2	Chr02	63427625	63432647	-	True	https://www.kegg.jp/entry/sbi:110432850	https://www.ncbi.nlm.nih.gov/gene/110432850
sbi:8078593	8078593	(RefSeq) NADP-specific glutamate dehydrogenase isoform X2	K00262	1.4.1.4	sbi00220  Arginine biosynthesis | sbi00250  Alanine, aspartate and glutamate metabolism | sbi00910  Nitrogen metabolism | sbi01100  Metabolic pathways	LOC8078593	NADP-specific glutamate dehydrogenase	3	SORBI_3003G188400	Sobic.003G188400.v5.1	True	False	False		1	medium	3	Chr03	57067826	57073380	+	True	https://www.kegg.jp/entry/sbi:8078593	https://www.ncbi.nlm.nih.gov/gene/8078593
sbi:110433917	110433917	(RefSeq) carbonic anhydrase, chloroplastic-like isoform X1	K01673	4.2.1.1	sbi00910  Nitrogen metabolism | sbi01100  Metabolic pathways	LOC110433917	carbonic anhydrase, chloroplastic-like	3	SORBI_3003G234200	Sobic.003G234200.v5.1	True	False	False		1	medium	3	Chr03	63612874	63623760	+	True	https://www.kegg.jp/entry/sbi:110433917	https://www.ncbi.nlm.nih.gov/gene/110433917
sbi:8058220	8058220	(RefSeq) carbonic anhydrase, chloroplastic	K01673	4.2.1.1	sbi00910  Nitrogen metabolism | sbi01100  Metabolic pathways	LOC8058220	carbonic anhydrase, chloroplastic	3	SORBI_3003G234600	Sobic.003G234600.v5.1	True	False	False		1	medium	3	Chr03	63639373	63643219	+	True	https://www.kegg.jp/entry/sbi:8058220	https://www.ncbi.nlm.nih.gov/gene/8058220
sbi:8072114	8072114	(RefSeq) uncharacterized protein LOC8072114	K01455	3.5.1.49	sbi00460  Cyanoamino acid metabolism | sbi00630  Glyoxylate and dicarboxylate metabolism | sbi00910  Nitrogen metabolism | sbi01100  Metabolic pathways | sbi01200  Carbon metabolism	LOC8072114	formamidase	3	SORBI_3003G306600	Sobic.003G306600.v5.1	True	False	False		1	medium	3	Chr03	69912401	69916755	-	True	https://www.kegg.jp/entry/sbi:8072114	https://www.ncbi.nlm.nih.gov/gene/8072114
sbi:8079246	8079246	(RefSeq) pentatricopeptide repeat-containing protein At4g16835, mitochondrial	K01455	3.5.1.49	sbi00460  Cyanoamino acid metabolism | sbi00630  Glyoxylate and dicarboxylate metabolism | sbi00910  Nitrogen metabolism | sbi01100  Metabolic pathways | sbi01200  Carbon metabolism	LOC8079246	pentatricopeptide repeat-containing protein At4g16835, mitochondrial	3	SORBI_3003G306700	Sobic.003G306700.v5.1	True	False	False		1	medium	3	Chr03	69919528	69924302	-	True	https://www.kegg.jp/entry/sbi:8079246	https://www.ncbi.nlm.nih.gov/gene/8079246
sbi:8058646	8058646	(RefSeq) alpha carbonic anhydrase 1, chloroplastic	K01674	4.2.1.1	sbi00910  Nitrogen metabolism | sbi01100  Metabolic pathways	LOC8058646	alpha carbonic anhydrase 1, chloroplastic	4	SORBI_3004G166000	Sobic.004G166000.v5.1	True	False	False		1	medium	4	Chr04	54023185	54026526	+	True	https://www.kegg.jp/entry/sbi:8058646	https://www.ncbi.nlm.nih.gov/gene/8058646
sbi:8058548	8058548	(RefSeq) alpha carbonic anhydrase 7	K01674	4.2.1.1	sbi00910  Nitrogen metabolism | sbi01100  Metabolic pathways	LOC8058548	alpha carbonic anhydrase 7	5	SORBI_3005G039000	Sobic.005G039000.v5.1	True	False	False		1	medium	5	Chr05	3625488	3627009	+	True	https://www.kegg.jp/entry/sbi:8058548	https://www.ncbi.nlm.nih.gov/gene/8058548
sbi:8075274	8075274	(RefSeq) alpha carbonic anhydrase 1, chloroplastic	K01674	4.2.1.1	sbi00910  Nitrogen metabolism | sbi01100  Metabolic pathways	LOC8075274	alpha carbonic anhydrase 1, chloroplastic	6	SORBI_3006G069300	Sobic.006G069300.v5.1	True	False	False		1	medium	6	Chr06	44606402	44608541	+	True	https://www.kegg.jp/entry/sbi:8075274	https://www.ncbi.nlm.nih.gov/gene/8075274
sbi:8055934	8055934	(RefSeq) glutamate dehydrogenase 2, mitochondrial isoform X1	K00261	1.4.1.3	sbi00220  Arginine biosynthesis | sbi00250  Alanine, aspartate and glutamate metabolism | sbi00910  Nitrogen metabolism | sbi01100  Metabolic pathways | sbi01200  Carbon metabolism	LOC8055934	glutamate dehydrogenase 2, mitochondrial	6	SORBI_3006G165400	Sobic.006G165400.v5.1	True	False	False		1	medium	6	Chr06	53713524	53717335	+	True	https://www.kegg.jp/entry/sbi:8055934	https://www.ncbi.nlm.nih.gov/gene/8055934
sbi:8083530	8083530	(RefSeq) alpha carbonic anhydrase 7	K01674	4.2.1.1	sbi00910  Nitrogen metabolism | sbi01100  Metabolic pathways	LOC8083530	alpha carbonic anhydrase 7	7	SORBI_3007G154800	Sobic.007G154800.v5.1	True	False	False		1	medium	7	Chr07	62195935	62197437	-	True	https://www.kegg.jp/entry/sbi:8083530	https://www.ncbi.nlm.nih.gov/gene/8083530
sbi:8080665	8080665	(RefSeq) alpha carbonic anhydrase 7	K01674	4.2.1.1	sbi00910  Nitrogen metabolism | sbi01100  Metabolic pathways	LOC8080665	alpha carbonic anhydrase 7	7	SORBI_3007G155000	Sobic.007G155000.v5.1	True	False	False		1	medium	7	Chr07	62207477	62209480	-	True	https://www.kegg.jp/entry/sbi:8080665	https://www.ncbi.nlm.nih.gov/gene/8080665
sbi:8083531	8083531	(RefSeq) alpha carbonic anhydrase 7	K01674	4.2.1.1	sbi00910  Nitrogen metabolism | sbi01100  Metabolic pathways	LOC8083531	alpha carbonic anhydrase 7	7	SORBI_3007G155100	Sobic.007G155100.v5.1	True	False	False		1	medium	7	Chr07	62219900	62221661	-	True	https://www.kegg.jp/entry/sbi:8083531	https://www.ncbi.nlm.nih.gov/gene/8083531
sbi:8080669	8080669	(RefSeq) alpha carbonic anhydrase 7	K01674	4.2.1.1	sbi00910  Nitrogen metabolism | sbi01100  Metabolic pathways	LOC8080669	alpha carbonic anhydrase 7	7	SORBI_3007G155200	Sobic.007G155200.v5.1	True	False	False		1	medium	7	Chr07	62237375	62239208	-	True	https://www.kegg.jp/entry/sbi:8080669	https://www.ncbi.nlm.nih.gov/gene/8080669
sbi:8055690	8055690	(RefSeq) protein NRT1/ PTR FAMILY 5.6	K26562			LOC8055690	protein NRT1/ PTR FAMILY 5.6	1	SORBI_3001G032000	Sobic.001G032000.v5.1	False	False	True	nitrate transporter	1	low	1	Chr01	2459320	2462160	+	True	https://www.kegg.jp/entry/sbi:8055690	https://www.ncbi.nlm.nih.gov/gene/8055690
sbi:8086248	8086248	(RefSeq) putative ammonium transporter 4 member 1	K03320			LOC8086248	putative ammonium transporter 4 member 1	1	SORBI_3001G089400	Sobic.001G089400.v5.1	False	False	True	ammonium transporter	1	low	1	Chr01	7003174	7005422	-	True	https://www.kegg.jp/entry/sbi:8086248	https://www.ncbi.nlm.nih.gov/gene/8086248
sbi:8054157	8054157	(RefSeq) protein NRT1/ PTR FAMILY 2.11	K26552			LOC8054157	protein NRT1/ PTR FAMILY 2.11	1	SORBI_3001G133900	Sobic.001G133900.v5.1	False	False	True	nitrate transporter	1	low	1	Chr01	10676841	10684047	+	True	https://www.kegg.jp/entry/sbi:8054157	https://www.ncbi.nlm.nih.gov/gene/8054157
sbi:8065198	8065198	(RefSeq) folylpolyglutamate synthase isoform X2	K01930	6.3.2.17	sbi00790  Folate biosynthesis | sbi01100  Metabolic pathways | sbi01240  Biosynthesis of cofactors | sbi04981  Folate transport and metabolism	LOC8065198	folylpolyglutamate synthase	1	SORBI_3001G201900	Sobic.001G201900.v5.1	False	False	True	glutamate synthase	1	low	1	Chr01	18535644	18542754	+	True	https://www.kegg.jp/entry/sbi:8065198	https://www.ncbi.nlm.nih.gov/gene/8065198
sbi:8067439	8067439	(RefSeq) protein NRT1/ PTR FAMILY 5.2 isoform X2	K26562			LOC8067439	protein NRT1/ PTR FAMILY 5.2	1	SORBI_3001G223100	Sobic.001G223100.v5.1	False	False	True	nitrate transporter	1	low	1	Chr01	21522155	21528715	-	True	https://www.kegg.jp/entry/sbi:8067439	https://www.ncbi.nlm.nih.gov/gene/8067439
sbi:8058104	8058104	(RefSeq) protein NRT1/ PTR FAMILY 6.3	K26549			LOC8058104	protein NRT1/ PTR FAMILY 6.3	1	SORBI_3001G302800	Sobic.001G302800.v5.1	False	False	True	nitrate transporter	1	low	1	Chr01	62727741	62733372	+	True	https://www.kegg.jp/entry/sbi:8058104	https://www.ncbi.nlm.nih.gov/gene/8058104
sbi:8085518	8085518	(RefSeq) protein NRT1/ PTR FAMILY 5.2	K26562			LOC8085518	protein NRT1/ PTR FAMILY 5.2	1	SORBI_3001G511000	Sobic.001G511000.v5.1	False	False	True	nitrate transporter	1	low	1	Chr01	82028033	82033665	+	True	https://www.kegg.jp/entry/sbi:8085518	https://www.ncbi.nlm.nih.gov/gene/8085518
sbi:8059498	8059498	(RefSeq) folylpolyglutamate synthase isoform X1	K01930	6.3.2.17	sbi00790  Folate biosynthesis | sbi01100  Metabolic pathways | sbi01240  Biosynthesis of cofactors | sbi04981  Folate transport and metabolism	LOC8059498	folylpolyglutamate synthase	1	SORBI_3001G535500	Sobic.001G535500.v5.1	False	False	True	glutamate synthase	1	low	1	Chr01	84065230	84078561	+	True	https://www.kegg.jp/entry/sbi:8059498	https://www.ncbi.nlm.nih.gov/gene/8059498
sbi:8059535	8059535	(RefSeq) protein NRT1/ PTR FAMILY 6.3	K26549			LOC8059535	protein NRT1/ PTR FAMILY 6.3	1	SORBI_3001G541900	Sobic.001G541900.v5.1	False	False	True	nitrate transporter	1	low	1	Chr01	84696862	84699928	-	True	https://www.kegg.jp/entry/sbi:8059535	https://www.ncbi.nlm.nih.gov/gene/8059535
sbi:8054525	8054525	(RefSeq) urease	K01427	3.5.1.5	sbi00220  Arginine biosynthesis | sbi00230  Purine metabolism | sbi01100  Metabolic pathways	LOC8054525	urease	2	SORBI_3002G009300	Sobic.002G009300.v5.1	False	False	True	urease	1	low	2	Chr02	837339	848759	+	True	https://www.kegg.jp/entry/sbi:8054525	https://www.ncbi.nlm.nih.gov/gene/8054525
sbi:8063655	8063655	(RefSeq) protein NRT1/ PTR FAMILY 2.11	K26552			LOC8063655	protein NRT1/ PTR FAMILY 2.11	2	SORBI_3002G064800	Sobic.002G064800.v5.1	False	False	True	nitrate transporter	1	low	2	Chr02	6430826	6433119	-	True	https://www.kegg.jp/entry/sbi:8063655	https://www.ncbi.nlm.nih.gov/gene/8063655
sbi:8054415	8054415	(RefSeq) protein NRT1/ PTR FAMILY 7.3	K26554			LOC8054415	protein NRT1/ PTR FAMILY 7.3	2	SORBI_3002G091800	Sobic.002G091800.v5.1	False	False	True	nitrate transporter	1	low	2	Chr02	9607776	9610627	+	True	https://www.kegg.jp/entry/sbi:8054415	https://www.ncbi.nlm.nih.gov/gene/8054415
sbi:8063327	8063327	(RefSeq) protein NRT1/ PTR FAMILY 6.1 isoform X2	K26549			LOC8063327	protein NRT1/ PTR FAMILY 6.1	3	SORBI_3003G107100	Sobic.003G107100.v5.1	False	False	True	nitrate transporter	1	low	3	Chr03	9745059	9748481	-	True	https://www.kegg.jp/entry/sbi:8063327	https://www.ncbi.nlm.nih.gov/gene/8063327
sbi:8054634	8054634	(RefSeq) probable peptide/nitrate transporter At3g43790				LOC8054634	probable peptide/nitrate transporter At3g43790	3	SORBI_3003G125701	Sobic.003G125701.v5.1	False	False	True	nitrate transporter	1	low	3	Chr03	11521050	11531063	-	True	https://www.kegg.jp/entry/sbi:8054634	https://www.ncbi.nlm.nih.gov/gene/8054634
sbi:8074542	8074542	(RefSeq) probable peptide/nitrate transporter At3g43790				LOC8074542	probable peptide/nitrate transporter At3g43790	3	SORBI_3003G131800	Sobic.003G131800.v5.1	False	False	True	nitrate transporter	1	low	3	Chr03	12432044	12438454	+	True	https://www.kegg.jp/entry/sbi:8074542	https://www.ncbi.nlm.nih.gov/gene/8074542
sbi:110434162	110434162	(RefSeq) protein NRT1/ PTR FAMILY 6.2	K26549			LOC110434162	protein NRT1/ PTR FAMILY 6.2	3	SORBI_3003G185100	Sobic.003G185100.v5.1	False	False	True	nitrate transporter	1	low	3	Chr03	55979714	55983041	-	True	https://www.kegg.jp/entry/sbi:110434162	https://www.ncbi.nlm.nih.gov/gene/110434162
sbi:8062188	8062188	(RefSeq) protein NRT1/ PTR FAMILY 4.3	K26548			LOC8062188	protein NRT1/ PTR FAMILY 4.3	3	SORBI_3003G295500	Sobic.003G295500.v5.1	False	False	True	nitrate transporter	1	low	3	Chr03	69099061	69103679	+	True	https://www.kegg.jp/entry/sbi:8062188	https://www.ncbi.nlm.nih.gov/gene/8062188
sbi:8079229	8079229	(RefSeq) protein NRT1/ PTR FAMILY 1.2	K26551			LOC8079229	protein NRT1/ PTR FAMILY 1.2	3	SORBI_3003G304000	Sobic.003G304000.v5.1	False	False	True	nitrate transporter	1	low	3	Chr03	69745961	69748666	-	True	https://www.kegg.jp/entry/sbi:8079229	https://www.ncbi.nlm.nih.gov/gene/8079229
sbi:8079230	8079230	(RefSeq) protein NRT1/ PTR FAMILY 1.2	K26551			LOC8079230	protein NRT1/ PTR FAMILY 1.2	3	SORBI_3003G304100	Sobic.003G304100.v5.1	False	False	True	nitrate transporter	1	low	3	Chr03	69766434	69769396	-	True	https://www.kegg.jp/entry/sbi:8079230	https://www.ncbi.nlm.nih.gov/gene/8079230
sbi:8057749	8057749	(RefSeq) ammonium transporter 2 member 2	K03320			LOC8057749	ammonium transporter 2 member 2	3	SORBI_3003G344700	Sobic.003G344700.v5.1	False	False	True	ammonium transporter	1	low	3	Chr03	72954519	72959046	-	True	https://www.kegg.jp/entry/sbi:8057749	https://www.ncbi.nlm.nih.gov/gene/8057749
sbi:8062391	8062391	(RefSeq) ammonium transporter 3 member 1	K03320			LOC8062391	ammonium transporter 3 member 1	3	SORBI_3003G370400	Sobic.003G370400.v5.1	False	False	True	ammonium transporter	1	low	3	Chr03	75027952	75031151	+	True	https://www.kegg.jp/entry/sbi:8062391	https://www.ncbi.nlm.nih.gov/gene/8062391
sbi:8060993	8060993	(RefSeq) protein NRT1/ PTR FAMILY 5.10	K26562			LOC8060993	protein NRT1/ PTR FAMILY 5.10	3	SORBI_3003G372000	Sobic.003G372000.v5.1	False	False	True	nitrate transporter	1	low	3	Chr03	75140166	75143592	+	True	https://www.kegg.jp/entry/sbi:8060993	https://www.ncbi.nlm.nih.gov/gene/8060993
sbi:8062441	8062441	(RefSeq) protein NRT1/ PTR FAMILY 5.10	K26562			LOC8062441	protein NRT1/ PTR FAMILY 5.10	3	SORBI_3003G372100	Sobic.003G372100.v5.1	False	False	True	nitrate transporter	1	low	3	Chr03	75143526	75146061	+	True	https://www.kegg.jp/entry/sbi:8062441	https://www.ncbi.nlm.nih.gov/gene/8062441
sbi:8076108	8076108	(RefSeq) urease accessory protein F isoform X2	K03188			LOC8076108	urease accessory protein F	4	SORBI_3004G053600	Sobic.004G053600.v5.1	False	False	True	urease	1	low	4	Chr04	4435359	4437625	+	True	https://www.kegg.jp/entry/sbi:8076108	https://www.ncbi.nlm.nih.gov/gene/8076108
sbi:8077186	8077186	(RefSeq) urease accessory protein D	K03190			LOC8077186	urease accessory protein D	4	SORBI_3004G057800	Sobic.004G057800.v5.1	False	False	True	urease	1	low	4	Chr04	4706500	4709436	-	True	https://www.kegg.jp/entry/sbi:8077186	https://www.ncbi.nlm.nih.gov/gene/8077186
sbi:8061048	8061048	(RefSeq) ammonium transporter 3 member 3	K03320			LOC8061048	ammonium transporter 3 member 3	4	SORBI_3004G173200	Sobic.004G173200.v5.1	False	False	True	ammonium transporter	1	low	4	Chr04	55053952	55057555	+	True	https://www.kegg.jp/entry/sbi:8061048	https://www.ncbi.nlm.nih.gov/gene/8061048
sbi:8070561	8070561	(RefSeq) protein NRT1/ PTR FAMILY 6.4	K26549			LOC8070561	protein NRT1/ PTR FAMILY 6.4	4	SORBI_3004G193000	Sobic.004G193000.v5.1	False	False	True	nitrate transporter	1	low	4	Chr04	56970537	56975842	+	True	https://www.kegg.jp/entry/sbi:8070561	https://www.ncbi.nlm.nih.gov/gene/8070561
sbi:8070606	8070606	(RefSeq) high-affinity nitrate transporter-activating protein 2.1	K26563			LOC8070606	high-affinity nitrate transporter-activating protein 2.1	4	SORBI_3004G202400	Sobic.004G202400.v5.1	False	False	True	nitrate transporter	1	low	4	Chr04	57952676	57955040	-	True	https://www.kegg.jp/entry/sbi:8070606	https://www.ncbi.nlm.nih.gov/gene/8070606
sbi:8056506	8056506	(RefSeq) glutamate synthase 1 [NADH], chloroplastic				LOC8056506	glutamate synthase 1 [NADH], chloroplastic	4	SORBI_3004G209300	Sobic.004G209300.v5.1	False	False	True	glutamate synthase	1	low	4	Chr04	58391713	58395579	+	True	https://www.kegg.jp/entry/sbi:8056506	https://www.ncbi.nlm.nih.gov/gene/8056506
sbi:8072485	8072485	(RefSeq) ammonium transporter 1 member 2	K03320			LOC8072485	ammonium transporter 1 member 2	4	SORBI_3004G217800	Sobic.004G217800.v5.1	False	False	True	ammonium transporter	1	low	4	Chr04	59236253	59238114	+	True	https://www.kegg.jp/entry/sbi:8072485	https://www.ncbi.nlm.nih.gov/gene/8072485
sbi:8075730	8075730	(RefSeq) protein NRT1/ PTR FAMILY 5.8	K26562			LOC8075730	protein NRT1/ PTR FAMILY 5.8	4	SORBI_3004G243200	Sobic.004G243200.v5.1	False	False	True	nitrate transporter	1	low	4	Chr04	61624390	61626603	-	True	https://www.kegg.jp/entry/sbi:8075730	https://www.ncbi.nlm.nih.gov/gene/8075730
